# SOURCE: Derived from pv_systems-research.csv and daily_weather_openfield-research.csv
# DATE: 2026-02-25
# DESCRIPTION: Daily PV energy output per hectare for low/medium/high density agri-PV systems
# UNITS: date=YYYY-MM-DD, low_density_kwh_per_ha, medium_density_kwh_per_ha, high_density_kwh_per_ha=kWh/hectare/day
# LOGIC: Energy = GHI * panel_area_per_ha * module_efficiency * tilt_factor * irradiance_factor * temp_derate * (1 - system_losses/100) * shading_factor. Cell temp estimated as (T_max+T_min)/2 + temp_adjustment_c. Temp derate = 1 + temp_coeff * (T_cell - T_ref).
# DEPENDENCIES: data/energy/pv_systems-research.csv, data/weather/daily_weather_openfield-research.csv
# ASSUMPTIONS: (1) Cell temperature approximated from daily avg air temp + density-dependent offset. (2) GHI used as proxy for plane-of-array irradiance (tilt_factor applied as multiplier). (3) No hourly decomposition — daily totals only.
# DENSITIES: low=GCR 30%, shading 0.98, temp_adj +7.0C; medium=GCR 50%, shading 0.95, temp_adj +8.5C; high=GCR 80%, shading 0.87, temp_adj +10.5C
date,low_density_kwh_per_ha,medium_density_kwh_per_ha,high_density_kwh_per_ha
2010-01-01,2618.57,4162.5,5955.11
2010-01-02,2644.46,4203.63,6013.88
2010-01-03,2531.16,4023.56,5756.32
2010-01-04,2629.34,4179.71,5979.88
2010-01-05,2670.74,4245.55,6074.13
2010-01-06,2555.12,4061.64,5810.8
2010-01-07,2577.74,4097.49,5861.87
2010-01-08,2697.2,4287.4,6133.6
2010-01-09,2757.32,4382.99,6270.41
2010-01-10,2796.16,4444.66,6358.49
2010-01-11,2691.46,4278.23,6120.4
2010-01-12,2498.51,3971.65,5682.04
2010-01-13,1644.28,2613.81,3739.54
2010-01-14,2685.66,4269.24,6107.97
2010-01-15,2758.48,4385.02,6273.68
2010-01-16,2389.64,3798.56,5434.35
2010-01-17,1964.31,3122.42,4466.99
2010-01-18,2179.84,3465.21,4957.72
2010-01-19,2383.51,3789.09,5421.33
2010-01-20,2022.63,3215.33,4600.29
2010-01-21,2741.94,4358.89,6236.59
2010-01-22,2831.7,4501.51,6440.49
2010-01-23,2870.39,4562.88,6528.05
2010-01-24,2799.96,4451.04,6368.28
2010-01-25,2877.69,4574.77,6545.59
2010-01-26,2958.56,4703.36,6729.66
2010-01-27,2442.55,3882.87,5555.37
2010-01-28,3022.4,4804.49,6873.67
2010-01-29,2924.43,4648.72,6650.75
2010-01-30,2286.33,3634.36,5199.47
2010-01-31,1712.35,2721.92,3894.04
2010-02-01,2903.28,4615.12,6602.73
2010-02-02,3068.61,4878.06,6979.14
2010-02-03,3001.49,4771.5,6826.96
2010-02-04,3128.35,4973.32,7116.0
2010-02-05,2990.79,4754.69,6803.28
2010-02-06,3087.59,4908.55,7023.36
2010-02-07,3291.02,5231.82,7485.66
2010-02-08,3043.48,4838.1,6921.96
2010-02-09,3113.69,4949.69,7081.54
2010-02-10,3186.21,5064.9,7246.26
2010-02-11,3042.72,4836.77,6919.78
2010-02-12,3235.5,5143.08,7357.76
2010-02-13,3203.68,5092.39,7285.06
2010-02-14,2676.69,4254.65,6086.46
2010-02-15,2678.01,4256.71,6089.33
2010-02-16,2910.73,4626.58,6618.36
2010-02-17,3184.85,5062.33,7241.78
2010-02-18,3232.36,5137.84,7349.78
2010-02-19,3382.25,5376.21,7690.99
2010-02-20,3447.38,5479.75,7839.17
2010-02-21,3514.87,5586.94,7992.34
2010-02-22,3256.49,5176.51,7405.7
2010-02-23,3376.92,5368.0,7679.78
2010-02-24,3229.84,5134.22,7345.35
2010-02-25,2598.14,4130.02,5908.62
2010-02-26,2728.31,4337.13,6205.26
2010-02-27,3589.17,5705.59,8163.12
2010-02-28,2921.04,4643.36,6643.12
2010-03-01,3624.18,5761.28,8242.85
2010-03-02,3696.41,5875.85,8406.3
2010-03-03,3440.4,5468.83,7823.88
2010-03-04,3890.11,6183.81,8846.99
2010-03-05,3440.12,5468.26,7822.8
2010-03-06,3780.04,6008.58,8595.79
2010-03-07,3879.12,6166.12,8821.26
2010-03-08,3785.89,6017.71,8608.5
2010-03-09,3424.41,5443.12,7786.53
2010-03-10,3692.96,5869.98,8397.16
2010-03-11,3894.96,6190.97,8856.17
2010-03-12,3945.91,6271.97,8972.07
2010-03-13,3916.79,6225.84,8906.36
2010-03-14,3260.53,5182.69,7414.08
2010-03-15,2945.48,4681.89,6697.62
2010-03-16,3521.05,5597.04,8007.3
2010-03-17,3585.13,5699.0,8153.37
2010-03-18,4118.75,6547.43,9367.54
2010-03-19,4395.87,6988.02,9998.01
2010-03-20,4252.45,6759.9,9671.37
2010-03-21,3958.81,6292.98,9003.09
2010-03-22,3975.11,6318.78,9039.8
2010-03-23,4064.18,6460.47,9242.7
2010-03-24,4101.8,6520.19,9327.98
2010-03-25,3971.52,6313.09,9031.69
2010-03-26,4104.77,6525.11,9335.4
2010-03-27,3743.3,5950.59,8513.62
2010-03-28,4179.4,6643.65,9504.83
2010-03-29,4139.01,6579.29,9412.45
2010-03-30,4542.77,7221.26,10331.14
2010-03-31,4737.67,7531.08,10774.43
2010-04-01,4669.91,7423.1,10619.43
2010-04-02,4474.12,7111.45,10172.75
2010-04-03,4082.68,6489.15,9282.36
2010-04-04,3921.38,6233.03,8916.45
2010-04-05,4430.35,7042.36,10074.84
2010-04-06,4583.74,7286.27,10423.95
2010-04-07,4559.07,7247.05,10367.84
2010-04-08,4559.03,7247.04,10367.91
2010-04-09,4517.48,7180.95,10273.31
2010-04-10,4166.88,6623.4,9475.15
2010-04-11,3965.2,6302.56,9015.67
2010-04-12,4457.69,7085.93,10137.39
2010-04-13,4840.96,7695.31,11009.44
2010-04-14,4721.86,7505.79,10737.94
2010-04-15,4554.32,7239.29,10356.33
2010-04-16,4638.57,7372.97,10547.1
2010-04-17,4815.59,7654.57,10950.36
2010-04-18,4616.57,7338.01,10497.13
2010-04-19,4625.24,7351.59,10516.16
2010-04-20,4500.43,7153.19,10232.3
2010-04-21,4054.32,6444.37,9218.84
2010-04-22,5006.01,7957.56,11384.43
2010-04-23,4658.22,7404.75,10593.63
2010-04-24,4993.08,7936.83,11354.41
2010-04-25,4708.16,7483.73,10705.84
2010-04-26,4785.63,7606.78,10881.66
2010-04-27,4822.98,7665.92,10965.84
2010-04-28,4483.48,7126.57,10194.85
2010-04-29,3934.76,6254.48,8947.5
2010-04-30,2509.48,3988.94,5706.49
2010-05-01,3564.73,5666.29,8106.04
2010-05-02,5128.05,8151.46,11661.63
2010-05-03,5179.12,8232.51,11777.35
2010-05-04,5135.38,8162.89,11677.57
2010-05-05,5165.41,8210.52,11745.52
2010-05-06,5179.82,8233.4,11778.19
2010-05-07,5009.5,7962.37,11389.88
2010-05-08,4765.18,7573.76,10833.44
2010-05-09,4295.08,6826.53,9764.53
2010-05-10,4280.98,6804.24,9732.87
2010-05-11,4791.6,7616.26,10895.22
2010-05-12,5052.31,8030.64,11487.97
2010-05-13,5132.88,8158.63,11670.91
2010-05-14,5110.8,8123.23,11619.69
2010-05-15,4877.19,7751.8,11088.17
2010-05-16,4598.15,7308.06,10452.98
2010-05-17,3996.21,6351.44,9084.81
2010-05-18,4303.41,6840.01,9784.28
2010-05-19,4899.43,7787.59,11140.21
2010-05-20,4975.63,7908.83,11313.84
2010-05-21,5083.17,8079.69,11558.15
2010-05-22,4892.02,7775.58,11122.57
2010-05-23,5080.32,8075.28,11552.06
2010-05-24,5151.37,8188.29,11713.86
2010-05-25,5098.58,8104.26,11593.43
2010-05-26,5033.55,8000.55,11444.41
2010-05-27,4358.31,6927.18,9908.8
2010-05-28,4923.18,7825.39,11194.35
2010-05-29,5125.92,8147.55,11655.05
2010-05-30,5089.71,8089.96,11572.59
2010-05-31,5079.23,8073.09,11548.05
2010-06-01,4745.43,7542.31,10788.35
2010-06-02,4876.34,7750.54,11086.53
2010-06-03,4561.71,7250.54,10371.49
2010-06-04,4972.91,7904.22,11306.69
2010-06-05,5145.67,8178.87,11699.7
2010-06-06,4922.0,7822.96,11189.82
2010-06-07,4880.46,7756.77,11094.8
2010-06-08,4811.72,7647.94,10939.97
2010-06-09,5211.01,8282.8,11848.52
2010-06-10,5221.64,8299.64,11872.5
2010-06-11,4756.23,7559.64,10813.47
2010-06-12,4941.29,7853.99,11234.91
2010-06-13,5068.85,8056.61,11524.49
2010-06-14,5001.93,7950.23,11372.32
2010-06-15,5116.92,8132.97,11633.63
2010-06-16,5175.16,8225.51,11765.97
2010-06-17,5042.26,8014.11,11463.23
2010-06-18,5106.65,8116.48,11609.72
2010-06-19,5022.35,7982.48,11418.05
2010-06-20,4765.93,7574.63,10834.1
2010-06-21,4991.39,7932.9,11346.43
2010-06-22,4840.32,7692.8,11002.97
2010-06-23,5018.85,7976.81,11409.71
2010-06-24,4889.01,7770.51,11114.75
2010-06-25,5158.75,8199.58,11729.16
2010-06-26,5247.92,8341.44,11932.32
2010-06-27,5168.01,8214.36,11750.43
2010-06-28,5245.32,8336.88,11924.98
2010-06-29,5016.86,7973.49,11404.68
2010-06-30,5008.54,7960.61,11386.92
2010-07-01,5178.78,8231.38,11774.59
2010-07-02,5216.6,8291.64,11861.07
2010-07-03,5169.69,8216.95,11754.0
2010-07-04,4949.77,7867.27,11253.5
2010-07-05,4949.89,7867.41,11253.62
2010-07-06,4939.24,7850.45,11229.3
2010-07-07,4839.21,7691.42,11001.78
2010-07-08,4787.73,7609.67,10884.96
2010-07-09,4749.73,7549.26,10798.52
2010-07-10,4763.9,7571.84,10830.95
2010-07-11,4723.16,7507.02,10738.07
2010-07-12,4581.08,7280.99,10414.37
2010-07-13,4446.58,7067.33,10108.98
2010-07-14,4761.02,7567.12,10823.88
2010-07-15,4808.5,7642.57,10931.8
2010-07-16,4168.97,6626.06,9477.69
2010-07-17,4270.22,6786.92,9707.69
2010-07-18,4765.66,7574.39,10834.1
2010-07-19,4852.86,7713.04,11032.55
2010-07-20,4965.3,7891.83,11288.43
2010-07-21,5035.11,8002.85,11447.38
2010-07-22,4963.67,7889.41,11285.29
2010-07-23,4858.82,7722.69,11046.7
2010-07-24,4852.47,7712.51,11031.96
2010-07-25,4789.03,7611.61,10887.49
