# SOURCE: Derived from wind_turbines-research.csv and daily_weather_openfield-research.csv
# DATE: 2026-02-25
# DESCRIPTION: Daily wind energy output per turbine for small/medium/large distributed-scale turbines
# UNITS: date=YYYY-MM-DD, small_turbine_kwh, medium_turbine_kwh, large_turbine_kwh=kWh/turbine/day
# LOGIC: Wind speed extrapolated from 10m to hub height using power law (alpha=0.14). Power curve: P = P_rated * (v^3 - v_cin^3) / (v_rated^3 - v_cin^3) for v_cin <= v <= v_rated; P_rated for v_rated < v <= v_cout; 0 otherwise. Expected power computed by numerical integration of power curve over Rayleigh distribution of sub-daily wind speeds (corrects Jensen's inequality bias from using daily mean directly). System losses (availability, electrical, dust/soiling, mechanical) applied as per-turbine derating.
# DEPENDENCIES: data/energy/wind_turbines-research.csv, data/weather/daily_weather_openfield-research.csv
# ASSUMPTIONS: (1) Power-law wind shear exponent 0.14 for open coastal terrain. (2) Sub-daily wind speed variability modeled via Rayleigh distribution (sigma = v_mean * sqrt(2/pi)). (3) No air density correction for altitude/temperature.
# TURBINES: small=bergey_excel_10 (10kW, hub 30m, rotor 7.0m, losses 12%); medium=eocycle_eo25 (25kW, hub 30m, rotor 12.6m, losses 10%); large=endurance_e3120 (50kW, hub 37m, rotor 19.2m, losses 10%)
date,small_turbine_kwh,medium_turbine_kwh,large_turbine_kwh
2010-01-01,5.14,10.14,27.34
2010-01-02,6.9,14.31,39.16
2010-01-03,9.55,20.74,57.45
2010-01-04,63.2,157.61,392.6
2010-01-05,44.27,108.92,284.12
2010-01-06,6.25,12.76,34.74
2010-01-07,3.81,7.1,18.78
2010-01-08,2.55,4.34,11.14
2010-01-09,4.98,9.77,26.29
2010-01-10,0.47,0.47,1.03
2010-01-11,1.61,2.44,6.03
2010-01-12,1.53,2.29,5.63
2010-01-13,22.26,52.63,145.07
2010-01-14,17.55,40.69,113.05
2010-01-15,13.56,30.68,85.44
2010-01-16,4.08,7.72,20.51
2010-01-17,34.05,82.71,221.58
2010-01-18,108.41,274.28,624.31
2010-01-19,35.82,87.24,232.62
2010-01-20,53.24,131.98,336.59
2010-01-21,36.71,89.52,238.16
2010-01-22,5.89,11.91,32.35
2010-01-23,14.43,32.85,91.5
2010-01-24,88.63,223.2,527.08
2010-01-25,106.23,268.64,613.9
2010-01-26,54.67,135.65,344.75
2010-01-27,1.69,2.6,6.46
2010-01-28,0.57,0.62,1.38
2010-01-29,17.06,39.46,109.69
2010-01-30,85.49,215.1,511.08
2010-01-31,8.54,18.27,50.41
2010-02-01,62.49,155.79,388.69
2010-02-02,82.06,206.26,493.42
2010-02-03,123.98,314.54,695.58
2010-02-04,127.82,324.49,712.09
2010-02-05,103.62,261.9,601.36
2010-02-06,65.08,162.45,402.94
2010-02-07,9.67,21.03,58.26
2010-02-08,10.02,21.9,60.74
2010-02-09,1.87,2.94,7.36
2010-02-10,4.67,9.06,24.27
2010-02-11,22.63,53.57,147.55
2010-02-12,2.39,4.01,10.25
2010-02-13,4.74,9.23,24.77
2010-02-14,1.87,2.94,7.36
2010-02-15,11.01,24.33,67.6
2010-02-16,0.21,0.16,0.31
2010-02-17,7.29,15.25,41.82
2010-02-18,5.38,10.72,28.95
2010-02-19,45.67,112.53,292.47
2010-02-20,15.48,35.5,98.81
2010-02-21,6.71,13.86,37.87
2010-02-22,99.44,251.12,581.03
2010-02-23,96.8,244.29,568.01
2010-02-24,53.0,131.37,335.22
2010-02-25,43.11,105.93,277.15
2010-02-26,110.04,278.5,632.04
2010-02-27,39.42,96.48,254.84
2010-02-28,84.43,212.36,505.63
2010-03-01,99.44,251.12,581.03
2010-03-02,30.4,73.36,198.4
2010-03-03,24.72,58.89,161.47
2010-03-04,83.57,210.15,501.22
2010-03-05,12.58,28.24,78.62
2010-03-06,21.17,49.85,137.7
2010-03-07,38.51,94.14,249.27
2010-03-08,10.14,22.2,61.57
2010-03-09,58.47,145.43,366.26
2010-03-10,32.1,77.72,209.25
2010-03-11,13.28,29.97,83.46
2010-03-12,13.0,29.27,81.51
2010-03-13,49.44,122.22,314.64
2010-03-14,74.53,186.82,453.92
2010-03-15,64.61,161.25,400.36
2010-03-16,129.78,329.57,720.24
2010-03-17,117.7,298.28,667.53
2010-03-18,140.16,356.64,756.32
2010-03-19,92.09,232.13,544.55
2010-03-20,84.64,212.91,506.72
2010-03-21,37.83,92.4,245.1
2010-03-22,36.04,87.81,234.0
2010-03-23,56.09,139.32,352.86
2010-03-24,4.98,9.77,26.29
2010-03-25,116.85,296.11,663.69
2010-03-26,92.29,232.65,545.56
2010-03-27,90.48,227.96,536.42
2010-03-28,3.23,5.81,15.21
2010-03-29,7.39,15.49,42.5
2010-03-30,104.32,263.72,604.76
2010-03-31,35.6,86.67,231.24
2010-04-01,18.21,42.36,117.6
2010-04-02,11.13,24.64,68.49
2010-04-03,14.43,32.85,91.5
2010-04-04,34.27,83.27,222.96
2010-04-05,86.97,218.91,518.62
2010-04-06,100.92,254.93,588.25
2010-04-07,121.03,306.92,682.57
2010-04-08,120.26,304.91,679.1
2010-04-09,82.06,206.26,493.42
2010-04-10,3.42,6.23,16.35
2010-04-11,25.9,61.88,169.21
2010-04-12,121.79,308.88,685.95
2010-04-13,74.76,187.41,455.12
2010-04-14,73.4,183.9,447.89
2010-04-15,5.72,11.51,31.19
2010-04-16,3.05,5.42,14.12
2010-04-17,86.13,216.74,514.33
2010-04-18,43.8,107.72,281.33
2010-04-19,21.89,51.69,142.6
2010-04-20,23.76,56.45,155.09
2010-04-21,107.58,272.13,620.36
2010-04-22,122.54,310.81,689.25
2010-04-23,67.41,168.47,415.69
2010-04-24,12.86,28.93,80.54
2010-04-25,18.71,43.64,121.06
2010-04-26,79.44,199.49,479.78
2010-04-27,5.06,9.96,26.81
2010-04-28,118.66,300.77,671.89
2010-04-29,81.41,204.58,490.04
2010-04-30,74.76,187.41,455.12
2010-05-01,30.4,73.36,198.4
2010-05-02,86.13,216.74,514.33
2010-05-03,29.77,71.76,194.36
2010-05-04,18.21,42.36,117.6
2010-05-05,30.82,74.44,201.1
2010-05-06,46.85,115.54,299.41
2010-05-07,6.07,12.33,33.53
2010-05-08,9.32,20.18,55.84
2010-05-09,7.59,15.97,43.89
2010-05-10,41.72,102.36,268.78
2010-05-11,95.45,240.8,561.31
2010-05-12,68.11,170.27,419.47
2010-05-13,63.67,158.82,395.19
2010-05-14,69.04,172.66,424.49
2010-05-15,31.24,75.53,203.81
2010-05-16,4.98,9.77,26.29
