# nimbalyst: {"hasHeaders":false,"headerRowCount":0,"frozenColumnCount":0,"columnWidths":{"0":138}}
# SOURCE: Computed from baseline yields adjusted for weather stress,,,,,,
# DATE: 2026-02-06,,,,,,
# DESCRIPTION: Crop yields for cucumber in Sinai Red Sea region under various planting dates,,,,,,
# UNITS:,,,,,,
#   - weather_scenario_id: Scenario identifier (text),,,,,,
#   - planting_date: Date crop was planted (YYYY-MM-DD),,,,,,
#   - harvest_date: Date crop was harvested (YYYY-MM-DD),,,,,,
#   - yield_kg_per_ha: Total harvest yield (kg/ha),,,,,,
#   - season_length_actual_days: Actual growing season duration (days),,,,,,
#   - weather_stress_factor: Yield multiplier from weather conditions (0.85-1.15),,,,,,
#   - water_stress_factor: Yield multiplier from water availability (1.0 = full irrigation),,,,,,
# LOGIC: yield = baseline_yield x weather_stress x water_stress; weather_stress based on extreme heat days and temperature averages,,,,,,
# DEPENDENCIES: daily_weather_scenario_001-toy.csv, crop_coefficients-toy.csv,,,,,
# ASSUMPTIONS: Full irrigation (water_stress=1.0), no pest/disease losses, professional farm management,,,,
weather_scenario_id,planting_date,harvest_date,yield_kg_per_ha,season_length_actual_days,weather_stress_factor,water_stress_factor
1,2010,2010,50165,95,1.003,1
1,2011,2011,51717,95,1.034,1
1,2012,2012,48075,95,0.961,1
1,2013,2013,49063,95,0.981,1
1,2014,2014,49759,95,0.995,1
1,2015,2015,51843,95,1.037,1
1,2016,2016,48448,95,0.969,1
1,2017,2017,50020,95,1,1
1,2018,2018,50988,95,1.02,1
1,2019,2019,51355,95,1.027,1
1,2020,2020,51363,95,1.027,1
1,2021,2021,53178,95,1.064,1
1,2022,2022,52487,95,1.05,1
1,2023,2023,48669,95,0.973,1
1,2024,2024,49893,95,0.998,1
1,2010,2010,44766,95,0.895,1
1,2011,2011,46630,95,0.933,1
1,2012,2012,43741,95,0.875,1
1,2013,2013,42500,95,0.85,1
1,2014,2014,43773,95,0.875,1
1,2015,2015,44750,95,0.895,1
1,2016,2016,42982,95,0.86,1
1,2017,2017,42500,95,0.85,1
1,2018,2018,44814,95,0.896,1
1,2019,2019,43625,95,0.872,1
1,2020,2020,46483,95,0.93,1
1,2021,2021,46635,95,0.933,1
1,2022,2022,47906,95,0.958,1
1,2023,2023,50292,95,1.006,1
1,2024,2024,51235,95,1.025,1
1,2010,2010,48845,95,0.977,1
1,2011,2011,49627,95,0.993,1
1,2012,2012,47918,95,0.958,1
1,2013,2013,46935,95,0.939,1
1,2014,2014,47526,95,0.951,1
1,2015,2015,49243,95,0.985,1
1,2016,2016,47703,95,0.954,1
1,2017,2017,46856,95,0.937,1
1,2018,2018,50120,95,1.002,1
1,2019,2019,48468,95,0.969,1
1,2020,2020,49831,95,0.997,1
1,2021,2021,51512,95,1.03,1
1,2022,2022,49581,95,0.992,1
1,2023,2023,52535,95,1.051,1
1,2024,2024,53034,95,1.061,1
1,2010,2011,53849,95,1.077,1
1,2011,2012,49557,95,0.991,1
1,2012,2013,51039,95,1.021,1
1,2013,2014,52521,95,1.05,1
1,2014,2015,53376,95,1.068,1
1,2015,2016,52973,95,1.059,1
1,2016,2017,52282,95,1.046,1
1,2017,2018,51513,95,1.03,1
1,2018,2019,51256,95,1.025,1
1,2019,2020,53575,95,1.072,1
1,2020,2021,50144,95,1.003,1
1,2021,2022,50042,95,1.001,1
1,2022,2023,49992,95,1,1
1,2023,2024,49516,95,0.99,1
