# SOURCE: Computed from baseline yields adjusted for weather stress
# DATE: 2026-02-06
# DESCRIPTION: Crop yields for kale in Sinai Red Sea region under various planting dates
# UNITS:
#   - weather_scenario_id: Scenario identifier (text)
#   - planting_date: Date crop was planted (YYYY-MM-DD)
#   - harvest_date: Date crop was harvested (YYYY-MM-DD)
#   - yield_kg_per_ha: Total harvest yield (kg/ha)
#   - season_length_actual_days: Actual growing season duration (days)
#   - weather_stress_factor: Yield multiplier from weather conditions (0.85-1.15)
#   - water_stress_factor: Yield multiplier from water availability (1.0 = full irrigation)
# LOGIC: yield = baseline_yield x weather_stress x water_stress; weather_stress based on extreme heat days and temperature averages
# DEPENDENCIES: daily_weather_scenario_001-toy.csv, crop_coefficients-toy.csv
# ASSUMPTIONS: Full irrigation (water_stress=1.0), no pest/disease losses, professional farm management
weather_scenario_id,planting_date,harvest_date,yield_kg_per_ha,season_length_actual_days,weather_stress_factor,water_stress_factor
001,2010-02-01,2010-04-27,20737.0,85,1.037,1.0
001,2011-02-01,2011-04-27,21012.0,85,1.051,1.0
001,2012-02-01,2012-04-26,20555.0,85,1.028,1.0
001,2013-02-01,2013-04-27,20698.0,85,1.035,1.0
001,2014-02-01,2014-04-27,20667.0,85,1.033,1.0
001,2015-02-01,2015-04-27,20973.0,85,1.049,1.0
001,2016-02-01,2016-04-26,21332.0,85,1.067,1.0
001,2017-02-01,2017-04-27,19522.0,85,0.976,1.0
001,2018-02-01,2018-04-27,20635.0,85,1.032,1.0
001,2019-02-01,2019-04-27,20402.0,85,1.02,1.0
001,2020-02-01,2020-04-26,21006.0,85,1.05,1.0
001,2021-02-01,2021-04-27,21501.0,85,1.075,1.0
001,2022-02-01,2022-04-27,21485.0,85,1.074,1.0
001,2023-02-01,2023-04-27,20034.0,85,1.002,1.0
001,2024-02-01,2024-04-26,19781.0,85,0.989,1.0
001,2010-03-15,2010-06-08,19743.0,85,0.987,1.0
001,2011-03-15,2011-06-08,19526.0,85,0.976,1.0
001,2012-03-15,2012-06-08,19000.0,85,0.95,1.0
001,2013-03-15,2013-06-08,18684.0,85,0.934,1.0
001,2014-03-15,2014-06-08,18711.0,85,0.936,1.0
001,2015-03-15,2015-06-08,18733.0,85,0.937,1.0
001,2016-03-15,2016-06-08,19436.0,85,0.972,1.0
001,2017-03-15,2017-06-08,18402.0,85,0.92,1.0
001,2018-03-15,2018-06-08,19200.0,85,0.96,1.0
001,2019-03-15,2019-06-08,18969.0,85,0.948,1.0
001,2020-03-15,2020-06-08,20277.0,85,1.014,1.0
001,2021-03-15,2021-06-08,19783.0,85,0.989,1.0
001,2022-03-15,2022-06-08,20198.0,85,1.01,1.0
001,2023-03-15,2023-06-08,21086.0,85,1.054,1.0
001,2024-03-15,2024-06-08,21047.0,85,1.052,1.0
001,2010-10-01,2010-12-25,20894.0,85,1.045,1.0
001,2011-10-01,2011-12-25,20681.0,85,1.034,1.0
001,2012-10-01,2012-12-25,20885.0,85,1.044,1.0
001,2013-10-01,2013-12-25,20028.0,85,1.001,1.0
001,2014-10-01,2014-12-25,21515.0,85,1.076,1.0
001,2015-10-01,2015-12-25,21194.0,85,1.06,1.0
001,2016-10-01,2016-12-25,20762.0,85,1.038,1.0
001,2017-10-01,2017-12-25,20194.0,85,1.01,1.0
001,2018-10-01,2018-12-25,21282.0,85,1.064,1.0
001,2019-10-01,2019-12-25,21108.0,85,1.055,1.0
001,2020-10-01,2020-12-25,20865.0,85,1.043,1.0
001,2021-10-01,2021-12-25,20768.0,85,1.038,1.0
001,2022-10-01,2022-12-25,20555.0,85,1.028,1.0
001,2023-10-01,2023-12-25,19737.0,85,0.987,1.0
001,2024-10-01,2024-12-25,19497.0,85,0.975,1.0
001,2010-12-01,2011-02-24,19788.0,85,0.989,1.0
001,2011-12-01,2012-02-24,19913.0,85,0.996,1.0
001,2012-12-01,2013-02-24,19870.0,85,0.994,1.0
001,2013-12-01,2014-02-24,19914.0,85,0.996,1.0
001,2014-12-01,2015-02-24,20150.0,85,1.007,1.0
001,2015-12-01,2016-02-24,19598.0,85,0.98,1.0
001,2016-12-01,2017-02-24,19930.0,85,0.996,1.0
001,2017-12-01,2018-02-24,20102.0,85,1.005,1.0
001,2018-12-01,2019-02-24,20181.0,85,1.009,1.0
001,2019-12-01,2020-02-24,20423.0,85,1.021,1.0
001,2020-12-01,2021-02-24,19748.0,85,0.987,1.0
001,2021-12-01,2022-02-24,19944.0,85,0.997,1.0
001,2022-12-01,2023-02-24,20495.0,85,1.025,1.0
001,2023-12-01,2024-02-24,19782.0,85,0.989,1.0
