# SOURCE: Computed from baseline yields adjusted for weather stress
# DATE: 2026-02-02
# DESCRIPTION: Crop yields for onion in Sinai Red Sea region under various planting dates
# UNITS:
#   - weather_scenario_id: Scenario identifier (text)
#   - planting_date: Date crop was planted (YYYY-MM-DD)
#   - harvest_date: Date crop was harvested (YYYY-MM-DD)
#   - yield_kg_per_ha: Total harvest yield (kg/ha)
#   - season_length_actual_days: Actual growing season duration (days)
#   - weather_stress_factor: Yield multiplier from weather conditions (0.85-1.15)
#   - water_stress_factor: Yield multiplier from water availability (1.0 = full irrigation)
# LOGIC: yield = baseline_yield x weather_stress x water_stress; weather_stress based on extreme heat days and temperature averages
# DEPENDENCIES: daily_weather_scenario_001-toy.csv, crop_coefficients-toy.csv
# ASSUMPTIONS: Full irrigation (water_stress=1.0), no pest/disease losses, professional farm management
weather_scenario_id,planting_date,harvest_date,yield_kg_per_ha,season_length_actual_days,weather_stress_factor,water_stress_factor
001,2010-02-01,2010-07-01,45138.0,150,1.003,1.0
001,2011-02-01,2011-07-01,46569.0,150,1.035,1.0
001,2012-02-01,2012-06-30,42696.0,150,0.949,1.0
001,2013-02-01,2013-07-01,40606.0,150,0.902,1.0
001,2014-02-01,2014-07-01,45192.0,150,1.004,1.0
001,2015-02-01,2015-07-01,44046.0,150,0.979,1.0
001,2016-02-01,2016-06-30,40823.0,150,0.907,1.0
001,2017-02-01,2017-07-01,39817.0,150,0.885,1.0
001,2018-02-01,2018-07-01,43473.0,150,0.966,1.0
001,2019-02-01,2019-07-01,43862.0,150,0.975,1.0
001,2020-02-01,2020-06-30,45789.0,150,1.018,1.0
001,2021-02-01,2021-07-01,46379.0,150,1.031,1.0
001,2022-02-01,2022-07-01,44942.0,150,0.999,1.0
001,2023-02-01,2023-07-01,46797.0,150,1.04,1.0
001,2024-02-01,2024-06-30,46505.0,150,1.033,1.0
001,2010-06-01,2010-10-29,38468.0,150,0.855,1.0
001,2011-06-01,2011-10-29,39773.0,150,0.884,1.0
001,2012-06-01,2012-10-29,38250.0,150,0.85,1.0
001,2013-06-01,2013-10-29,38943.0,150,0.865,1.0
001,2014-06-01,2014-10-29,38479.0,150,0.855,1.0
001,2015-06-01,2015-10-29,39861.0,150,0.886,1.0
001,2016-06-01,2016-10-29,38250.0,150,0.85,1.0
001,2017-06-01,2017-10-29,38250.0,150,0.85,1.0
001,2018-06-01,2018-10-29,38250.0,150,0.85,1.0
001,2019-06-01,2019-10-29,39513.0,150,0.878,1.0
001,2020-06-01,2020-10-29,40162.0,150,0.892,1.0
001,2021-06-01,2021-10-29,41882.0,150,0.931,1.0
001,2022-06-01,2022-10-29,39707.0,150,0.882,1.0
001,2023-06-01,2023-10-29,42242.0,150,0.939,1.0
001,2024-06-01,2024-10-29,45136.0,150,1.003,1.0
001,2010-09-15,2011-02-12,46376.0,150,1.031,1.0
001,2011-09-15,2012-02-12,44080.0,150,0.98,1.0
001,2012-09-15,2013-02-12,48279.0,150,1.073,1.0
001,2013-09-15,2014-02-12,47318.0,150,1.052,1.0
001,2014-09-15,2015-02-12,47731.0,150,1.061,1.0
001,2015-09-15,2016-02-12,48116.0,150,1.069,1.0
001,2016-09-15,2017-02-12,45283.0,150,1.006,1.0
001,2017-09-15,2018-02-12,45639.0,150,1.014,1.0
001,2018-09-15,2019-02-12,46249.0,150,1.028,1.0
001,2019-09-15,2020-02-12,46649.0,150,1.037,1.0
001,2020-09-15,2021-02-12,45245.0,150,1.005,1.0
001,2021-09-15,2022-02-12,44590.0,150,0.991,1.0
001,2022-09-15,2023-02-12,44589.0,150,0.991,1.0
001,2023-09-15,2024-02-12,44996.0,150,1.0,1.0
