# SOURCE: Computed from baseline yields adjusted for weather stress
# DATE: 2026-02-02
# DESCRIPTION: Crop yields for potato in Sinai Red Sea region under various planting dates
# UNITS:
#   - weather_scenario_id: Scenario identifier (text)
#   - planting_date: Date crop was planted (YYYY-MM-DD)
#   - harvest_date: Date crop was harvested (YYYY-MM-DD)
#   - yield_kg_per_ha: Total harvest yield (kg/ha)
#   - season_length_actual_days: Actual growing season duration (days)
#   - weather_stress_factor: Yield multiplier from weather conditions (0.85-1.15)
#   - water_stress_factor: Yield multiplier from water availability (1.0 = full irrigation)
# LOGIC: yield = baseline_yield x weather_stress x water_stress; weather_stress based on extreme heat days and temperature averages
# DEPENDENCIES: daily_weather_scenario_001-toy.csv, crop_coefficients-toy.csv
# ASSUMPTIONS: Full irrigation (water_stress=1.0), no pest/disease losses, professional farm management
weather_scenario_id,planting_date,harvest_date,yield_kg_per_ha,season_length_actual_days,weather_stress_factor,water_stress_factor
001,2010-01-15,2010-05-15,36619.0,120,1.046,1.0
001,2011-01-15,2011-05-15,37496.0,120,1.071,1.0
001,2012-01-15,2012-05-14,35722.0,120,1.021,1.0
001,2013-01-15,2013-05-15,36573.0,120,1.045,1.0
001,2014-01-15,2014-05-15,36259.0,120,1.036,1.0
001,2015-01-15,2015-05-15,37566.0,120,1.073,1.0
001,2016-01-15,2016-05-14,36355.0,120,1.039,1.0
001,2017-01-15,2017-05-15,35415.0,120,1.012,1.0
001,2018-01-15,2018-05-15,37098.0,120,1.06,1.0
001,2019-01-15,2019-05-15,36062.0,120,1.03,1.0
001,2020-01-15,2020-05-14,36219.0,120,1.035,1.0
001,2021-01-15,2021-05-15,35567.0,120,1.016,1.0
001,2022-01-15,2022-05-15,35762.0,120,1.022,1.0
001,2023-01-15,2023-05-15,34029.0,120,0.972,1.0
001,2024-01-15,2024-05-14,35561.0,120,1.016,1.0
001,2010-04-15,2010-08-13,29750.0,120,0.85,1.0
001,2011-04-15,2011-08-13,29750.0,120,0.85,1.0
001,2012-04-15,2012-08-13,30783.0,120,0.88,1.0
001,2013-04-15,2013-08-13,29809.0,120,0.852,1.0
001,2014-04-15,2014-08-13,30501.0,120,0.871,1.0
001,2015-04-15,2015-08-13,30187.0,120,0.862,1.0
001,2016-04-15,2016-08-13,29750.0,120,0.85,1.0
001,2017-04-15,2017-08-13,29750.0,120,0.85,1.0
001,2018-04-15,2018-08-13,29750.0,120,0.85,1.0
001,2019-04-15,2019-08-13,30125.0,120,0.861,1.0
001,2020-04-15,2020-08-13,31250.0,120,0.893,1.0
001,2021-04-15,2021-08-13,30830.0,120,0.881,1.0
001,2022-04-15,2022-08-13,30567.0,120,0.873,1.0
001,2023-04-15,2023-08-13,33298.0,120,0.951,1.0
001,2024-04-15,2024-08-13,34457.0,120,0.984,1.0
001,2010-09-01,2010-12-30,35635.0,120,1.018,1.0
001,2011-09-01,2011-12-30,36674.0,120,1.048,1.0
001,2012-09-01,2012-12-30,36595.0,120,1.046,1.0
001,2013-09-01,2013-12-30,33973.0,120,0.971,1.0
001,2014-09-01,2014-12-30,36889.0,120,1.054,1.0
001,2015-09-01,2015-12-30,36017.0,120,1.029,1.0
001,2016-09-01,2016-12-30,33857.0,120,0.967,1.0
001,2017-09-01,2017-12-30,33978.0,120,0.971,1.0
001,2018-09-01,2018-12-30,36881.0,120,1.054,1.0
001,2019-09-01,2019-12-30,35357.0,120,1.01,1.0
001,2020-09-01,2020-12-30,35666.0,120,1.019,1.0
001,2021-09-01,2021-12-30,37104.0,120,1.06,1.0
001,2022-09-01,2022-12-30,36125.0,120,1.032,1.0
001,2023-09-01,2023-12-30,35763.0,120,1.022,1.0
001,2024-09-01,2024-12-30,35148.0,120,1.004,1.0
001,2010-11-15,2011-03-15,33981.0,120,0.971,1.0
001,2011-11-15,2012-03-14,34695.0,120,0.991,1.0
001,2012-11-15,2013-03-15,35960.0,120,1.027,1.0
001,2013-11-15,2014-03-15,35889.0,120,1.025,1.0
001,2014-11-15,2015-03-15,34276.0,120,0.979,1.0
001,2015-11-15,2016-03-14,34596.0,120,0.988,1.0
001,2016-11-15,2017-03-15,37079.0,120,1.059,1.0
001,2017-11-15,2018-03-15,35672.0,120,1.019,1.0
001,2018-11-15,2019-03-15,35271.0,120,1.008,1.0
001,2019-11-15,2020-03-14,35820.0,120,1.023,1.0
001,2020-11-15,2021-03-15,35461.0,120,1.013,1.0
001,2021-11-15,2022-03-15,34101.0,120,0.974,1.0
001,2022-11-15,2023-03-15,35549.0,120,1.016,1.0
001,2023-11-15,2024-03-14,34951.0,120,0.999,1.0
