# SOURCE: Computed from baseline yields adjusted for weather stress
# DATE: 2026-02-02
# DESCRIPTION: Crop yields for tomato in Sinai Red Sea region under various planting dates
# UNITS:
#   - weather_scenario_id: Scenario identifier (text)
#   - planting_date: Date crop was planted (YYYY-MM-DD)
#   - harvest_date: Date crop was harvested (YYYY-MM-DD)
#   - yield_kg_per_ha: Total harvest yield (kg/ha)
#   - season_length_actual_days: Actual growing season duration (days)
#   - weather_stress_factor: Yield multiplier from weather conditions (0.85-1.15)
#   - water_stress_factor: Yield multiplier from water availability (1.0 = full irrigation)
# LOGIC: yield = baseline_yield x weather_stress x water_stress; weather_stress based on extreme heat days and temperature averages
# DEPENDENCIES: daily_weather_scenario_001-toy.csv, crop_coefficients-toy.csv
# ASSUMPTIONS: Full irrigation (water_stress=1.0), no pest/disease losses, professional farm management
weather_scenario_id,planting_date,harvest_date,yield_kg_per_ha,season_length_actual_days,weather_stress_factor,water_stress_factor
001,2010-02-15,2010-06-30,67538.0,135,0.965,1.0
001,2011-02-15,2011-06-30,65214.0,135,0.932,1.0
001,2012-02-15,2012-06-29,64265.0,135,0.918,1.0
001,2013-02-15,2013-06-30,61915.0,135,0.884,1.0
001,2014-02-15,2014-06-30,65133.0,135,0.93,1.0
001,2015-02-15,2015-06-30,71308.0,135,1.019,1.0
001,2016-02-15,2016-06-29,65005.0,135,0.929,1.0
001,2017-02-15,2017-06-30,62016.0,135,0.886,1.0
001,2018-02-15,2018-06-30,67136.0,135,0.959,1.0
001,2019-02-15,2019-06-30,65472.0,135,0.935,1.0
001,2020-02-15,2020-06-29,68925.0,135,0.985,1.0
001,2021-02-15,2021-06-30,72946.0,135,1.042,1.0
001,2022-02-15,2022-06-30,68796.0,135,0.983,1.0
001,2023-02-15,2023-06-30,72016.0,135,1.029,1.0
001,2024-02-15,2024-06-29,75362.0,135,1.077,1.0
001,2010-05-01,2010-09-13,59500.0,135,0.85,1.0
001,2011-05-01,2011-09-13,59577.0,135,0.851,1.0
001,2012-05-01,2012-09-13,60841.0,135,0.869,1.0
001,2013-05-01,2013-09-13,61195.0,135,0.874,1.0
001,2014-05-01,2014-09-13,59500.0,135,0.85,1.0
001,2015-05-01,2015-09-13,59626.0,135,0.852,1.0
001,2016-05-01,2016-09-13,59500.0,135,0.85,1.0
001,2017-05-01,2017-09-13,61153.0,135,0.874,1.0
001,2018-05-01,2018-09-13,60634.0,135,0.866,1.0
001,2019-05-01,2019-09-13,61303.0,135,0.876,1.0
001,2020-05-01,2020-09-13,60253.0,135,0.861,1.0
001,2021-05-01,2021-09-13,62340.0,135,0.891,1.0
001,2022-05-01,2022-09-13,59500.0,135,0.85,1.0
001,2023-05-01,2023-09-13,66372.0,135,0.948,1.0
001,2024-05-01,2024-09-13,70221.0,135,1.003,1.0
001,2010-08-15,2010-12-28,71401.0,135,1.02,1.0
001,2011-08-15,2011-12-28,72049.0,135,1.029,1.0
001,2012-08-15,2012-12-28,72726.0,135,1.039,1.0
001,2013-08-15,2013-12-28,65544.0,135,0.936,1.0
001,2014-08-15,2014-12-28,70500.0,135,1.007,1.0
001,2015-08-15,2015-12-28,71923.0,135,1.027,1.0
001,2016-08-15,2016-12-28,63030.0,135,0.9,1.0
001,2017-08-15,2017-12-28,64712.0,135,0.924,1.0
001,2018-08-15,2018-12-28,70110.0,135,1.002,1.0
001,2019-08-15,2019-12-28,68981.0,135,0.985,1.0
001,2020-08-15,2020-12-28,69845.0,135,0.998,1.0
001,2021-08-15,2021-12-28,72450.0,135,1.035,1.0
001,2022-08-15,2022-12-28,72096.0,135,1.03,1.0
001,2023-08-15,2023-12-28,73050.0,135,1.044,1.0
001,2024-08-15,2024-12-28,67924.0,135,0.97,1.0
001,2010-11-01,2011-03-16,71331.0,135,1.019,1.0
001,2011-11-01,2012-03-15,68063.0,135,0.972,1.0
001,2012-11-01,2013-03-16,73473.0,135,1.05,1.0
001,2013-11-01,2014-03-16,74900.0,135,1.07,1.0
001,2014-11-01,2015-03-16,70316.0,135,1.005,1.0
001,2015-11-01,2016-03-15,71533.0,135,1.022,1.0
001,2016-11-01,2017-03-16,73523.0,135,1.05,1.0
001,2017-11-01,2018-03-16,71722.0,135,1.025,1.0
001,2018-11-01,2019-03-16,69304.0,135,0.99,1.0
001,2019-11-01,2020-03-15,68870.0,135,0.984,1.0
001,2020-11-01,2021-03-16,69940.0,135,0.999,1.0
001,2021-11-01,2022-03-16,68411.0,135,0.977,1.0
001,2022-11-01,2023-03-16,70531.0,135,1.008,1.0
001,2023-11-01,2024-03-15,69772.0,135,0.997,1.0
