# SOURCE: Computed from FAO Penman-Monteith ET0 (Hargreaves-Samani simplified) + FAO-56 crop coefficients
# DATE: 2026-02-02
# DESCRIPTION: Daily irrigation demand for kale crops in Sinai Red Sea region
# UNITS:
#   - weather_scenario_id: Scenario identifier (text)
#   - planting_date: Date crop was planted (YYYY-MM-DD)
#   - crop_day: Days since planting (1 to season_length)
#   - calendar_date: Actual calendar date (YYYY-MM-DD)
#   - growth_stage: Crop growth stage (initial/development/mid/late)
#   - kc: Crop coefficient for this day (dimensionless)
#   - et0_mm: Reference evapotranspiration (mm/day)
#   - etc_mm: Crop evapotranspiration = ET0 x Kc (mm/day)
#   - irrigation_m3_per_ha_per_day: Water requirement per hectare (m3/ha/day)
# LOGIC: ET0 = 0.0023 * (Tmean + 17.8) * (Tmax - Tmin)^0.5 * Ra; ETc = ET0 x Kc; Irrigation = ETc x 10 / 0.9 (90% drip efficiency)
# DEPENDENCIES: daily_weather_scenario_001-toy.csv, crop_coefficients-toy.csv, growth_stages-toy.csv
# ASSUMPTIONS: Drip irrigation at 90% efficiency, no rainfall credit, no soil water storage
weather_scenario_id,planting_date,crop_day,calendar_date,growth_stage,kc,et0_mm,etc_mm,irrigation_m3_per_ha_per_day
001,2010-01-01,1,2010-01-01,initial,0.75,2.05,1.54,17.06
001,2010-01-01,2,2010-01-02,initial,0.75,2.2,1.65,18.35
001,2010-01-01,3,2010-01-03,initial,0.75,2.24,1.68,18.67
001,2010-01-01,4,2010-01-04,initial,0.75,2.15,1.61,17.91
001,2010-01-01,5,2010-01-05,initial,0.75,2.24,1.68,18.7
001,2010-01-01,6,2010-01-06,initial,0.75,2.09,1.57,17.4
001,2010-01-01,7,2010-01-07,initial,0.75,2.07,1.55,17.27
001,2010-01-01,8,2010-01-08,initial,0.75,2.14,1.61,17.87
001,2010-01-01,9,2010-01-09,initial,0.75,2.0,1.5,16.71
001,2010-01-01,10,2010-01-10,initial,0.75,2.31,1.74,19.28
001,2010-01-01,11,2010-01-11,initial,0.75,2.3,1.72,19.16
001,2010-01-01,12,2010-01-12,initial,0.75,1.98,1.49,16.51
001,2010-01-01,13,2010-01-13,initial,0.75,2.43,1.82,20.23
001,2010-01-01,14,2010-01-14,initial,0.75,2.45,1.84,20.4
001,2010-01-01,15,2010-01-15,initial,0.75,2.26,1.7,18.85
001,2010-01-01,16,2010-01-16,development,0.764,2.21,1.69,18.76
001,2010-01-01,17,2010-01-17,development,0.778,2.5,1.94,21.58
001,2010-01-01,18,2010-01-18,development,0.792,2.18,1.72,19.16
001,2010-01-01,19,2010-01-19,development,0.806,2.09,1.68,18.71
001,2010-01-01,20,2010-01-20,development,0.82,2.38,1.95,21.69
001,2010-01-01,21,2010-01-21,development,0.834,2.01,1.68,18.62
001,2010-01-01,22,2010-01-22,development,0.848,2.57,2.18,24.24
