# SOURCE: Computed from FAO Penman-Monteith ET0 (Hargreaves-Samani simplified) + FAO-56 crop coefficients
# DATE: 2026-02-06
# DESCRIPTION: Daily irrigation demand for onion crops in Sinai Red Sea region
# UNITS:
#   - weather_scenario_id: Scenario identifier (text)
#   - planting_date: Date crop was planted (YYYY-MM-DD)
#   - crop_day: Days since planting (1 to season_length)
#   - calendar_date: Actual calendar date (YYYY-MM-DD)
#   - growth_stage: Crop growth stage (initial/development/mid/late)
#   - kc: Crop coefficient for this day (dimensionless)
#   - et0_mm: Reference evapotranspiration (mm/day)
#   - etc_mm: Crop evapotranspiration = ET0 x Kc (mm/day)
#   - irrigation_m3_per_ha_per_day: Water requirement per hectare (m3/ha/day)
# LOGIC: ET0 = 0.0023 * (Tmean + 17.8) * (Tmax - Tmin)^0.5 * Ra; ETc = ET0 x Kc; Irrigation = ETc x 10 / 0.9 (90% drip efficiency)
# DEPENDENCIES: daily_weather_scenario_001-toy.csv, crop_coefficients-toy.csv, growth_stages-toy.csv
# ASSUMPTIONS: Drip irrigation at 90% efficiency, no rainfall credit, no soil water storage
weather_scenario_id,planting_date,crop_day,calendar_date,growth_stage,kc,et0_mm,etc_mm,irrigation_m3_per_ha_per_day
001,2010-01-15,1,2010-01-15,initial,0.75,2.26,1.7,18.85
001,2010-01-15,2,2010-01-16,initial,0.75,2.21,1.66,18.41
001,2010-01-15,3,2010-01-17,initial,0.75,2.5,1.87,20.81
001,2010-01-15,4,2010-01-18,initial,0.75,2.18,1.63,18.15
001,2010-01-15,5,2010-01-19,initial,0.75,2.09,1.57,17.41
001,2010-01-15,6,2010-01-20,initial,0.75,2.38,1.79,19.84
001,2010-01-15,7,2010-01-21,initial,0.75,2.01,1.51,16.75
001,2010-01-15,8,2010-01-22,initial,0.75,2.57,1.93,21.44
001,2010-01-15,9,2010-01-23,initial,0.75,2.04,1.53,17.01
001,2010-01-15,10,2010-01-24,initial,0.75,2.12,1.59,17.63
001,2010-01-15,11,2010-01-25,initial,0.75,2.59,1.94,21.59
001,2010-01-15,12,2010-01-26,initial,0.75,2.72,2.04,22.67
001,2010-01-15,13,2010-01-27,initial,0.75,2.56,1.92,21.34
001,2010-01-15,14,2010-01-28,initial,0.75,2.53,1.9,21.1
001,2010-01-15,15,2010-01-29,initial,0.75,2.3,1.72,19.14
001,2010-01-15,16,2010-01-30,development,0.763,2.36,1.8,20.02
001,2010-01-15,17,2010-01-31,development,0.777,2.52,1.96,21.8
001,2010-01-15,18,2010-02-01,development,0.79,2.54,2.01,22.33
001,2010-01-15,19,2010-02-02,development,0.804,2.48,1.99,22.13
001,2010-01-15,20,2010-02-03,development,0.817,2.63,2.15,23.84
001,2010-01-15,21,2010-02-04,development,0.831,2.36,1.96,21.8
001,2010-01-15,22,2010-02-05,development,0.844,2.67,2.25,25.05
001,2010-01-15,23,2010-02-06,development,0.858,2.36,2.03,22.51
001,2010-01-15,24,2010-02-07,development,0.871,2.68,2.33,25.94
001,2010-01-15,25,2010-02-08,development,0.885,2.53,2.24,24.87
001,2010-01-15,26,2010-02-09,development,0.898,2.82,2.53,28.13
001,2010-01-15,27,2010-02-10,development,0.912,2.9,2.65,29.39
001,2010-01-15,28,2010-02-11,development,0.925,2.14,1.98,21.96
001,2010-01-15,29,2010-02-12,development,0.938,2.92,2.74,30.4
001,2010-01-15,30,2010-02-13,development,0.952,2.93,2.79,30.98
001,2010-01-15,31,2010-02-14,development,0.965,3.2,3.09,34.32
001,2010-01-15,32,2010-02-15,development,0.979,2.64,2.58,28.68
001,2010-01-15,33,2010-02-16,development,0.992,2.56,2.54,28.27
001,2010-01-15,34,2010-02-17,development,1.006,2.46,2.47,27.49
001,2010-01-15,35,2010-02-18,development,1.019,2.55,2.6,28.9
001,2010-01-15,36,2010-02-19,development,1.033,3.16,3.26,36.27
001,2010-01-15,37,2010-02-20,development,1.046,3.32,3.47,38.57
001,2010-01-15,38,2010-02-21,development,1.06,3.32,3.52,39.07
001,2010-01-15,39,2010-02-22,development,1.073,2.8,3.01,33.43
001,2010-01-15,40,2010-02-23,development,1.087,3.09,3.36,37.32
001,2010-01-15,41,2010-02-24,development,1.1,3.13,3.45,38.31
001,2010-01-15,42,2010-02-25,mid,1.1,3.0,3.3,36.62
001,2010-01-15,43,2010-02-26,mid,1.1,3.68,4.05,44.96
001,2010-01-15,44,2010-02-27,mid,1.1,3.19,3.51,38.99
001,2010-01-15,45,2010-02-28,mid,1.1,3.61,3.98,44.17
001,2010-01-15,46,2010-03-01,mid,1.1,2.79,3.07,34.06
001,2010-01-15,47,2010-03-02,mid,1.1,3.54,3.9,43.29
001,2010-01-15,48,2010-03-03,mid,1.1,3.68,4.05,45.0
001,2010-01-15,49,2010-03-04,mid,1.1,3.4,3.74,41.51
001,2010-01-15,50,2010-03-05,mid,1.1,3.3,3.63,40.33
001,2010-01-15,51,2010-03-06,mid,1.1,3.16,3.48,38.67
001,2010-01-15,52,2010-03-07,mid,1.1,3.37,3.7,41.16
001,2010-01-15,53,2010-03-08,mid,1.1,3.88,4.26,47.37
001,2010-01-15,54,2010-03-09,mid,1.1,3.93,4.33,48.09
001,2010-01-15,55,2010-03-10,mid,1.1,3.7,4.08,45.28
001,2010-01-15,56,2010-03-11,mid,1.1,3.43,3.77,41.9
001,2010-01-15,57,2010-03-12,mid,1.1,3.67,4.03,44.8
