# SOURCE: Computed from FAO Penman-Monteith ET0 (Hargreaves-Samani simplified) + FAO-56 crop coefficients
# DATE: 2026-02-02
# DESCRIPTION: Daily irrigation demand for tomato crops in Sinai Red Sea region
# UNITS:
#   - weather_scenario_id: Scenario identifier (text)
#   - planting_date: Date crop was planted (YYYY-MM-DD)
#   - crop_day: Days since planting (1 to season_length)
#   - calendar_date: Actual calendar date (YYYY-MM-DD)
#   - growth_stage: Crop growth stage (initial/development/mid/late)
#   - kc: Crop coefficient for this day (dimensionless)
#   - et0_mm: Reference evapotranspiration (mm/day)
#   - etc_mm: Crop evapotranspiration = ET0 x Kc (mm/day)
#   - irrigation_m3_per_ha_per_day: Water requirement per hectare (m3/ha/day)
# LOGIC: ET0 = 0.0023 * (Tmean + 17.8) * (Tmax - Tmin)^0.5 * Ra; ETc = ET0 x Kc; Irrigation = ETc x 10 / 0.9 (90% drip efficiency)
# DEPENDENCIES: daily_weather_scenario_001-toy.csv, crop_coefficients-toy.csv, growth_stages-toy.csv
# ASSUMPTIONS: Drip irrigation at 90% efficiency, no rainfall credit, no soil water storage
weather_scenario_id,planting_date,crop_day,calendar_date,growth_stage,kc,et0_mm,etc_mm,irrigation_m3_per_ha_per_day
001,2010-02-15,1,2010-02-15,initial,0.65,2.64,1.71,19.05
001,2010-02-15,2,2010-02-16,initial,0.65,2.56,1.67,18.52
001,2010-02-15,3,2010-02-17,initial,0.65,2.46,1.6,17.77
001,2010-02-15,4,2010-02-18,initial,0.65,2.55,1.66,18.43
001,2010-02-15,5,2010-02-19,initial,0.65,3.16,2.05,22.83
001,2010-02-15,6,2010-02-20,initial,0.65,3.32,2.16,23.96
001,2010-02-15,7,2010-02-21,initial,0.65,3.32,2.16,23.97
001,2010-02-15,8,2010-02-22,initial,0.65,2.8,1.82,20.25
001,2010-02-15,9,2010-02-23,initial,0.65,3.09,2.01,22.32
001,2010-02-15,10,2010-02-24,initial,0.65,3.13,2.04,22.64
001,2010-02-15,11,2010-02-25,initial,0.65,3.0,1.95,21.64
001,2010-02-15,12,2010-02-26,initial,0.65,3.68,2.39,26.57
001,2010-02-15,13,2010-02-27,initial,0.65,3.19,2.07,23.04
001,2010-02-15,14,2010-02-28,initial,0.65,3.61,2.35,26.1
001,2010-02-15,15,2010-03-01,initial,0.65,2.79,1.81,20.13
001,2010-02-15,16,2010-03-02,initial,0.65,3.54,2.3,25.58
001,2010-02-15,17,2010-03-03,initial,0.65,3.68,2.39,26.59
001,2010-02-15,18,2010-03-04,initial,0.65,3.4,2.21,24.53
001,2010-02-15,19,2010-03-05,initial,0.65,3.3,2.14,23.83
001,2010-02-15,20,2010-03-06,initial,0.65,3.16,2.06,22.85
001,2010-02-15,21,2010-03-07,initial,0.65,3.37,2.19,24.32
001,2010-02-15,22,2010-03-08,initial,0.65,3.88,2.52,27.99
001,2010-02-15,23,2010-03-09,initial,0.65,3.93,2.56,28.41
001,2010-02-15,24,2010-03-10,initial,0.65,3.7,2.41,26.76
001,2010-02-15,25,2010-03-11,initial,0.65,3.43,2.23,24.76
001,2010-02-15,26,2010-03-12,initial,0.65,3.67,2.38,26.47
001,2010-02-15,27,2010-03-13,initial,0.65,3.83,2.49,27.7
001,2010-02-15,28,2010-03-14,initial,0.65,3.69,2.4,26.62
001,2010-02-15,29,2010-03-15,initial,0.65,3.66,2.38,26.4
001,2010-02-15,30,2010-03-16,initial,0.65,3.97,2.58,28.71
