# SOURCE: Computed from weather data using simplified PV model
# DATE: 2026-02-06
# DESCRIPTION: Normalized daily PV power output per kW of installed capacity for three agri-PV density variants (low/medium/high ground coverage)
# UNITS: date=YYYY-MM-DD, density_variant=text, kwh_per_kw_per_day=kWh/kW/day, capacity_factor=dimensionless(0-1)
# LOGIC: PV output = solar_irradiance * tilt_factor(1.05) * temp_factor * (1-system_losses). Temp factor uses cell temp model: T_cell = T_avg + 25C + density_adjustment. Temperature coefficient = -0.4%/C from 25C reference. System losses = 15%.
# DEPENDENCIES: data/precomputed/weather/daily_weather_scenario_001-toy.csv
# ASSUMPTIONS: Fixed-tilt 28deg south-facing panels. Module efficiency ~19%. High density panels run 2C cooler (shading effect), low density run 2C hotter. All panels receive full irradiance (panels above crops, not shaded by each other). Tilt factor approximate; full pvlib model would be more accurate.
weather_scenario_id,date,density_variant,kwh_per_kw_per_day,capacity_factor
001,2010-01-01,low,3.4202,0.1425
001,2010-01-01,medium,3.4499,0.1437
001,2010-01-01,high,3.4796,0.145
001,2010-01-02,low,2.9798,0.1242
001,2010-01-02,medium,3.0054,0.1252
001,2010-01-02,high,3.0311,0.1263
001,2010-01-03,low,3.1482,0.1312
001,2010-01-03,medium,3.1757,0.1323
001,2010-01-03,high,3.2032,0.1335
001,2010-01-04,low,3.1294,0.1304
001,2010-01-04,medium,3.1564,0.1315
001,2010-01-04,high,3.1834,0.1326
001,2010-01-05,low,3.7441,0.156
001,2010-01-05,medium,3.7761,0.1573
001,2010-01-05,high,3.8081,0.1587
001,2010-01-06,low,3.1074,0.1295
001,2010-01-06,medium,3.135,0.1306
001,2010-01-06,high,3.1626,0.1318
001,2010-01-07,low,3.5328,0.1472
001,2010-01-07,medium,3.5636,0.1485
001,2010-01-07,high,3.5943,0.1498
001,2010-01-08,low,4.1394,0.1725
001,2010-01-08,medium,4.1755,0.174
001,2010-01-08,high,4.2117,0.1755
001,2010-01-09,low,3.9003,0.1625
001,2010-01-09,medium,3.9338,0.1639
001,2010-01-09,high,3.9674,0.1653
001,2010-01-10,low,3.2115,0.1338
001,2010-01-10,medium,3.2392,0.135
001,2010-01-10,high,3.2669,0.1361
001,2010-01-11,low,3.2248,0.1344
001,2010-01-11,medium,3.2529,0.1355
001,2010-01-11,high,3.2809,0.1367
001,2010-01-12,low,3.577,0.149
001,2010-01-12,medium,3.6079,0.1503
001,2010-01-12,high,3.6388,0.1516
001,2010-01-13,low,2.7237,0.1135
001,2010-01-13,medium,2.7474,0.1145
001,2010-01-13,high,2.7711,0.1155
001,2010-01-14,low,3.093,0.1289
001,2010-01-14,medium,3.1196,0.13
001,2010-01-14,high,3.1461,0.1311
001,2010-01-15,low,3.6042,0.1502
001,2010-01-15,medium,3.6355,0.1515
001,2010-01-15,high,3.6668,0.1528
001,2010-01-16,low,3.3826,0.1409
001,2010-01-16,medium,3.4119,0.1422
001,2010-01-16,high,3.4412,0.1434
001,2010-01-17,low,4.1049,0.171
001,2010-01-17,medium,4.1412,0.1726
001,2010-01-17,high,4.1776,0.1741
001,2010-01-18,low,3.1755,0.1323
001,2010-01-18,medium,3.2032,0.1335
001,2010-01-18,high,3.2309,0.1346
001,2010-01-19,low,3.0476,0.127
001,2010-01-19,medium,3.074,0.1281
001,2010-01-19,high,3.1003,0.1292
001,2010-01-20,low,3.0754,0.1281
001,2010-01-20,medium,3.1024,0.1293
001,2010-01-20,high,3.1294,0.1304
001,2010-01-21,low,3.4839,0.1452
001,2010-01-21,medium,3.514,0.1464
001,2010-01-21,high,3.5441,0.1477
001,2010-01-22,low,3.4142,0.1423
001,2010-01-22,medium,3.4439,0.1435
001,2010-01-22,high,3.4735,0.1447
001,2010-01-23,low,4.405,0.1835
001,2010-01-23,medium,4.4428,0.1851
001,2010-01-23,high,4.4805,0.1867
001,2010-01-24,low,3.3688,0.1404
001,2010-01-24,medium,3.3978,0.1416
001,2010-01-24,high,3.4269,0.1428
001,2010-01-25,low,3.533,0.1472
001,2010-01-25,medium,3.5637,0.1485
001,2010-01-25,high,3.5944,0.1498
001,2010-01-26,low,3.8466,0.1603
001,2010-01-26,medium,3.8801,0.1617
001,2010-01-26,high,3.9137,0.1631
001,2010-01-27,low,3.4866,0.1453
001,2010-01-27,medium,3.517,0.1465
001,2010-01-27,high,3.5473,0.1478
001,2010-01-28,low,3.7565,0.1565
001,2010-01-28,medium,3.7891,0.1579
001,2010-01-28,high,3.8218,0.1592
001,2010-01-29,low,3.6959,0.154
001,2010-01-29,medium,3.7281,0.1553
001,2010-01-29,high,3.7603,0.1567
001,2010-01-30,low,3.9328,0.1639
001,2010-01-30,medium,3.9665,0.1653
001,2010-01-30,high,4.0003,0.1667
001,2010-01-31,low,3.0827,0.1284
001,2010-01-31,medium,3.1093,0.1296
001,2010-01-31,high,3.1359,0.1307
001,2010-02-01,low,3.9138,0.1631
001,2010-02-01,medium,3.9477,0.1645
001,2010-02-01,high,3.9816,0.1659
001,2010-02-02,low,3.5078,0.1462
001,2010-02-02,medium,3.5388,0.1474
001,2010-02-02,high,3.5698,0.1487
001,2010-02-03,low,3.6725,0.153
001,2010-02-03,medium,3.7046,0.1544
001,2010-02-03,high,3.7367,0.1557
001,2010-02-04,low,3.5503,0.1479
001,2010-02-04,medium,3.5808,0.1492
001,2010-02-04,high,3.6113,0.1505
001,2010-02-05,low,4.2365,0.1765
001,2010-02-05,medium,4.2736,0.1781
001,2010-02-05,high,4.3106,0.1796
001,2010-02-06,low,2.9261,0.1219
001,2010-02-06,medium,2.9517,0.123
001,2010-02-06,high,2.9772,0.1241
001,2010-02-07,low,4.2058,0.1752
001,2010-02-07,medium,4.2422,0.1768
001,2010-02-07,high,4.2786,0.1783
001,2010-02-08,low,3.4176,0.1424
001,2010-02-08,medium,3.4477,0.1437
001,2010-02-08,high,3.4778,0.1449
001,2010-02-09,low,4.2013,0.1751
001,2010-02-09,medium,4.2383,0.1766
001,2010-02-09,high,4.2754,0.1781
001,2010-02-10,low,4.1114,0.1713
001,2010-02-10,medium,4.1476,0.1728
001,2010-02-10,high,4.1838,0.1743
001,2010-02-11,low,4.0814,0.1701
001,2010-02-11,medium,4.1171,0.1715
001,2010-02-11,high,4.1528,0.173
001,2010-02-12,low,4.0598,0.1692
001,2010-02-12,medium,4.095,0.1706
001,2010-02-12,high,4.1303,0.1721
001,2010-02-13,low,4.5326,0.1889
001,2010-02-13,medium,4.5723,0.1905
001,2010-02-13,high,4.612,0.1922
001,2010-02-14,low,3.567,0.1486
001,2010-02-14,medium,3.5984,0.1499
001,2010-02-14,high,3.6297,0.1512
001,2010-02-15,low,3.6103,0.1504
001,2010-02-15,medium,3.6419,0.1517
001,2010-02-15,high,3.6734,0.1531
001,2010-02-16,low,3.5833,0.1493
001,2010-02-16,medium,3.6148,0.1506
001,2010-02-16,high,3.6462,0.1519
001,2010-02-17,low,4.1603,0.1733
001,2010-02-17,medium,4.1966,0.1749
001,2010-02-17,high,4.2328,0.1764
001,2010-02-18,low,3.4456,0.1436
001,2010-02-18,medium,3.4756,0.1448
001,2010-02-18,high,3.5056,0.1461
001,2010-02-19,low,4.1698,0.1737
001,2010-02-19,medium,4.2066,0.1753
001,2010-02-19,high,4.2434,0.1768
001,2010-02-20,low,3.7476,0.1561
001,2010-02-20,medium,3.7808,0.1575
001,2010-02-20,high,3.814,0.1589
001,2010-02-21,low,3.5796,0.1492
001,2010-02-21,medium,3.6108,0.1505
001,2010-02-21,high,3.642,0.1518
001,2010-02-22,low,3.5184,0.1466
001,2010-02-22,medium,3.5498,0.1479
001,2010-02-22,high,3.5811,0.1492
001,2010-02-23,low,3.6686,0.1529
001,2010-02-23,medium,3.701,0.1542
001,2010-02-23,high,3.7333,0.1556
001,2010-02-24,low,3.5149,0.1465
001,2010-02-24,medium,3.5455,0.1477
001,2010-02-24,high,3.5761,0.149
001,2010-02-25,low,4.0986,0.1708
001,2010-02-25,medium,4.1349,0.1723
001,2010-02-25,high,4.1712,0.1738
001,2010-02-26,low,4.2066,0.1753
001,2010-02-26,medium,4.2439,0.1768
001,2010-02-26,high,4.2813,0.1784
001,2010-02-27,low,4.2926,0.1789
001,2010-02-27,medium,4.3304,0.1804
001,2010-02-27,high,4.3682,0.182
001,2010-02-28,low,3.7821,0.1576
001,2010-02-28,medium,3.8158,0.159
001,2010-02-28,high,3.8495,0.1604
001,2010-03-01,low,4.2167,0.1757
001,2010-03-01,medium,4.253,0.1772
001,2010-03-01,high,4.2893,0.1787
001,2010-03-02,low,4.027,0.1678
001,2010-03-02,medium,4.0627,0.1693
001,2010-03-02,high,4.0984,0.1708
001,2010-03-03,low,4.2987,0.1791
001,2010-03-03,medium,4.3364,0.1807
001,2010-03-03,high,4.374,0.1823
001,2010-03-04,low,4.2324,0.1763
001,2010-03-04,medium,4.2696,0.1779
001,2010-03-04,high,4.3068,0.1794
001,2010-03-05,low,4.1219,0.1717
001,2010-03-05,medium,4.1584,0.1733
001,2010-03-05,high,4.1949,0.1748
001,2010-03-06,low,3.6584,0.1524
001,2010-03-06,medium,3.6901,0.1538
001,2010-03-06,high,3.7218,0.1551
