# SOURCE: Synthetic data generated for Community Agri-PV project
# DATE: 2026-02-06
# DESCRIPTION: Daily weather data for Sinai Peninsula, Red Sea coast (~28N, 34E)
# UNITS: date=YYYY-MM-DD, temp_max_c=Celsius, temp_min_c=Celsius, solar_irradiance_kwh_m2=kWh/m2/day, wind_speed_ms=m/s, precip_mm=mm/day
# LOGIC: Temperature uses sinusoidal annual cycle + AR(1) year anomaly + daily noise. Solar uses latitude-based seasonal variation. Wind uses spring-peak seasonal pattern with gamma-distributed noise. Precipitation uses rare events (exponential) concentrated Nov-Feb.
# DEPENDENCIES: None (standalone dataset)
# ASSUMPTIONS: Hot arid desert climate (BWh Koppen). Summer max 38-46C, winter max 18-26C. Annual rainfall 20-80mm. Solar summer 6-8 kWh/m2/day, winter 3-5 kWh/m2/day. Wind 2-6 m/s average with occasional gusts to 12 m/s.
date,temp_max_c,temp_min_c,solar_irradiance_kwh_m2,wind_speed_ms,precip_mm,weather_scenario_id
2010-01-01,21.9,13.5,4.16,3.84,0.0,001
2010-01-02,21.0,10.0,3.59,5.42,0.0,001
2010-01-03,23.6,14.3,3.85,3.63,0.0,001
2010-01-04,21.1,11.1,3.78,9.35,0.0,001
2010-01-05,20.1,7.7,4.48,4.25,0.0,001
2010-01-06,25.8,19.2,3.86,4.71,0.0,001
2010-01-07,22.4,14.4,4.31,3.76,0.0,001
2010-01-08,23.0,14.7,5.06,4.78,0.0,001
2010-01-09,19.9,11.2,4.7,5.23,0.0,001
2010-01-10,21.7,10.6,3.88,4.28,0.0,001
2010-01-11,23.0,13.3,3.93,3.81,0.0,001
2010-01-12,20.5,12.7,4.33,4.53,0.0,001
2010-01-13,23.5,12.9,3.32,4.26,0.0,001
2010-01-14,21.5,8.7,3.72,4.13,0.0,001
2010-01-15,22.2,12.8,4.38,5.46,0.0,001
2010-01-16,21.5,12.3,4.1,4.2,0.0,001
2010-01-17,26.5,17.7,5.09,4.57,0.0,001
2010-01-18,22.7,14.8,3.88,4.84,0.0,001
2010-01-19,20.7,12.6,3.69,5.12,0.0,001
2010-01-20,24.4,15.8,3.78,4.19,0.0,001
2010-01-21,20.4,13.1,4.22,3.66,0.0,001
2010-01-22,23.2,11.9,4.15,4.27,0.0,001
2010-01-23,18.9,10.6,5.29,4.1,0.0,001
2010-01-24,20.2,12.1,4.07,5.11,0.0,001
2010-01-25,23.3,12.4,4.3,3.82,0.0,001
2010-01-26,24.4,13.1,4.7,4.85,0.0,001
2010-01-27,23.3,13.1,4.25,8.03,0.0,001
2010-01-28,22.8,12.7,4.57,4.89,0.0,001
2010-01-29,22.4,14.5,4.51,5.29,0.0,001
2010-01-30,20.1,10.1,4.73,6.69,0.0,001
2010-01-31,21.7,11.3,3.73,5.85,0.0,001
2010-02-01,22.2,12.2,4.75,4.66,0.0,001
2010-02-02,25.3,17.9,4.34,4.7,0.0,001
2010-02-03,24.0,14.8,4.5,5.59,0.0,001
2010-02-04,19.8,10.4,4.27,4.65,0.0,001
2010-02-05,24.0,14.7,5.19,4.67,0.0,001
2010-02-06,22.7,15.4,3.58,8.13,0.0,001
2010-02-07,22.2,11.8,5.1,5.11,0.0,001
2010-02-08,24.8,17.5,4.22,4.59,0.0,001
2010-02-09,25.7,16.8,5.19,4.81,0.0,001
2010-02-10,25.6,16.1,5.07,4.39,0.0,001
2010-02-11,22.1,16.6,5.0,4.57,0.0,001
2010-02-12,23.3,12.3,4.94,4.37,0.0,001
2010-02-13,24.6,14.7,5.56,4.39,0.0,001
