# SOURCE: Computed from weather data using Weibull-integrated power curve model
# DATE: 2026-02-06
# DESCRIPTION: Normalized daily wind power output per kW of rated capacity for turbine variants (small 10kW, medium 25kW, large 50kW)
# UNITS: date=YYYY-MM-DD, turbine_variant=text, kwh_per_kw_per_day=kWh/kW/day, capacity_factor=dimensionless(0-1)
# LOGIC: Power curve model with cut-in/rated/cut-out speeds integrated over Weibull (Rayleigh, k=2) wind speed distribution. Below cut-in: 0. Cut-in to rated: cubic relationship. Rated to cut-out: full power. Above cut-out: 0. Wind shear correction applied (alpha=0.17) to scale from 10m measurement height to hub height. Weibull scale parameter derived from hub-height daily average wind speed.
# DEPENDENCIES: data/precomputed/weather/daily_weather_scenario_001-toy.csv, settings/data_registry.yaml (equipment.wind_turbines)
# ASSUMPTIONS: Turbines designed for low-wind sites (IEC Class III/IV). Small turbine (10kW): cut-in 2.5 m/s, rated 11.0 m/s, cut-out 25.0 m/s, hub 30m. Medium turbine (25kW): cut-in 3.2 m/s, rated 11.0 m/s, cut-out 25.0 m/s, hub 30m. Large turbine (50kW): cut-in 3.5 m/s, rated 10.0 m/s, cut-out 25.0 m/s, hub 37m. Wind at measurement height (10m) scaled to hub height using power law (alpha=0.17). Hourly wind speeds follow Rayleigh distribution (Weibull k=2).
weather_scenario_id,date,turbine_variant,kwh_per_kw_per_day,capacity_factor
001,2010-01-01,small,0.4322,0.018
001,2010-01-01,medium,0.3037,0.0127
001,2010-01-01,large,0.4878,0.0203
001,2010-01-02,small,2.0402,0.085
001,2010-01-02,medium,1.7514,0.073
001,2010-01-02,large,2.6418,0.1101
001,2010-01-03,small,0.3235,0.0135
001,2010-01-03,medium,0.2168,0.009
001,2010-01-03,large,0.3463,0.0144
001,2010-01-04,small,9.2811,0.3867
001,2010-01-04,medium,8.9174,0.3716
001,2010-01-04,large,10.7782,0.4491
001,2010-01-05,small,0.711,0.0296
001,2010-01-05,medium,0.538,0.0224
001,2010-01-05,large,0.863,0.036
001,2010-01-06,small,1.1388,0.0474
001,2010-01-06,medium,0.9164,0.0382
001,2010-01-06,large,1.4453,0.0602
001,2010-01-07,small,0.3882,0.0162
001,2010-01-07,medium,0.2681,0.0112
001,2010-01-07,large,0.43,0.0179
001,2010-01-08,small,1.2149,0.0506
001,2010-01-08,medium,0.9853,0.0411
001,2010-01-08,large,1.5483,0.0645
001,2010-01-09,small,1.7717,0.0738
001,2010-01-09,medium,1.4991,0.0625
001,2010-01-09,large,2.2912,0.0955
001,2010-01-10,small,0.7351,0.0306
001,2010-01-10,medium,0.5588,0.0233
001,2010-01-10,large,0.8958,0.0373
001,2010-01-11,small,0.4153,0.0173
001,2010-01-11,medium,0.29,0.0121
001,2010-01-11,large,0.4655,0.0194
001,2010-01-12,small,0.9565,0.0399
001,2010-01-12,medium,0.7531,0.0314
001,2010-01-12,large,1.1975,0.0499
001,2010-01-13,small,0.719,0.03
001,2010-01-13,medium,0.5449,0.0227
001,2010-01-13,large,0.8739,0.0364
001,2010-01-14,small,0.6198,0.0258
001,2010-01-14,medium,0.4599,0.0192
001,2010-01-14,large,0.7391,0.0308
001,2010-01-15,small,2.099,0.0875
001,2010-01-15,medium,1.807,0.0753
001,2010-01-15,large,2.718,0.1132
001,2010-01-16,small,0.672,0.028
