# SOURCE: Synthetic data generated for Community Agri-PV model
# DATE: 2026-02-06
# DESCRIPTION: Monthly wholesale kale prices (USD/kg) for Egypt/MENA region
# UNITS: usd_per_kg (wholesale), usd_per_kg_farmgate (estimated farmgate)
# LOGIC: Sinusoidal seasonality (low prices at harvest) + AR(1) persistence + random shocks
# DEPENDENCIES: None
# ASSUMPTIONS: Harvest months [10, 11, 12, 1, 2, 3], price range $1.50-$3.00/kg
# FARMGATE_RATIO: 0.45 (farmgate = wholesale * 0.45, typical Egyptian fresh produce)
# GENERATION_METHOD: Synthetic with realistic seasonal and market dynamics
# CURRENCY: All prices in USD; reference FAO/USDA global commodity prices
date,usd_per_kg,season,market_condition,usd_per_kg_farmgate
2015-01-01,2.3146,winter,low,1.0416
2015-02-01,2.1518,winter,low,0.9683
2015-03-01,2.6717,spring,high,1.2023
2015-04-01,2.668,spring,high,1.2006
2015-05-01,2.4054,spring,medium,1.0824
2015-06-01,2.8985,summer,high,1.3043
2015-07-01,2.5692,summer,medium,1.1561
2015-08-01,2.1094,summer,low,0.9492
2015-09-01,2.1243,fall,low,0.9559
2015-10-01,2.0124,fall,low,0.9056
2015-11-01,1.983,fall,low,0.8924
2015-12-01,2.2938,winter,low,1.0322
2016-01-01,2.2975,winter,low,1.0339
2016-02-01,2.2989,winter,low,1.0345
2016-03-01,2.0899,spring,low,0.9405
2016-04-01,2.0138,spring,low,0.9062
2016-05-01,2.634,spring,medium,1.1853
2016-06-01,2.3734,summer,low,1.068
2016-07-01,2.823,summer,high,1.2704
2016-08-01,2.3855,summer,low,1.0735
2016-09-01,2.038,fall,low,0.9171
2016-10-01,2.1658,fall,low,0.9746
2016-11-01,2.0713,fall,low,0.9321
2016-12-01,2.2421,winter,low,1.0089
2017-01-01,2.195,winter,low,0.9877
2017-02-01,2.3297,winter,low,1.0484
2017-03-01,2.1106,spring,low,0.9498
2017-04-01,2.3345,spring,low,1.0505
2017-05-01,2.6243,spring,medium,1.1809
2017-06-01,2.7234,summer,high,1.2255
2017-07-01,2.6001,summer,medium,1.17
2017-08-01,3.1021,summer,high,1.3959
2017-09-01,2.7824,fall,high,1.2521
2017-10-01,2.6198,fall,medium,1.1789
2017-11-01,2.5315,fall,medium,1.1392
2017-12-01,2.6552,winter,high,1.1948
2018-01-01,2.5769,winter,medium,1.1596
2018-02-01,2.8343,winter,high,1.2754
2018-03-01,2.5625,spring,medium,1.1531
2018-04-01,2.823,spring,high,1.2704
2018-05-01,2.6029,spring,medium,1.1713
2018-06-01,3.0252,summer,high,1.3613
2018-07-01,2.842,summer,high,1.2789
2018-08-01,2.4459,summer,medium,1.1007
2018-09-01,2.4069,fall,medium,1.0831
2018-10-01,2.2266,fall,low,1.002
2018-11-01,2.4605,fall,medium,1.1072
2018-12-01,2.2831,winter,low,1.0274
2019-01-01,2.3044,winter,low,1.037
2019-02-01,1.9779,winter,low,0.8901
2019-03-01,2.0354,spring,low,0.9159
2019-04-01,1.6248,spring,low,0.7312
2019-05-01,1.9296,spring,low,0.8683
2019-06-01,2.2752,summer,low,1.0238
2019-07-01,2.5909,summer,medium,1.1659
2019-08-01,2.1987,summer,low,0.9894
2019-09-01,2.494,fall,medium,1.1223
2019-10-01,2.2265,fall,low,1.0019
2019-11-01,2.3866,fall,medium,1.074
2019-12-01,2.0286,winter,low,0.9129
2020-01-01,2.4864,winter,medium,1.1189
2020-02-01,2.4349,winter,medium,1.0957
2020-03-01,2.3944,spring,medium,1.0775
2020-04-01,2.7221,spring,high,1.2249
2020-05-01,2.6094,spring,medium,1.1742
2020-06-01,2.3837,summer,low,1.0727
2020-07-01,2.4998,summer,medium,1.1249
2020-08-01,2.338,summer,low,1.0521
2020-09-01,2.1471,fall,low,0.9662
2020-10-01,2.1487,fall,low,0.9669
2020-11-01,2.6997,fall,high,1.2149
2020-12-01,2.5293,winter,medium,1.1382
2021-01-01,2.4268,winter,medium,1.0921
2021-02-01,2.5916,winter,medium,1.1662
2021-03-01,2.7768,spring,high,1.2496
2021-04-01,2.9461,spring,high,1.3257
2021-05-01,2.8977,spring,high,1.304
2021-06-01,2.6167,summer,medium,1.1775
2021-07-01,3.0152,summer,high,1.3568
2021-08-01,2.6341,summer,high,1.1853
2021-09-01,2.7801,fall,high,1.251
2021-10-01,2.5975,fall,medium,1.1689
2021-11-01,3.2122,fall,high,1.4455
2021-12-01,2.6009,winter,medium,1.1704
2022-01-01,2.7493,winter,high,1.2372
2022-02-01,2.6979,winter,high,1.2141
2022-03-01,3.0523,spring,high,1.3735
2022-04-01,2.7928,spring,high,1.2568
2022-05-01,2.61,spring,medium,1.1745
2022-06-01,3.1534,summer,high,1.419
2022-07-01,2.8512,summer,high,1.283
2022-08-01,2.4917,summer,medium,1.1213
2022-09-01,2.5398,fall,medium,1.1429
2022-10-01,2.5344,fall,medium,1.1405
2022-11-01,2.5033,fall,medium,1.1265
2022-12-01,2.5542,winter,medium,1.1494
2023-01-01,2.4049,winter,medium,1.0822
2023-02-01,2.7557,winter,high,1.2401
2023-03-01,2.8916,spring,high,1.3012
2023-04-01,2.9399,spring,high,1.323
2023-05-01,2.8071,spring,high,1.2632
2023-06-01,2.7937,summer,high,1.2572
2023-07-01,3.1589,summer,high,1.4215
2023-08-01,2.5548,summer,medium,1.1497
2023-09-01,2.4087,fall,medium,1.0839
2023-10-01,1.9695,fall,low,0.8863
2023-11-01,2.2603,fall,low,1.0171
2023-12-01,2.3287,winter,low,1.0479
2024-01-01,2.5501,winter,medium,1.1475
2024-02-01,2.7432,winter,high,1.2344
2024-03-01,2.3388,spring,low,1.0525
2024-04-01,2.5197,spring,medium,1.1339
2024-05-01,2.5939,spring,medium,1.1673
2024-06-01,2.7625,summer,high,1.2431
2024-07-01,2.785,summer,high,1.2533
2024-08-01,3.0375,summer,high,1.3669
2024-09-01,2.6813,fall,high,1.2066
2024-10-01,2.4803,fall,medium,1.1161
2024-11-01,2.6691,fall,high,1.2011
2024-12-01,2.9141,winter,high,1.3113
