# SOURCE: Synthetic data based on Egyptian petroleum authority and global oil prices
# DATE: 2026-02-02
# DESCRIPTION: Monthly diesel fuel prices in Egypt
# UNITS: usd_per_liter (USD per liter), egp_per_liter_original (Egyptian Pounds)
# LOGIC: Base EGP rates follow subsidy removal program, modulated by global Brent crude price trends
# DEPENDENCIES: None
# ASSUMPTIONS: Subsidized diesel for agricultural use, gradual subsidy reduction 2015-2024
# GENERATION_METHOD: Annual EGP base x global oil factor with monthly variation
# CURRENCY: Primary USD, original EGP documented with exchange rates
# EXCHANGE_RATE_SOURCE: Central Bank of Egypt historical averages
# OIL_PRICE_REFERENCE: World Bank Commodity Price Data (Brent Crude)
date,usd_per_liter,egp_per_liter_original,usd_egp_exchange_rate
2015-01-01,0.38,2.8994,7.63
2015-02-01,0.4006,3.0563,7.63
2015-03-01,0.38,2.8994,7.63
2015-04-01,0.3893,2.9703,7.63
2015-05-01,0.3839,2.929,7.63
2015-06-01,0.3877,2.9582,7.63
2015-07-01,0.4133,3.1535,7.63
2015-08-01,0.4033,3.0772,7.63
2015-09-01,0.3954,3.0168,7.63
2015-10-01,0.38,2.8994,7.63
2015-11-01,0.38,2.8994,7.63
2015-12-01,0.3927,2.9966,7.63
2016-01-01,0.3807,3.4648,9.1
2016-02-01,0.38,3.458,9.1
2016-03-01,0.4385,3.9902,9.1
2016-04-01,0.4203,3.825,9.1
2016-05-01,0.4015,3.6536,9.1
2016-06-01,0.3914,3.5617,9.1
2016-07-01,0.3869,3.5212,9.1
2016-08-01,0.38,3.458,9.1
2016-09-01,0.3982,3.6237,9.1
2016-10-01,0.4048,3.6832,9.1
2016-11-01,0.38,3.458,9.1
2016-12-01,0.4111,3.7411,9.1
2017-01-01,0.4152,7.3815,17.78
2017-02-01,0.38,6.7564,17.78
2017-03-01,0.4018,7.1436,17.78
2017-04-01,0.4154,7.3853,17.78
2017-05-01,0.4767,8.4764,17.78
2017-06-01,0.4449,7.9104,17.78
2017-07-01,0.3981,7.079,17.78
2017-08-01,0.4478,7.962,17.78
2017-09-01,0.3968,7.0552,17.78
2017-10-01,0.4683,8.3258,17.78
2017-11-01,0.4295,7.6366,17.78
2017-12-01,0.4418,7.8552,17.78
2018-01-01,0.5218,9.3045,17.83
2018-02-01,0.4484,7.9941,17.83
2018-03-01,0.4474,7.9776,17.83
2018-04-01,0.4737,8.4453,17.83
2018-05-01,0.5241,9.3441,17.83
2018-06-01,0.4506,8.0344,17.83
2018-07-01,0.4136,7.3748,17.83
2018-08-01,0.4872,8.6872,17.83
2018-09-01,0.5199,9.2702,17.83
2018-10-01,0.5422,9.6668,17.83
2018-11-01,0.4941,8.8099,17.83
2018-12-01,0.4981,8.8812,17.83
2019-01-01,0.532,8.8048,16.55
2019-02-01,0.4439,7.3462,16.55
2019-03-01,0.4907,8.1205,16.55
2019-04-01,0.5106,8.4497,16.55
2019-05-01,0.5209,8.6203,16.55
2019-06-01,0.494,8.1759,16.55
2019-07-01,0.5131,8.4912,16.55
2019-08-01,0.4376,7.2425,16.55
2019-09-01,0.4964,8.2156,16.55
2019-10-01,0.5334,8.8271,16.55
2019-11-01,0.4909,8.1243,16.55
2019-12-01,0.5259,8.7037,16.55
2020-01-01,0.4896,7.7165,15.76
2020-02-01,0.4692,7.3942,15.76
2020-03-01,0.4861,7.6613,15.76
2020-04-01,0.4555,7.1781,15.76
2020-05-01,0.4795,7.5576,15.76
2020-06-01,0.5056,7.9683,15.76
2020-07-01,0.4945,7.7939,15.76
2020-08-01,0.4748,7.4826,15.76
2020-09-01,0.5009,7.8947,15.76
2020-10-01,0.5178,8.1598,15.76
2020-11-01,0.4373,6.8921,15.76
2020-12-01,0.5357,8.442,15.76
2021-01-01,0.5527,8.6551,15.66
2021-02-01,0.581,9.0981,15.66
2021-03-01,0.6098,9.5499,15.66
2021-04-01,0.5244,8.2117,15.66
2021-05-01,0.5494,8.6039,15.66
2021-06-01,0.5663,8.8685,15.66
2021-07-01,0.5515,8.6369,15.66
2021-08-01,0.6417,10.0488,15.66
2021-09-01,0.5536,8.6698,15.66
2021-10-01,0.5665,8.872,15.66
2021-11-01,0.5957,9.3293,15.66
2021-12-01,0.5483,8.587,15.66
2022-01-01,0.651,12.473,19.16
2022-02-01,0.6823,13.0733,19.16
2022-03-01,0.6589,12.6244,19.16
2022-04-01,0.6713,12.8618,19.16
2022-05-01,0.6563,12.5745,19.16
2022-06-01,0.6187,11.8547,19.16
2022-07-01,0.6965,13.3449,19.16
2022-08-01,0.7583,14.529,19.16
2022-09-01,0.6896,13.2121,19.16
2022-10-01,0.7009,13.4293,19.16
2022-11-01,0.7232,13.8557,19.16
2022-12-01,0.644,12.3383,19.16
2023-01-01,0.7288,22.4843,30.85
2023-02-01,0.6719,20.7291,30.85
2023-03-01,0.7317,22.5737,30.85
2023-04-01,0.6396,19.7329,30.85
2023-05-01,0.7449,22.9811,30.85
2023-06-01,0.7056,21.7684,30.85
2023-07-01,0.6993,21.5739,30.85
2023-08-01,0.689,21.2555,30.85
2023-09-01,0.6719,20.7275,30.85
2023-10-01,0.734,22.6428,30.85
2023-11-01,0.693,21.38,30.85
2023-12-01,0.6084,18.7698,30.85
2024-01-01,0.6272,30.4195,48.5
2024-02-01,0.6673,32.3624,48.5
2024-03-01,0.6899,33.4606,48.5
2024-04-01,0.6775,32.8599,48.5
2024-05-01,0.7323,35.5146,48.5
2024-06-01,0.6047,29.3279,48.5
2024-07-01,0.6933,33.6259,48.5
2024-08-01,0.6147,29.811,48.5
2024-09-01,0.724,35.114,48.5
2024-10-01,0.691,33.5144,48.5
2024-11-01,0.715,34.6794,48.5
2024-12-01,0.6637,32.1903,48.5
