# SOURCE: Synthetic data based on Egyptian Electricity Holding Company tariff trends
# DATE: 2026-02-06
# DESCRIPTION: Monthly electricity prices for agricultural users in Egypt
# UNITS: usd_per_kwh (USD per kilowatt-hour), egp_per_kwh_original (Egyptian Pounds)
# LOGIC: Base rates follow Egyptian subsidy removal program 2015-2024, peak/off-peak differential 1.25/0.75
# DEPENDENCIES: None
# ASSUMPTIONS: Agricultural tariff category, gradual subsidy removal reflected in rising EGP prices
# GENERATION_METHOD: Annual EGP base rates with monthly variation, USD conversion at historical rates
# CURRENCY: Primary USD, original EGP documented with exchange rates
# EXCHANGE_RATE_SOURCE: Central Bank of Egypt historical averages
date,usd_per_kwh_offpeak,usd_per_kwh_peak,usd_per_kwh_avg_daily,rate_schedule,egp_per_kwh_original,usd_egp_exchange_rate
2015-01-01,0.0484,0.0655,0.057,standard,0.4349,7.63
2015-02-01,0.0495,0.067,0.0583,standard,0.4445,7.63
2015-03-01,0.0521,0.0705,0.0613,standard,0.4679,7.63
2015-04-01,0.0557,0.0753,0.0655,standard,0.4998,7.63
2015-05-01,0.0559,0.0756,0.0657,standard,0.5014,7.63
2015-06-01,0.0558,0.0755,0.0657,summer,0.501,7.63
2015-07-01,0.0559,0.0756,0.0657,summer,0.5014,7.63
2015-08-01,0.0545,0.0737,0.0641,summer,0.4892,7.63
2015-09-01,0.0543,0.0735,0.0639,summer,0.4874,7.63
2015-10-01,0.0484,0.0655,0.057,standard,0.4349,7.63
2015-11-01,0.0512,0.0693,0.0602,standard,0.4596,7.63
2015-12-01,0.052,0.0703,0.0611,standard,0.4664,7.63
2016-01-01,0.0504,0.0682,0.0593,standard,0.5399,9.1
2016-02-01,0.0541,0.0733,0.0637,standard,0.5797,9.1
2016-03-01,0.0549,0.0742,0.0645,standard,0.5873,9.1
2016-04-01,0.0599,0.081,0.0705,standard,0.6411,9.1
2016-05-01,0.061,0.0825,0.0717,standard,0.6527,9.1
2016-06-01,0.0581,0.0786,0.0683,summer,0.6218,9.1
2016-07-01,0.0586,0.0792,0.0689,summer,0.6271,9.1
2016-08-01,0.058,0.0785,0.0682,summer,0.6208,9.1
2016-09-01,0.0562,0.0761,0.0662,summer,0.602,9.1
2016-10-01,0.0562,0.076,0.0661,standard,0.6016,9.1
2016-11-01,0.0539,0.0729,0.0634,standard,0.5765,9.1
2016-12-01,0.0531,0.0719,0.0625,standard,0.5689,9.1
2017-01-01,0.0567,0.0767,0.0667,standard,1.1864,17.78
2017-02-01,0.0581,0.0786,0.0684,standard,1.2156,17.78
2017-03-01,0.0574,0.0776,0.0675,standard,1.2003,17.78
2017-04-01,0.0622,0.0842,0.0732,standard,1.3012,17.78
2017-05-01,0.0608,0.0823,0.0715,standard,1.2717,17.78
2017-06-01,0.0632,0.0855,0.0743,summer,1.3212,17.78
2017-07-01,0.0641,0.0868,0.0755,summer,1.3416,17.78
2017-08-01,0.0617,0.0835,0.0726,summer,1.2916,17.78
2017-09-01,0.0614,0.0831,0.0723,summer,1.2849,17.78
2017-10-01,0.0585,0.0791,0.0688,standard,1.2228,17.78
2017-11-01,0.0582,0.0787,0.0685,standard,1.2175,17.78
2017-12-01,0.0581,0.0786,0.0683,standard,1.2146,17.78
2018-01-01,0.0578,0.0782,0.068,standard,1.2124,17.83
2018-02-01,0.0602,0.0815,0.0709,standard,1.2633,17.83
2018-03-01,0.0595,0.0805,0.07,standard,1.2481,17.83
