# SOURCE: Synthetic data derived from raw kale prices
# DATE: 2026-02-18
# DESCRIPTION: Monthly wholesale canned kale prices (USD/kg)
# UNITS: usd_per_kg (USD per kilogram, wholesale)
# LOGIC: Base crop price x value-add multiplier (1.5-2.0x) with stochastic spread
# DEPENDENCIES: historical_kale_prices-toy.csv
# ASSUMPTIONS: Processing adds value through preservation, convenience, reduced spoilage
# GENERATION_METHOD: Multiplicative from raw prices with processing cost variation
# CURRENCY: All prices in USD
date,usd_per_kg,season,market_condition
2015-01-01,3.2531,winter,low
2015-02-01,2.5608,winter,low
2015-03-01,3.3152,spring,high
2015-04-01,3.5529,spring,high
2015-05-01,3.3985,spring,medium
2015-06-01,3.4553,summer,high
2015-07-01,3.4263,summer,medium
2015-08-01,2.8934,summer,low
2015-09-01,2.7679,fall,low
2015-10-01,2.7461,fall,low
2015-11-01,2.7741,fall,low
2015-12-01,2.9814,winter,low
2016-01-01,3.1629,winter,low
2016-02-01,2.7227,winter,low
2016-03-01,2.842,spring,low
2016-04-01,2.7608,spring,low
2016-05-01,3.1273,spring,medium
2016-06-01,2.8417,summer,low
2016-07-01,3.5892,summer,high
2016-08-01,2.9933,summer,low
2016-09-01,2.5178,fall,low
2016-10-01,3.0086,fall,low
2016-11-01,2.4272,fall,low
2016-12-01,2.7288,winter,low
2017-01-01,2.9324,winter,low
2017-02-01,3.0157,winter,low
2017-03-01,2.7444,spring,low
2017-04-01,3.1447,spring,low
2017-05-01,3.1083,spring,medium
2017-06-01,3.706,summer,high
2017-07-01,3.4838,summer,medium
2017-08-01,4.3553,summer,high
2017-09-01,3.7053,fall,high
2017-10-01,3.7406,fall,medium
2017-11-01,3.2892,fall,medium
2017-12-01,3.604,winter,high
2018-01-01,3.0438,winter,medium
2018-02-01,3.5073,winter,high
2018-03-01,3.1134,spring,medium
2018-04-01,3.7031,spring,high
2018-05-01,3.3487,spring,medium
2018-06-01,3.6911,summer,high
2018-07-01,3.6677,summer,high
2018-08-01,2.9456,summer,medium
2018-09-01,3.0985,fall,medium
2018-10-01,3.159,fall,low
2018-11-01,3.2056,fall,medium
2018-12-01,2.938,winter,low
2019-01-01,2.9862,winter,low
2019-02-01,2.4414,winter,low
2019-03-01,2.6866,spring,low
2019-04-01,1.9678,spring,low
2019-05-01,2.3077,spring,low
2019-06-01,2.9525,summer,low
2019-07-01,3.1212,summer,medium
2019-08-01,2.9599,summer,low
2019-09-01,3.3173,fall,medium
2019-10-01,2.8746,fall,low
2019-11-01,2.9173,fall,medium
2019-12-01,2.5852,winter,low
2020-01-01,3.5195,winter,medium
2020-02-01,3.2839,winter,medium
2020-03-01,3.3061,spring,medium
2020-04-01,3.2918,spring,high
2020-05-01,3.7107,spring,medium
2020-06-01,3.0133,summer,low
2020-07-01,3.1688,summer,medium
2020-08-01,2.9655,summer,low
2020-09-01,2.5676,fall,low
2020-10-01,2.9297,fall,low
2020-11-01,3.3467,fall,high
2020-12-01,3.2831,winter,medium
2021-01-01,3.4267,winter,medium
2021-02-01,3.4487,winter,medium
2021-03-01,3.9001,spring,high
2021-04-01,3.6013,spring,high
2021-05-01,3.7091,spring,high
2021-06-01,3.5214,summer,medium
2021-07-01,3.7858,summer,high
2021-08-01,3.44,summer,high
2021-09-01,3.3159,fall,high
2021-10-01,3.4567,fall,medium
2021-11-01,4.1368,fall,high
2021-12-01,3.654,winter,medium
2022-01-01,3.5001,winter,high
2022-02-01,3.5259,winter,high
2022-03-01,4.0669,spring,high
2022-04-01,3.7702,spring,high
2022-05-01,3.2798,spring,medium
2022-06-01,4.1831,summer,high
2022-07-01,3.5468,summer,high
2022-08-01,2.9282,summer,medium
2022-09-01,3.5823,fall,medium
2022-10-01,3.4788,fall,medium
2022-11-01,3.1464,fall,medium
2022-12-01,2.998,winter,medium
2023-01-01,3.1401,winter,medium
2023-02-01,3.5431,winter,high
2023-03-01,3.8178,spring,high
2023-04-01,3.7099,spring,high
2023-05-01,3.8252,spring,high
2023-06-01,3.7606,summer,high
2023-07-01,4.1196,summer,high
2023-08-01,3.1188,summer,medium
2023-09-01,2.8458,fall,medium
2023-10-01,2.4945,fall,low
2023-11-01,3.1543,fall,low
2023-12-01,2.9678,winter,low
2024-01-01,3.1925,winter,medium
2024-02-01,3.5143,winter,high
2024-03-01,3.0919,spring,low
2024-04-01,3.1048,spring,medium
2024-05-01,3.5382,spring,medium
2024-06-01,3.2438,summer,high
2024-07-01,3.8947,summer,high
2024-08-01,3.599,summer,high
2024-09-01,3.2256,fall,high
2024-10-01,3.1904,fall,medium
2024-11-01,3.4971,fall,high
2024-12-01,3.7669,winter,high
