# SOURCE: Synthetic data derived from raw tomato prices
# DATE: 2026-02-06
# DESCRIPTION: Monthly wholesale canned tomato prices (USD/kg)
# UNITS: usd_per_kg (USD per kilogram, wholesale)
# LOGIC: Base crop price x value-add multiplier (1.5-2.0x) with stochastic spread
# DEPENDENCIES: historical_tomato_prices-toy.csv
# ASSUMPTIONS: Processing adds value through preservation, convenience, reduced spoilage
# GENERATION_METHOD: Multiplicative from raw prices with processing cost variation
# CURRENCY: All prices in USD
date,usd_per_kg,season,market_condition
2015-01-01,1.5259,winter,medium
2015-02-01,1.6031,winter,medium
2015-03-01,1.4419,spring,low
2015-04-01,1.6326,spring,medium
2015-05-01,1.54,spring,medium
2015-06-01,1.6937,summer,high
2015-07-01,1.8741,summer,high
2015-08-01,1.5374,summer,medium
2015-09-01,1.7904,fall,high
2015-10-01,1.6334,fall,medium
2015-11-01,1.4383,fall,low
2015-12-01,1.4668,winter,low
2016-01-01,1.5384,winter,medium
2016-02-01,1.5391,winter,medium
2016-03-01,1.4648,spring,low
2016-04-01,0.9553,spring,low
2016-05-01,1.3365,spring,low
2016-06-01,1.1677,summer,low
2016-07-01,1.4829,summer,medium
2016-08-01,1.4203,summer,low
2016-09-01,1.0405,fall,low
2016-10-01,1.4356,fall,low
2016-11-01,1.4562,fall,low
2016-12-01,1.5276,winter,medium
2017-01-01,1.4694,winter,low
2017-02-01,1.5993,winter,medium
2017-03-01,1.45,spring,low
2017-04-01,1.154,spring,low
2017-05-01,1.1743,spring,low
2017-06-01,1.2939,summer,low
2017-07-01,1.3696,summer,low
2017-08-01,1.4763,summer,medium
2017-09-01,1.708,fall,high
2017-10-01,1.3689,fall,low
2017-11-01,1.569,fall,medium
2017-12-01,1.6134,winter,medium
2018-01-01,1.513,winter,medium
2018-02-01,1.8899,winter,high
2018-03-01,1.3996,spring,low
2018-04-01,1.0995,spring,low
2018-05-01,1.4356,spring,low
2018-06-01,1.2585,summer,low
2018-07-01,1.6299,summer,medium
2018-08-01,1.6452,summer,medium
2018-09-01,1.3262,fall,low
2018-10-01,1.399,fall,low
2018-11-01,1.3605,fall,low
2018-12-01,1.4407,winter,low
2019-01-01,1.7293,winter,high
2019-02-01,1.6404,winter,medium
2019-03-01,1.3521,spring,low
2019-04-01,1.2845,spring,low
2019-05-01,1.6985,spring,high
2019-06-01,1.451,summer,low
2019-07-01,1.6866,summer,high
2019-08-01,1.8301,summer,high
2019-09-01,1.8149,fall,high
2019-10-01,1.6901,fall,high
2019-11-01,1.9311,fall,high
2019-12-01,1.5655,winter,medium
2020-01-01,2.1167,winter,high
2020-02-01,1.5794,winter,medium
2020-03-01,1.5163,spring,medium
2020-04-01,1.3623,spring,low
2020-05-01,1.3645,spring,low
2020-06-01,1.5439,summer,medium
2020-07-01,1.6353,summer,medium
2020-08-01,1.6819,summer,medium
2020-09-01,1.7376,fall,high
2020-10-01,1.6815,fall,medium
2020-11-01,1.3867,fall,low
2020-12-01,1.8328,winter,high
2021-01-01,1.9023,winter,high
2021-02-01,1.9481,winter,high
2021-03-01,1.8191,spring,high
2021-04-01,1.4274,spring,low
2021-05-01,1.8418,spring,high
2021-06-01,1.4771,summer,medium
2021-07-01,1.8393,summer,high
2021-08-01,1.7819,summer,high
2021-09-01,1.2191,fall,low
2021-10-01,1.5783,fall,medium
2021-11-01,1.518,fall,medium
2021-12-01,1.8959,winter,high
2022-01-01,1.8749,winter,high
2022-02-01,1.4623,winter,low
2022-03-01,1.4955,spring,medium
2022-04-01,1.7527,spring,high
2022-05-01,1.4783,spring,medium
2022-06-01,1.8467,summer,high
2022-07-01,1.8551,summer,high
2022-08-01,1.8909,summer,high
2022-09-01,1.9699,fall,high
2022-10-01,1.5599,fall,medium
2022-11-01,1.7279,fall,high
2022-12-01,1.4658,winter,low
2023-01-01,1.567,winter,medium
2023-02-01,1.4729,winter,medium
2023-03-01,1.6296,spring,medium
2023-04-01,1.6859,spring,high
2023-05-01,1.7255,spring,high
2023-06-01,1.5993,summer,medium
2023-07-01,1.3917,summer,low
2023-08-01,1.3816,summer,low
2023-09-01,1.2178,fall,low
2023-10-01,1.5199,fall,medium
2023-11-01,1.8214,fall,high
2023-12-01,1.7057,winter,high
2024-01-01,1.7517,winter,high
2024-02-01,1.7668,winter,high
2024-03-01,1.7879,spring,high
2024-04-01,1.3303,spring,low
2024-05-01,1.5749,spring,medium
2024-06-01,1.5744,summer,medium
2024-07-01,1.9678,summer,high
2024-08-01,2.0921,summer,high
2024-09-01,1.8084,fall,high
2024-10-01,1.52,fall,medium
2024-11-01,1.5661,fall,medium
2024-12-01,1.7304,winter,high
