# SOURCE: Synthetic data derived from raw kale prices
# DATE: 2026-02-02
# DESCRIPTION: Monthly wholesale dried kale prices (USD/kg)
# UNITS: usd_per_kg (USD per kilogram, wholesale)
# LOGIC: Base crop price x value-add multiplier (2.0-3.0x) with stochastic spread
# DEPENDENCIES: historical_kale_prices-toy.csv
# ASSUMPTIONS: Processing adds value through preservation, convenience, reduced spoilage
# GENERATION_METHOD: Multiplicative from raw prices with processing cost variation
# CURRENCY: All prices in USD
date,usd_per_kg,season,market_condition
2015-01-01,5.6156,winter,low
2015-02-01,5.4701,winter,low
2015-03-01,7.5593,spring,high
2015-04-01,5.9986,spring,low
2015-05-01,6.699,spring,medium
2015-06-01,8.2007,summer,high
2015-07-01,6.3472,summer,medium
2015-08-01,4.2188,summer,low
2015-09-01,4.988,fall,low
2015-10-01,5.6835,fall,low
2015-11-01,4.9462,fall,low
2015-12-01,5.1615,winter,low
2016-01-01,5.4538,winter,low
2016-02-01,6.2304,winter,medium
2016-03-01,5.5104,spring,low
2016-04-01,4.9142,spring,low
2016-05-01,6.3434,spring,medium
2016-06-01,5.7011,summer,low
2016-07-01,6.4065,summer,medium
2016-08-01,6.9271,summer,high
2016-09-01,4.9308,fall,low
2016-10-01,6.0735,fall,medium
2016-11-01,5.966,fall,low
2016-12-01,6.1648,winter,medium
2017-01-01,5.2506,winter,low
2017-02-01,6.0594,winter,medium
2017-03-01,5.2637,spring,low
2017-04-01,5.3088,spring,low
2017-05-01,6.7736,spring,medium
2017-06-01,6.0058,summer,low
2017-07-01,7.2723,summer,high
2017-08-01,7.3949,summer,high
2017-09-01,7.0959,fall,high
2017-10-01,6.735,fall,medium
2017-11-01,6.1649,fall,medium
2017-12-01,7.0274,winter,high
2018-01-01,6.1363,winter,medium
2018-02-01,7.7031,winter,high
2018-03-01,5.544,spring,low
2018-04-01,7.1467,spring,high
2018-05-01,7.769,spring,high
2018-06-01,6.8064,summer,high
2018-07-01,6.6235,summer,medium
2018-08-01,6.429,summer,medium
2018-09-01,6.1253,fall,medium
2018-10-01,5.7617,fall,low
2018-11-01,6.4522,fall,medium
2018-12-01,6.07,winter,medium
2019-01-01,6.4003,winter,medium
2019-02-01,5.1474,winter,low
2019-03-01,4.9657,spring,low
2019-04-01,4.3352,spring,low
2019-05-01,5.7405,spring,low
2019-06-01,5.6126,summer,low
2019-07-01,5.846,summer,low
2019-08-01,6.1053,summer,medium
2019-09-01,6.1599,fall,medium
2019-10-01,4.453,fall,low
2019-11-01,6.4721,fall,medium
2019-12-01,4.8,winter,low
2020-01-01,6.1597,winter,medium
2020-02-01,6.2893,winter,medium
2020-03-01,6.1,spring,medium
2020-04-01,7.288,spring,high
2020-05-01,6.2394,spring,medium
2020-06-01,6.265,summer,medium
2020-07-01,6.0873,summer,medium
2020-08-01,6.2768,summer,medium
2020-09-01,5.6981,fall,low
2020-10-01,4.8693,fall,low
2020-11-01,7.4822,fall,high
2020-12-01,5.9843,winter,low
2021-01-01,6.5572,winter,medium
2021-02-01,6.717,winter,medium
2021-03-01,8.2181,spring,high
2021-04-01,7.2007,spring,high
2021-05-01,6.9912,spring,high
2021-06-01,6.529,summer,medium
2021-07-01,7.3095,summer,high
2021-08-01,7.112,summer,high
2021-09-01,5.8269,fall,low
2021-10-01,5.8095,fall,low
2021-11-01,7.173,fall,high
2021-12-01,7.1202,winter,high
2022-01-01,8.049,winter,high
2022-02-01,6.6743,winter,medium
2022-03-01,7.5019,spring,high
2022-04-01,7.0309,spring,high
2022-05-01,7.2831,spring,high
2022-06-01,7.1524,summer,high
2022-07-01,7.2979,summer,high
2022-08-01,6.8367,summer,high
2022-09-01,6.6677,fall,medium
2022-10-01,6.4561,fall,medium
2022-11-01,6.8847,fall,high
2022-12-01,5.1084,winter,low
2023-01-01,6.4198,winter,medium
2023-02-01,6.4386,winter,medium
2023-03-01,5.9056,spring,low
2023-04-01,7.7255,spring,high
2023-05-01,7.9817,spring,high
2023-06-01,6.8883,summer,high
2023-07-01,8.6498,summer,high
2023-08-01,7.4168,summer,high
2023-09-01,6.8136,fall,high
2023-10-01,5.7312,fall,low
2023-11-01,6.0701,fall,medium
2023-12-01,5.8657,winter,low
2024-01-01,5.354,winter,low
2024-02-01,6.6893,winter,medium
2024-03-01,5.354,spring,low
2024-04-01,7.5591,spring,high
2024-05-01,6.3707,spring,medium
2024-06-01,6.9913,summer,high
2024-07-01,7.3465,summer,high
2024-08-01,7.6269,summer,high
2024-09-01,7.8395,fall,high
2024-10-01,5.8147,fall,low
2024-11-01,6.8026,fall,high
2024-12-01,6.7443,winter,medium
