# SOURCE: Synthetic data derived from raw tomato prices
# DATE: 2026-02-02
# DESCRIPTION: Monthly wholesale dried tomato prices (USD/kg)
# UNITS: usd_per_kg (USD per kilogram, wholesale)
# LOGIC: Base crop price x value-add multiplier (2.0-3.0x) with stochastic spread
# DEPENDENCIES: historical_tomato_prices-toy.csv
# ASSUMPTIONS: Processing adds value through preservation, convenience, reduced spoilage
# GENERATION_METHOD: Multiplicative from raw prices with processing cost variation
# CURRENCY: All prices in USD
date,usd_per_kg,season,market_condition
2015-01-01,2.0229,winter,low
2015-02-01,2.5177,winter,high
2015-03-01,1.9552,spring,low
2015-04-01,2.1245,spring,medium
2015-05-01,1.8516,spring,low
2015-06-01,2.6823,summer,high
2015-07-01,3.1706,summer,high
2015-08-01,2.8695,summer,high
2015-09-01,2.3151,fall,medium
2015-10-01,2.1801,fall,medium
2015-11-01,2.401,fall,medium
2015-12-01,1.9288,winter,low
2016-01-01,2.3926,winter,medium
2016-02-01,2.3144,winter,medium
2016-03-01,2.1441,spring,medium
2016-04-01,1.56,spring,low
2016-05-01,1.8552,spring,low
2016-06-01,1.5393,summer,low
2016-07-01,1.8543,summer,low
2016-08-01,1.9532,summer,low
2016-09-01,1.6285,fall,low
2016-10-01,2.2905,fall,medium
2016-11-01,2.0286,fall,low
2016-12-01,2.329,winter,medium
2017-01-01,2.0392,winter,low
2017-02-01,2.0072,winter,low
2017-03-01,1.925,spring,low
2017-04-01,1.3892,spring,low
2017-05-01,2.0473,spring,low
2017-06-01,2.2781,summer,medium
2017-07-01,2.1442,summer,medium
2017-08-01,2.0834,summer,medium
2017-09-01,2.476,fall,high
2017-10-01,1.86,fall,low
2017-11-01,1.9953,fall,low
2017-12-01,2.5769,winter,high
2018-01-01,1.8707,winter,low
2018-02-01,2.4921,winter,high
2018-03-01,1.6241,spring,low
2018-04-01,1.6762,spring,low
2018-05-01,2.1824,spring,medium
2018-06-01,1.7587,summer,low
2018-07-01,2.7404,summer,high
2018-08-01,2.211,summer,medium
2018-09-01,1.8731,fall,low
2018-10-01,2.058,fall,low
2018-11-01,2.155,fall,medium
2018-12-01,1.8793,winter,low
2019-01-01,2.6067,winter,high
2019-02-01,2.4148,winter,medium
2019-03-01,2.0023,spring,low
2019-04-01,2.0251,spring,low
2019-05-01,2.1233,spring,medium
2019-06-01,1.9147,summer,low
2019-07-01,2.427,summer,high
2019-08-01,2.2217,summer,medium
2019-09-01,2.0402,fall,low
2019-10-01,2.3592,fall,medium
2019-11-01,2.9476,fall,high
2019-12-01,1.871,winter,low
2020-01-01,2.6501,winter,high
2020-02-01,2.6091,winter,high
2020-03-01,2.5794,spring,high
2020-04-01,1.9548,spring,low
2020-05-01,1.8347,spring,low
2020-06-01,2.1853,summer,medium
2020-07-01,3.0701,summer,high
2020-08-01,2.3392,summer,medium
2020-09-01,2.2689,fall,medium
2020-10-01,2.2603,fall,medium
2020-11-01,1.9342,fall,low
2020-12-01,2.4307,winter,high
2021-01-01,3.3674,winter,high
2021-02-01,2.6868,winter,high
2021-03-01,2.4581,spring,high
2021-04-01,2.0754,spring,medium
2021-05-01,1.97,spring,low
2021-06-01,2.5105,summer,high
2021-07-01,2.4466,summer,high
2021-08-01,2.3329,summer,medium
2021-09-01,2.1951,fall,medium
2021-10-01,2.112,fall,medium
2021-11-01,2.042,fall,low
2021-12-01,2.5406,winter,high
2022-01-01,2.9315,winter,high
2022-02-01,2.1331,winter,medium
2022-03-01,1.729,spring,low
2022-04-01,2.5873,spring,high
2022-05-01,2.252,spring,medium
2022-06-01,2.8653,summer,high
2022-07-01,3.332,summer,high
2022-08-01,2.4032,summer,medium
2022-09-01,2.9381,fall,high
2022-10-01,2.4331,fall,high
2022-11-01,2.7599,fall,high
2022-12-01,2.3837,winter,medium
2023-01-01,2.0811,winter,medium
2023-02-01,2.013,winter,low
2023-03-01,2.4324,spring,high
2023-04-01,2.1285,spring,medium
2023-05-01,2.151,spring,medium
2023-06-01,2.1529,summer,medium
2023-07-01,2.1037,summer,medium
2023-08-01,2.6922,summer,high
2023-09-01,1.6489,fall,low
2023-10-01,2.0362,fall,low
2023-11-01,2.6622,fall,high
2023-12-01,2.651,winter,high
2024-01-01,2.7312,winter,high
2024-02-01,2.2601,winter,medium
2024-03-01,2.6112,spring,high
2024-04-01,1.9793,spring,low
2024-05-01,2.399,spring,medium
2024-06-01,2.6044,summer,high
2024-07-01,3.3768,summer,high
2024-08-01,3.0432,summer,high
2024-09-01,2.6664,fall,high
2024-10-01,2.2848,fall,medium
2024-11-01,2.1754,fall,medium
2024-12-01,2.572,winter,high
