# SOURCE: Synthetic data derived from raw cucumber prices
# DATE: 2026-02-06
# DESCRIPTION: Monthly wholesale packaged cucumber prices (USD/kg)
# UNITS: usd_per_kg (USD per kilogram, wholesale)
# LOGIC: Base crop price x value-add multiplier (1.2-1.4x) with stochastic spread
# DEPENDENCIES: historical_cucumber_prices-toy.csv
# ASSUMPTIONS: Processing adds value through preservation, convenience, reduced spoilage
# GENERATION_METHOD: Multiplicative from raw prices with processing cost variation
# CURRENCY: All prices in USD
date,usd_per_kg,season,market_condition
2015-01-01,1.6121,winter,high
2015-02-01,1.3572,winter,medium
2015-03-01,1.5655,spring,high
2015-04-01,1.3816,spring,medium
2015-05-01,1.5692,spring,high
2015-06-01,1.3001,summer,low
2015-07-01,1.3574,summer,medium
2015-08-01,1.3581,summer,medium
2015-09-01,1.4707,fall,high
2015-10-01,1.3648,fall,medium
2015-11-01,1.3725,fall,medium
2015-12-01,1.5784,winter,high
2016-01-01,1.469,winter,medium
2016-02-01,1.2967,winter,low
2016-03-01,1.3692,spring,medium
2016-04-01,1.3216,spring,low
2016-05-01,1.3984,spring,medium
2016-06-01,1.2069,summer,low
2016-07-01,1.2646,summer,low
2016-08-01,1.5023,summer,high
2016-09-01,1.4376,fall,medium
2016-10-01,1.3831,fall,medium
2016-11-01,1.3547,fall,medium
2016-12-01,1.2585,winter,low
2017-01-01,1.2201,winter,low
2017-02-01,1.3364,winter,low
2017-03-01,1.4048,spring,medium
2017-04-01,1.4096,spring,medium
2017-05-01,1.1744,spring,low
2017-06-01,1.4145,summer,medium
2017-07-01,1.4174,summer,medium
2017-08-01,1.4007,summer,medium
2017-09-01,1.279,fall,low
2017-10-01,1.5758,fall,high
2017-11-01,1.3874,fall,medium
2017-12-01,1.6021,winter,high
2018-01-01,1.4563,winter,medium
2018-02-01,1.4262,winter,medium
2018-03-01,1.3649,spring,medium
2018-04-01,1.2967,spring,low
2018-05-01,1.2905,spring,low
2018-06-01,1.556,summer,high
2018-07-01,1.3666,summer,medium
2018-08-01,1.3588,summer,medium
2018-09-01,1.2874,fall,low
2018-10-01,1.3332,fall,low
2018-11-01,1.4251,fall,medium
2018-12-01,1.6312,winter,high
2019-01-01,1.828,winter,high
2019-02-01,1.5875,winter,high
2019-03-01,1.5196,spring,high
2019-04-01,1.2423,spring,low
2019-05-01,1.1516,spring,low
2019-06-01,1.1296,summer,low
2019-07-01,1.2943,summer,low
2019-08-01,1.3071,summer,low
2019-09-01,1.1162,fall,low
2019-10-01,1.4706,fall,high
2019-11-01,1.4869,fall,high
2019-12-01,1.5856,winter,high
2020-01-01,1.7485,winter,high
2020-02-01,1.2542,winter,low
2020-03-01,1.5302,spring,high
2020-04-01,1.1836,spring,low
2020-05-01,1.2782,spring,low
2020-06-01,1.4185,summer,medium
2020-07-01,1.5471,summer,high
2020-08-01,1.4304,summer,medium
2020-09-01,1.7013,fall,high
2020-10-01,1.5093,fall,high
2020-11-01,1.5428,fall,high
2020-12-01,1.6523,winter,high
2021-01-01,1.5911,winter,high
2021-02-01,1.5516,winter,high
2021-03-01,1.428,spring,medium
2021-04-01,1.2919,spring,low
2021-05-01,1.3545,spring,low
2021-06-01,1.3506,summer,low
2021-07-01,1.4803,summer,high
2021-08-01,1.4228,summer,medium
2021-09-01,1.1094,fall,low
2021-10-01,1.279,fall,low
2021-11-01,1.4481,fall,medium
2021-12-01,1.5746,winter,high
2022-01-01,1.6298,winter,high
2022-02-01,1.559,winter,high
2022-03-01,1.7179,spring,high
2022-04-01,1.3874,spring,medium
2022-05-01,1.4838,spring,high
2022-06-01,1.2523,summer,low
2022-07-01,1.2805,summer,low
2022-08-01,1.3908,summer,medium
2022-09-01,1.3013,fall,low
2022-10-01,1.4151,fall,medium
2022-11-01,1.5631,fall,high
2022-12-01,1.5208,winter,high
2023-01-01,1.4882,winter,high
2023-02-01,1.6436,winter,high
2023-03-01,1.2409,spring,low
2023-04-01,1.2827,spring,low
2023-05-01,1.182,spring,low
2023-06-01,1.385,summer,medium
2023-07-01,1.4613,summer,medium
2023-08-01,1.3524,summer,low
2023-09-01,1.4143,fall,medium
2023-10-01,1.2366,fall,low
2023-11-01,1.4013,fall,medium
2023-12-01,1.2162,winter,low
2024-01-01,1.3404,winter,low
2024-02-01,1.5286,winter,high
2024-03-01,1.6886,spring,high
2024-04-01,1.3697,spring,medium
2024-05-01,1.299,spring,low
2024-06-01,1.4414,summer,medium
2024-07-01,1.4625,summer,medium
2024-08-01,1.4536,summer,medium
2024-09-01,1.1728,fall,low
2024-10-01,1.4834,fall,high
2024-11-01,1.6525,fall,high
2024-12-01,1.6233,winter,high
