# SOURCE: Synthetic data derived from raw kale prices
# DATE: 2026-02-02
# DESCRIPTION: Monthly wholesale packaged kale prices (USD/kg)
# UNITS: usd_per_kg (USD per kilogram, wholesale)
# LOGIC: Base crop price x value-add multiplier (1.2-1.4x) with stochastic spread
# DEPENDENCIES: historical_kale_prices-toy.csv
# ASSUMPTIONS: Processing adds value through preservation, convenience, reduced spoilage
# GENERATION_METHOD: Multiplicative from raw prices with processing cost variation
# CURRENCY: All prices in USD
date,usd_per_kg,season,market_condition
2015-01-01,3.1766,winter,medium
2015-02-01,2.7586,winter,low
2015-03-01,3.2961,spring,medium
2015-04-01,3.4132,spring,medium
2015-05-01,3.1583,spring,medium
2015-06-01,3.6284,summer,high
2015-07-01,3.217,summer,medium
2015-08-01,2.7785,summer,low
2015-09-01,2.7564,fall,low
2015-10-01,2.6194,fall,low
2015-11-01,2.5027,fall,low
2015-12-01,2.9555,winter,low
2016-01-01,2.8806,winter,low
2016-02-01,3.0909,winter,low
2016-03-01,2.825,spring,low
2016-04-01,2.432,spring,low
2016-05-01,3.3018,spring,medium
2016-06-01,2.9078,summer,low
2016-07-01,3.5781,summer,high
2016-08-01,3.0912,summer,low
2016-09-01,2.5017,fall,low
2016-10-01,2.7157,fall,low
2016-11-01,2.5887,fall,low
2016-12-01,2.938,winter,low
2017-01-01,2.8611,winter,low
2017-02-01,2.9445,winter,low
2017-03-01,2.7624,spring,low
2017-04-01,2.971,spring,low
2017-05-01,3.3759,spring,medium
2017-06-01,3.7683,summer,high
2017-07-01,3.5544,summer,high
2017-08-01,3.8312,summer,high
2017-09-01,3.7326,fall,high
2017-10-01,3.512,fall,high
2017-11-01,3.1456,fall,medium
2017-12-01,3.5605,winter,high
2018-01-01,3.5481,winter,high
2018-02-01,3.5255,winter,high
2018-03-01,3.2137,spring,medium
2018-04-01,3.8135,spring,high
2018-05-01,3.4191,spring,medium
2018-06-01,4.0162,summer,high
2018-07-01,3.743,summer,high
2018-08-01,3.2275,summer,medium
2018-09-01,2.9693,fall,low
2018-10-01,3.0112,fall,low
2018-11-01,3.3425,fall,medium
2018-12-01,2.9418,winter,low
2019-01-01,2.9907,winter,low
2019-02-01,2.4199,winter,low
2019-03-01,2.6984,spring,low
2019-04-01,2.1587,spring,low
2019-05-01,2.5025,spring,low
2019-06-01,3.0857,summer,low
2019-07-01,3.3249,summer,medium
2019-08-01,2.9204,summer,low
2019-09-01,3.115,fall,low
2019-10-01,2.8918,fall,low
2019-11-01,3.0818,fall,low
2019-12-01,2.66,winter,low
2020-01-01,3.1864,winter,medium
2020-02-01,3.1494,winter,medium
2020-03-01,3.2116,spring,medium
2020-04-01,3.4793,spring,high
2020-05-01,3.1826,spring,medium
2020-06-01,3.3073,summer,medium
2020-07-01,3.4224,summer,medium
2020-08-01,2.8883,summer,low
2020-09-01,2.8653,fall,low
2020-10-01,2.7393,fall,low
2020-11-01,3.5452,fall,high
2020-12-01,3.3253,winter,medium
2021-01-01,3.1264,winter,low
2021-02-01,3.2675,winter,medium
2021-03-01,3.514,spring,high
2021-04-01,3.695,spring,high
2021-05-01,3.6465,spring,high
2021-06-01,3.3929,summer,medium
2021-07-01,3.8119,summer,high
2021-08-01,3.5142,summer,high
2021-09-01,3.8209,fall,high
2021-10-01,3.3014,fall,medium
2021-11-01,4.2143,fall,high
2021-12-01,3.4462,winter,medium
2022-01-01,3.639,winter,high
2022-02-01,3.5175,winter,high
2022-03-01,4.0813,spring,high
2022-04-01,3.698,spring,high
2022-05-01,3.2315,spring,medium
2022-06-01,4.2365,summer,high
2022-07-01,3.8331,summer,high
2022-08-01,3.1441,summer,medium
2022-09-01,3.3066,fall,medium
2022-10-01,3.3813,fall,medium
2022-11-01,3.2281,fall,medium
2022-12-01,3.4575,winter,high
2023-01-01,3.3669,winter,medium
2023-02-01,3.4741,winter,high
2023-03-01,3.5594,spring,high
2023-04-01,3.8665,spring,high
2023-05-01,3.7505,spring,high
2023-06-01,3.5996,summer,high
2023-07-01,4.3361,summer,high
2023-08-01,3.1502,summer,medium
2023-09-01,3.2148,fall,medium
2023-10-01,2.5007,fall,low
2023-11-01,3.1327,fall,low
2023-12-01,3.2593,winter,medium
2024-01-01,3.2174,winter,medium
2024-02-01,3.4908,winter,high
2024-03-01,3.141,spring,medium
2024-04-01,3.2268,spring,medium
2024-05-01,3.3662,spring,medium
2024-06-01,3.5948,summer,high
2024-07-01,3.3532,summer,medium
2024-08-01,3.9466,summer,high
2024-09-01,3.3932,fall,medium
2024-10-01,3.1632,fall,medium
2024-11-01,3.6625,fall,high
2024-12-01,3.6053,winter,high
