# SOURCE: Synthetic data derived from raw onion prices
# DATE: 2026-02-06
# DESCRIPTION: Monthly wholesale packaged onion prices (USD/kg)
# UNITS: usd_per_kg (USD per kilogram, wholesale)
# LOGIC: Base crop price x value-add multiplier (1.2-1.4x) with stochastic spread
# DEPENDENCIES: historical_onion_prices-toy.csv
# ASSUMPTIONS: Processing adds value through preservation, convenience, reduced spoilage
# GENERATION_METHOD: Multiplicative from raw prices with processing cost variation
# CURRENCY: All prices in USD
date,usd_per_kg,season,market_condition
2015-01-01,0.5958,winter,low
2015-02-01,0.7449,winter,high
2015-03-01,0.5759,spring,low
2015-04-01,0.6499,spring,low
2015-05-01,0.6129,spring,low
2015-06-01,0.6395,summer,low
2015-07-01,0.6802,summer,medium
2015-08-01,0.6651,summer,medium
2015-09-01,0.6741,fall,medium
2015-10-01,0.7053,fall,high
2015-11-01,0.6563,fall,medium
2015-12-01,0.5788,winter,low
2016-01-01,0.7242,winter,high
2016-02-01,0.7345,winter,high
2016-03-01,0.6998,spring,high
2016-04-01,0.6539,spring,low
2016-05-01,0.6252,spring,low
2016-06-01,0.6208,summer,low
2016-07-01,0.6686,summer,medium
2016-08-01,0.6988,summer,high
2016-09-01,0.6241,fall,low
2016-10-01,0.6496,fall,low
2016-11-01,0.5711,fall,low
2016-12-01,0.6339,winter,low
2017-01-01,0.6315,winter,low
2017-02-01,0.6498,winter,low
2017-03-01,0.617,spring,low
2017-04-01,0.6864,spring,medium
2017-05-01,0.5967,spring,low
2017-06-01,0.5992,summer,low
2017-07-01,0.6768,summer,medium
2017-08-01,0.7493,summer,high
2017-09-01,0.7055,fall,high
2017-10-01,0.5865,fall,low
2017-11-01,0.577,fall,low
2017-12-01,0.6544,winter,low
2018-01-01,0.655,winter,medium
2018-02-01,0.6889,winter,medium
2018-03-01,0.579,spring,low
2018-04-01,0.4901,spring,low
2018-05-01,0.6218,spring,low
2018-06-01,0.6672,summer,medium
2018-07-01,0.7611,summer,high
2018-08-01,0.8102,summer,high
2018-09-01,0.705,fall,high
2018-10-01,0.8285,fall,high
2018-11-01,0.7588,fall,high
2018-12-01,0.7032,winter,high
2019-01-01,0.5982,winter,low
2019-02-01,0.6576,winter,medium
2019-03-01,0.6761,spring,medium
2019-04-01,0.57,spring,low
2019-05-01,0.5962,spring,low
2019-06-01,0.6111,summer,low
2019-07-01,0.6807,summer,medium
2019-08-01,0.6975,summer,medium
2019-09-01,0.7949,fall,high
2019-10-01,0.7845,fall,high
2019-11-01,0.6219,fall,low
2019-12-01,0.6481,winter,low
2020-01-01,0.5724,winter,low
2020-02-01,0.8301,winter,high
2020-03-01,0.7449,spring,high
2020-04-01,0.6262,spring,low
2020-05-01,0.5568,spring,low
2020-06-01,0.6726,summer,medium
2020-07-01,0.7313,summer,high
2020-08-01,0.7215,summer,high
2020-09-01,0.8639,fall,high
2020-10-01,0.7606,fall,high
2020-11-01,0.6561,fall,medium
2020-12-01,0.5954,winter,low
2021-01-01,0.6533,winter,low
2021-02-01,0.7392,winter,high
2021-03-01,0.6833,spring,medium
2021-04-01,0.5819,spring,low
2021-05-01,0.6805,spring,medium
2021-06-01,0.6635,summer,medium
2021-07-01,0.7771,summer,high
2021-08-01,0.8226,summer,high
2021-09-01,0.816,fall,high
2021-10-01,0.8067,fall,high
2021-11-01,0.6954,fall,medium
2021-12-01,0.6757,winter,medium
2022-01-01,0.6734,winter,medium
2022-02-01,0.6984,winter,medium
2022-03-01,0.7501,spring,high
2022-04-01,0.6545,spring,medium
2022-05-01,0.6846,spring,medium
2022-06-01,0.6331,summer,low
2022-07-01,0.7072,summer,high
2022-08-01,0.7026,summer,high
2022-09-01,0.6871,fall,medium
2022-10-01,0.7179,fall,high
2022-11-01,0.6755,fall,medium
2022-12-01,0.6572,winter,medium
2023-01-01,0.6861,winter,medium
2023-02-01,0.7802,winter,high
2023-03-01,0.6676,spring,medium
2023-04-01,0.6724,spring,medium
2023-05-01,0.7402,spring,high
2023-06-01,0.7182,summer,high
2023-07-01,0.7073,summer,high
2023-08-01,0.6583,summer,medium
2023-09-01,0.7394,fall,high
2023-10-01,0.6636,fall,medium
2023-11-01,0.6495,fall,low
2023-12-01,0.6948,winter,medium
2024-01-01,0.7814,winter,high
2024-02-01,0.7223,winter,high
2024-03-01,0.8043,spring,high
2024-04-01,0.6672,spring,medium
2024-05-01,0.639,spring,low
2024-06-01,0.663,summer,medium
2024-07-01,0.6846,summer,medium
2024-08-01,0.6624,summer,medium
2024-09-01,0.6507,fall,low
2024-10-01,0.6863,fall,medium
2024-11-01,0.6939,fall,medium
2024-12-01,0.7044,winter,high
