# SOURCE: Synthetic data derived from raw cucumber prices
# DATE: 2026-02-18
# DESCRIPTION: Monthly wholesale canned cucumber prices (USD/kg)
# UNITS: usd_per_kg (USD per kilogram, wholesale)
# LOGIC: Base crop price x value-add multiplier (1.5-2.0x) with stochastic spread
# DEPENDENCIES: historical_cucumber_prices-toy.csv
# ASSUMPTIONS: Processing adds value through preservation, convenience, reduced spoilage
# GENERATION_METHOD: Multiplicative from raw prices with processing cost variation
# CURRENCY: All prices in USD
date,usd_per_kg,season,market_condition
2015-01-01,2.017,winter,high
2015-02-01,1.7741,winter,medium
2015-03-01,1.9341,spring,high
2015-04-01,1.5195,spring,low
2015-05-01,2.0844,spring,high
2015-06-01,1.5096,summer,low
2015-07-01,1.5142,summer,low
2015-08-01,1.8143,summer,medium
2015-09-01,1.8586,fall,high
2015-10-01,1.6405,fall,medium
2015-11-01,1.832,fall,medium
2015-12-01,1.9095,winter,high
2016-01-01,1.744,winter,medium
2016-02-01,1.7917,winter,medium
2016-03-01,1.8149,spring,medium
2016-04-01,1.5758,spring,low
2016-05-01,1.6217,spring,medium
2016-06-01,1.5171,summer,low
2016-07-01,1.6983,summer,low
2016-08-01,1.7441,summer,high
2016-09-01,1.7859,fall,medium
2016-10-01,1.5478,fall,medium
2016-11-01,1.8247,fall,high
2016-12-01,1.4416,winter,low
2017-01-01,1.6318,winter,low
2017-02-01,1.7822,winter,low
2017-03-01,1.7484,spring,low
2017-04-01,1.7862,spring,medium
2017-05-01,1.5307,spring,low
2017-06-01,1.7475,summer,low
2017-07-01,1.7294,summer,medium
2017-08-01,1.6256,summer,medium
2017-09-01,1.5152,fall,low
2017-10-01,1.9459,fall,medium
2017-11-01,1.9619,fall,medium
2017-12-01,2.0725,winter,high
2018-01-01,1.9212,winter,high
2018-02-01,1.7024,winter,medium
2018-03-01,1.7932,spring,medium
2018-04-01,1.7403,spring,low
2018-05-01,1.7486,spring,low
2018-06-01,2.0179,summer,high
2018-07-01,1.4673,summer,low
2018-08-01,1.8022,summer,medium
2018-09-01,1.4976,fall,low
2018-10-01,1.5269,fall,medium
2018-11-01,1.6776,fall,high
2018-12-01,2.1574,winter,high
2019-01-01,2.2436,winter,high
2019-02-01,1.667,winter,high
2019-03-01,2.0036,spring,high
2019-04-01,1.6097,spring,low
2019-05-01,1.5126,spring,low
2019-06-01,1.3542,summer,low
2019-07-01,1.4924,summer,low
2019-08-01,1.7354,summer,medium
2019-09-01,1.4082,fall,low
2019-10-01,1.6386,fall,medium
2019-11-01,1.6851,fall,medium
2019-12-01,2.1217,winter,high
2020-01-01,2.102,winter,high
2020-02-01,1.6717,winter,low
2020-03-01,1.8288,spring,high
2020-04-01,1.5722,spring,low
2020-05-01,1.6554,spring,low
2020-06-01,1.794,summer,high
2020-07-01,1.7328,summer,high
2020-08-01,1.9851,summer,high
2020-09-01,2.1542,fall,high
2020-10-01,1.8845,fall,high
2020-11-01,2.0806,fall,high
2020-12-01,1.9221,winter,high
2021-01-01,1.8376,winter,high
2021-02-01,1.8506,winter,high
2021-03-01,1.8039,spring,medium
2021-04-01,1.5129,spring,low
2021-05-01,1.6089,spring,medium
2021-06-01,1.5222,summer,low
2021-07-01,1.6589,summer,high
2021-08-01,1.7221,summer,low
2021-09-01,1.4506,fall,low
2021-10-01,1.5503,fall,low
2021-11-01,1.6911,fall,medium
2021-12-01,1.7585,winter,high
2022-01-01,2.0147,winter,high
2022-02-01,1.8706,winter,high
2022-03-01,2.2539,spring,high
2022-04-01,1.7688,spring,medium
2022-05-01,1.7873,spring,medium
2022-06-01,1.5588,summer,low
2022-07-01,1.6043,summer,low
2022-08-01,1.7294,summer,medium
2022-09-01,1.4877,fall,low
2022-10-01,1.6737,fall,medium
2022-11-01,1.8035,fall,high
2022-12-01,1.8426,winter,medium
2023-01-01,1.8038,winter,high
2023-02-01,2.0846,winter,high
2023-03-01,1.58,spring,low
2023-04-01,1.5203,spring,low
2023-05-01,1.5451,spring,low
2023-06-01,1.7089,summer,medium
2023-07-01,1.9486,summer,medium
2023-08-01,1.5745,summer,low
2023-09-01,1.9366,fall,medium
2023-10-01,1.7633,fall,low
2023-11-01,1.6942,fall,medium
2023-12-01,1.6784,winter,low
2024-01-01,1.5717,winter,medium
2024-02-01,1.7905,winter,high
2024-03-01,1.991,spring,high
2024-04-01,1.7972,spring,medium
2024-05-01,1.9002,spring,medium
2024-06-01,1.7071,summer,medium
2024-07-01,1.8176,summer,medium
2024-08-01,1.8712,summer,medium
2024-09-01,1.4068,fall,low
2024-10-01,1.8309,fall,high
2024-11-01,1.9046,fall,high
2024-12-01,2.1086,winter,high
