# SOURCE: Synthetic data derived from raw onion prices
# DATE: 2026-02-06
# DESCRIPTION: Monthly wholesale canned onion prices (USD/kg)
# UNITS: usd_per_kg (USD per kilogram, wholesale)
# LOGIC: Base crop price x value-add multiplier (1.5-2.0x) with stochastic spread
# DEPENDENCIES: historical_onion_prices-toy.csv
# ASSUMPTIONS: Processing adds value through preservation, convenience, reduced spoilage
# GENERATION_METHOD: Multiplicative from raw prices with processing cost variation
# CURRENCY: All prices in USD
date,usd_per_kg,season,market_condition
2015-01-01,0.7701,winter,low
2015-02-01,0.9518,winter,medium
2015-03-01,0.878,spring,medium
2015-04-01,0.9858,spring,high
2015-05-01,0.8015,spring,low
2015-06-01,0.8888,summer,medium
2015-07-01,0.8801,summer,medium
2015-08-01,0.9263,summer,medium
2015-09-01,0.9714,fall,high
2015-10-01,0.9181,fall,medium
2015-11-01,0.8717,fall,medium
2015-12-01,0.7425,winter,low
2016-01-01,0.8855,winter,medium
2016-02-01,0.9224,winter,medium
2016-03-01,0.9546,spring,high
2016-04-01,0.9762,spring,high
2016-05-01,0.9802,spring,high
2016-06-01,0.8971,summer,medium
2016-07-01,0.931,summer,medium
2016-08-01,0.8555,summer,low
2016-09-01,0.8428,fall,low
2016-10-01,0.8043,fall,low
2016-11-01,0.7686,fall,low
2016-12-01,0.822,winter,low
2017-01-01,0.8071,winter,low
2017-02-01,0.8045,winter,low
2017-03-01,0.8983,spring,medium
2017-04-01,0.8157,spring,low
2017-05-01,0.849,spring,low
2017-06-01,0.9386,summer,medium
2017-07-01,0.8363,summer,low
2017-08-01,0.8392,summer,low
2017-09-01,0.9394,fall,medium
2017-10-01,0.8717,fall,medium
2017-11-01,0.8394,fall,low
2017-12-01,0.7531,winter,low
2018-01-01,0.8799,winter,medium
2018-02-01,0.8936,winter,medium
2018-03-01,0.7984,spring,low
2018-04-01,0.7788,spring,low
2018-05-01,0.7325,spring,low
2018-06-01,0.8999,summer,medium
2018-07-01,1.0046,summer,high
2018-08-01,1.1465,summer,high
2018-09-01,1.0143,fall,high
2018-10-01,1.0955,fall,high
2018-11-01,1.0325,fall,high
2018-12-01,0.9792,winter,high
2019-01-01,0.7781,winter,low
2019-02-01,0.8587,winter,low
2019-03-01,0.8228,spring,low
2019-04-01,0.7701,spring,low
2019-05-01,0.8066,spring,low
2019-06-01,0.8709,summer,medium
2019-07-01,0.8828,summer,medium
2019-08-01,0.8302,summer,low
2019-09-01,1.0912,fall,high
2019-10-01,0.9791,fall,high
2019-11-01,0.7831,fall,low
2019-12-01,0.8145,winter,low
2020-01-01,0.8327,winter,low
2020-02-01,0.9279,winter,medium
2020-03-01,1.1738,spring,high
2020-04-01,0.9265,spring,medium
2020-05-01,0.7951,spring,low
2020-06-01,0.8869,summer,medium
2020-07-01,0.9753,summer,high
2020-08-01,0.99,summer,high
2020-09-01,1.1429,fall,high
2020-10-01,1.0647,fall,high
2020-11-01,0.8665,fall,low
2020-12-01,0.8249,winter,low
2021-01-01,0.883,winter,medium
2021-02-01,0.9557,winter,high
2021-03-01,0.9629,spring,high
2021-04-01,0.8258,spring,low
2021-05-01,0.7874,spring,low
2021-06-01,0.9929,summer,high
2021-07-01,1.0754,summer,high
2021-08-01,1.0692,summer,high
2021-09-01,1.0449,fall,high
2021-10-01,1.1509,fall,high
2021-11-01,0.9976,fall,high
2021-12-01,0.8591,winter,low
2022-01-01,0.9572,winter,high
2022-02-01,0.8521,winter,low
2022-03-01,0.8957,spring,medium
2022-04-01,0.826,spring,low
2022-05-01,0.9986,spring,high
2022-06-01,0.9862,summer,high
2022-07-01,0.947,summer,medium
2022-08-01,1.0135,summer,high
2022-09-01,0.992,fall,high
2022-10-01,0.8982,fall,medium
2022-11-01,0.9518,fall,high
2022-12-01,0.8986,winter,medium
2023-01-01,0.9507,winter,medium
2023-02-01,1.1103,winter,high
2023-03-01,0.9965,spring,high
2023-04-01,0.8866,spring,medium
2023-05-01,1.0619,spring,high
2023-06-01,0.9788,summer,high
2023-07-01,0.8873,summer,medium
2023-08-01,0.94,summer,medium
2023-09-01,0.9279,fall,medium
2023-10-01,0.8853,fall,medium
2023-11-01,0.9127,fall,medium
2023-12-01,0.9372,winter,medium
2024-01-01,0.9865,winter,high
2024-02-01,0.8617,winter,low
2024-03-01,1.0379,spring,high
2024-04-01,0.9171,spring,medium
2024-05-01,0.8669,spring,medium
2024-06-01,0.9765,summer,high
2024-07-01,0.9386,summer,medium
2024-08-01,0.794,summer,low
2024-09-01,0.846,fall,low
2024-10-01,0.8678,fall,medium
2024-11-01,0.8549,fall,low
2024-12-01,0.963,winter,high
