# SOURCE: Synthetic data derived from raw cucumber prices
# DATE: 2026-02-18
# DESCRIPTION: Monthly wholesale dried cucumber prices (USD/kg)
# UNITS: usd_per_kg (USD per kilogram, wholesale)
# LOGIC: Base crop price x value-add multiplier (2.0-3.0x) with stochastic spread
# DEPENDENCIES: historical_cucumber_prices-toy.csv
# ASSUMPTIONS: Processing adds value through preservation, convenience, reduced spoilage
# GENERATION_METHOD: Multiplicative from raw prices with processing cost variation
# CURRENCY: All prices in USD
date,usd_per_kg,season,market_condition
2015-01-01,22.2345,winter,high
2015-02-01,20.0849,winter,medium
2015-03-01,23.8872,spring,high
2015-04-01,22.5637,spring,low
2015-05-01,22.2206,spring,high
2015-06-01,20.9706,summer,low
2015-07-01,18.7772,summer,low
2015-08-01,20.4781,summer,medium
2015-09-01,23.9956,fall,high
2015-10-01,22.4227,fall,medium
2015-11-01,23.7922,fall,medium
2015-12-01,22.1485,winter,high
2016-01-01,23.4644,winter,medium
2016-02-01,22.8379,winter,medium
2016-03-01,23.1509,spring,medium
2016-04-01,18.0435,spring,low
2016-05-01,22.3232,spring,medium
2016-06-01,19.6415,summer,low
2016-07-01,19.7418,summer,low
2016-08-01,21.8174,summer,high
2016-09-01,20.4476,fall,medium
2016-10-01,22.673,fall,medium
2016-11-01,20.7141,fall,high
2016-12-01,19.7145,winter,low
2017-01-01,18.2549,winter,low
2017-02-01,19.6103,winter,low
2017-03-01,21.9831,spring,low
2017-04-01,20.4287,spring,medium
2017-05-01,18.9592,spring,low
2017-06-01,22.1399,summer,low
2017-07-01,20.5013,summer,medium
2017-08-01,19.707,summer,medium
2017-09-01,20.2746,fall,low
2017-10-01,22.3032,fall,medium
2017-11-01,21.3693,fall,medium
2017-12-01,22.8099,winter,high
2018-01-01,25.4791,winter,high
2018-02-01,22.1106,winter,medium
2018-03-01,21.8684,spring,medium
2018-04-01,18.7096,spring,low
2018-05-01,21.7385,spring,low
2018-06-01,22.3004,summer,high
2018-07-01,21.4889,summer,low
2018-08-01,23.7359,summer,medium
2018-09-01,18.6013,fall,low
2018-10-01,23.1016,fall,medium
2018-11-01,24.8565,fall,high
2018-12-01,25.6407,winter,high
2019-01-01,29.7368,winter,high
2019-02-01,21.6683,winter,high
2019-03-01,24.0249,spring,high
2019-04-01,19.904,spring,low
2019-05-01,17.4779,spring,low
2019-06-01,17.3804,summer,low
2019-07-01,18.0578,summer,low
2019-08-01,22.292,summer,medium
2019-09-01,19.8114,fall,low
2019-10-01,20.1386,fall,medium
2019-11-01,21.215,fall,medium
2019-12-01,24.3294,winter,high
2020-01-01,25.956,winter,high
2020-02-01,21.859,winter,low
2020-03-01,23.2437,spring,high
2020-04-01,18.6778,spring,low
2020-05-01,20.8715,spring,low
2020-06-01,21.4986,summer,high
2020-07-01,24.9502,summer,high
2020-08-01,22.7121,summer,high
2020-09-01,25.4958,fall,high
2020-10-01,24.5369,fall,high
2020-11-01,22.2725,fall,high
2020-12-01,25.456,winter,high
2021-01-01,22.8004,winter,high
2021-02-01,23.6184,winter,high
2021-03-01,20.9506,spring,medium
2021-04-01,18.0495,spring,low
2021-05-01,20.0406,spring,medium
2021-06-01,22.1742,summer,low
2021-07-01,23.6569,summer,high
2021-08-01,21.747,summer,low
2021-09-01,18.4618,fall,low
2021-10-01,16.9599,fall,low
2021-11-01,22.3191,fall,medium
2021-12-01,24.1913,winter,high
2022-01-01,25.6551,winter,high
2022-02-01,22.3681,winter,high
2022-03-01,23.8412,spring,high
2022-04-01,22.812,spring,medium
2022-05-01,21.4649,spring,medium
2022-06-01,18.375,summer,low
2022-07-01,21.0619,summer,low
2022-08-01,21.1106,summer,medium
2022-09-01,19.9804,fall,low
2022-10-01,23.8202,fall,medium
2022-11-01,24.5596,fall,high
2022-12-01,24.1349,winter,medium
2023-01-01,25.0091,winter,high
2023-02-01,24.1806,winter,high
2023-03-01,20.1747,spring,low
2023-04-01,19.6303,spring,low
2023-05-01,18.2071,spring,low
2023-06-01,20.7846,summer,medium
2023-07-01,23.4318,summer,medium
2023-08-01,21.264,summer,low
2023-09-01,20.6483,fall,medium
2023-10-01,21.3409,fall,low
2023-11-01,20.3228,fall,medium
2023-12-01,17.966,winter,low
2024-01-01,19.875,winter,medium
2024-02-01,22.1622,winter,high
2024-03-01,25.9702,spring,high
2024-04-01,19.9176,spring,medium
2024-05-01,22.109,spring,medium
2024-06-01,22.8297,summer,medium
2024-07-01,21.1156,summer,medium
2024-08-01,22.3382,summer,medium
2024-09-01,20.1371,fall,low
2024-10-01,24.4908,fall,high
2024-11-01,24.4816,fall,high
2024-12-01,24.7329,winter,high
