# SOURCE: Synthetic data derived from raw onion prices
# DATE: 2026-02-18
# DESCRIPTION: Monthly wholesale dried onion prices (USD/kg)
# UNITS: usd_per_kg (USD per kilogram, wholesale)
# LOGIC: Base crop price x value-add multiplier (2.0-3.0x) with stochastic spread
# DEPENDENCIES: historical_onion_prices-toy.csv
# ASSUMPTIONS: Processing adds value through preservation, convenience, reduced spoilage
# GENERATION_METHOD: Multiplicative from raw prices with processing cost variation
# CURRENCY: All prices in USD
date,usd_per_kg,season,market_condition
2015-01-01,4.6577,winter,low
2015-02-01,5.0354,winter,high
2015-03-01,4.0707,spring,low
2015-04-01,5.7834,spring,medium
2015-05-01,4.7605,spring,low
2015-06-01,4.5716,summer,low
2015-07-01,5.4114,summer,medium
2015-08-01,4.6532,summer,low
2015-09-01,5.3214,fall,medium
2015-10-01,5.2352,fall,medium
2015-11-01,5.2666,fall,low
2015-12-01,5.1536,winter,low
2016-01-01,5.2594,winter,high
2016-02-01,5.5068,winter,high
2016-03-01,5.3158,spring,medium
2016-04-01,4.4716,spring,medium
2016-05-01,4.7137,spring,low
2016-06-01,5.346,summer,low
2016-07-01,5.4834,summer,medium
2016-08-01,5.6494,summer,high
2016-09-01,4.9955,fall,medium
2016-10-01,5.3036,fall,low
2016-11-01,4.6816,fall,low
2016-12-01,5.1751,winter,low
2017-01-01,5.2483,winter,low
2017-02-01,4.8548,winter,medium
2017-03-01,4.5012,spring,low
2017-04-01,5.3117,spring,medium
2017-05-01,4.4133,spring,low
2017-06-01,4.5446,summer,low
2017-07-01,4.9104,summer,medium
2017-08-01,5.6521,summer,high
2017-09-01,4.9875,fall,high
2017-10-01,4.5727,fall,low
2017-11-01,4.2546,fall,low
2017-12-01,4.3586,winter,low
2018-01-01,4.702,winter,low
2018-02-01,5.2868,winter,medium
2018-03-01,4.4168,spring,low
2018-04-01,3.83,spring,low
2018-05-01,4.6089,spring,low
2018-06-01,4.6402,summer,medium
2018-07-01,5.6528,summer,high
2018-08-01,5.5621,summer,high
2018-09-01,5.8487,fall,high
2018-10-01,5.614,fall,high
2018-11-01,6.1175,fall,high
2018-12-01,5.8751,winter,high
2019-01-01,4.3655,winter,low
2019-02-01,4.3059,winter,low
2019-03-01,4.6556,spring,low
2019-04-01,4.2203,spring,low
2019-05-01,4.7226,spring,low
2019-06-01,4.285,summer,low
2019-07-01,4.5607,summer,medium
2019-08-01,5.8047,summer,high
2019-09-01,5.6686,fall,high
2019-10-01,6.0701,fall,high
2019-11-01,4.9769,fall,low
2019-12-01,5.1169,winter,low
2020-01-01,4.6467,winter,low
2020-02-01,5.9657,winter,high
2020-03-01,5.5096,spring,high
2020-04-01,4.4432,spring,low
2020-05-01,4.379,spring,low
2020-06-01,5.1964,summer,medium
2020-07-01,5.5347,summer,high
2020-08-01,5.8672,summer,high
2020-09-01,6.6523,fall,high
2020-10-01,5.8479,fall,high
2020-11-01,4.5487,fall,low
2020-12-01,4.7816,winter,low
2021-01-01,5.529,winter,medium
2021-02-01,5.9598,winter,high
2021-03-01,5.2672,spring,medium
2021-04-01,4.6709,spring,low
2021-05-01,5.5944,spring,medium
2021-06-01,5.6227,summer,high
2021-07-01,6.2115,summer,high
2021-08-01,5.9978,summer,high
2021-09-01,6.0176,fall,high
2021-10-01,6.0714,fall,high
2021-11-01,5.7466,fall,medium
2021-12-01,5.3431,winter,medium
2022-01-01,5.661,winter,medium
2022-02-01,5.2348,winter,medium
2022-03-01,5.7194,spring,high
2022-04-01,5.1374,spring,low
2022-05-01,5.5842,spring,medium
2022-06-01,4.98,summer,medium
2022-07-01,5.6657,summer,medium
2022-08-01,5.2028,summer,high
2022-09-01,5.6399,fall,high
2022-10-01,5.2309,fall,medium
2022-11-01,5.0454,fall,medium
2022-12-01,5.3361,winter,low
2023-01-01,5.3401,winter,medium
2023-02-01,5.5946,winter,high
2023-03-01,5.6663,spring,high
2023-04-01,5.1917,spring,low
2023-05-01,5.4824,spring,high
2023-06-01,6.0895,summer,high
2023-07-01,5.9191,summer,medium
2023-08-01,5.18,summer,high
2023-09-01,5.8584,fall,high
2023-10-01,4.9981,fall,medium
2023-11-01,4.9732,fall,medium
2023-12-01,5.9866,winter,high
2024-01-01,6.2772,winter,high
2024-02-01,5.6894,winter,high
2024-03-01,5.6247,spring,high
2024-04-01,5.0119,spring,medium
2024-05-01,5.2124,spring,medium
2024-06-01,5.4785,summer,medium
2024-07-01,5.4483,summer,medium
2024-08-01,5.3798,summer,medium
2024-09-01,5.5011,fall,medium
2024-10-01,5.5186,fall,medium
2024-11-01,5.1641,fall,medium
2024-12-01,5.6661,winter,medium
