# SOURCE: Synthetic data derived from raw potato prices
# DATE: 2026-02-18
# DESCRIPTION: Monthly wholesale dried potato prices (USD/kg)
# UNITS: usd_per_kg (USD per kilogram, wholesale)
# LOGIC: Base crop price x value-add multiplier (2.0-3.0x) with stochastic spread
# DEPENDENCIES: historical_potato_prices-toy.csv
# ASSUMPTIONS: Processing adds value through preservation, convenience, reduced spoilage
# GENERATION_METHOD: Multiplicative from raw prices with processing cost variation
# CURRENCY: All prices in USD
date,usd_per_kg,season,market_condition
2015-01-01,3.4017,winter,high
2015-02-01,2.6453,winter,low
2015-03-01,2.8936,spring,low
2015-04-01,2.8497,spring,low
2015-05-01,2.5828,spring,low
2015-06-01,3.2936,summer,medium
2015-07-01,2.8673,summer,low
2015-08-01,3.5602,summer,high
2015-09-01,2.2664,fall,low
2015-10-01,2.6494,fall,low
2015-11-01,2.8119,fall,medium
2015-12-01,3.2539,winter,medium
2016-01-01,3.343,winter,high
2016-02-01,3.2751,winter,medium
2016-03-01,2.9255,spring,medium
2016-04-01,2.7134,spring,low
2016-05-01,2.7067,spring,low
2016-06-01,2.6196,summer,low
2016-07-01,3.1001,summer,medium
2016-08-01,3.0959,summer,medium
2016-09-01,2.9514,fall,low
2016-10-01,2.4782,fall,low
2016-11-01,2.9711,fall,low
2016-12-01,2.902,winter,low
2017-01-01,3.2647,winter,medium
2017-02-01,2.6661,winter,low
2017-03-01,2.6795,spring,low
2017-04-01,2.4786,spring,low
2017-05-01,2.4654,spring,low
2017-06-01,2.9657,summer,low
2017-07-01,3.0021,summer,low
2017-08-01,2.9754,summer,low
2017-09-01,2.3762,fall,low
2017-10-01,2.3695,fall,low
2017-11-01,2.6021,fall,low
2017-12-01,2.6552,winter,low
2018-01-01,2.9465,winter,high
2018-02-01,3.2576,winter,high
2018-03-01,2.9368,spring,medium
2018-04-01,2.801,spring,low
2018-05-01,2.7944,spring,low
2018-06-01,3.1127,summer,medium
2018-07-01,3.6282,summer,high
2018-08-01,2.6723,summer,low
2018-09-01,3.1583,fall,medium
2018-10-01,3.1712,fall,medium
2018-11-01,2.7658,fall,low
2018-12-01,3.0708,winter,high
2019-01-01,3.437,winter,high
2019-02-01,2.7337,winter,medium
2019-03-01,2.7255,spring,medium
2019-04-01,2.5462,spring,low
2019-05-01,3.3043,spring,high
2019-06-01,3.1366,summer,medium
2019-07-01,3.235,summer,high
2019-08-01,3.5888,summer,high
2019-09-01,3.2922,fall,high
2019-10-01,3.1786,fall,high
2019-11-01,3.388,fall,high
2019-12-01,3.1397,winter,high
2020-01-01,3.4329,winter,high
2020-02-01,3.2844,winter,high
2020-03-01,3.3942,spring,high
2020-04-01,3.1564,spring,medium
2020-05-01,3.1209,spring,medium
2020-06-01,3.2267,summer,high
2020-07-01,2.6161,summer,low
2020-08-01,2.7503,summer,low
2020-09-01,2.3356,fall,low
2020-10-01,2.5799,fall,low
2020-11-01,2.577,fall,low
2020-12-01,3.1444,winter,high
2021-01-01,3.8191,winter,high
2021-02-01,2.9388,winter,medium
2021-03-01,2.6361,spring,medium
2021-04-01,2.8282,spring,medium
2021-05-01,2.5976,spring,low
2021-06-01,3.2505,summer,high
2021-07-01,3.5409,summer,high
2021-08-01,3.6739,summer,high
2021-09-01,3.0454,fall,medium
2021-10-01,2.8697,fall,medium
2021-11-01,3.1863,fall,medium
2021-12-01,3.1987,winter,high
2022-01-01,2.6526,winter,medium
2022-02-01,2.7384,winter,medium
2022-03-01,2.8827,spring,low
2022-04-01,2.9181,spring,medium
2022-05-01,2.5581,spring,low
2022-06-01,2.9126,summer,medium
2022-07-01,2.6769,summer,medium
2022-08-01,3.0778,summer,medium
2022-09-01,3.0275,fall,medium
2022-10-01,2.8271,fall,medium
2022-11-01,3.0499,fall,high
2022-12-01,2.9084,winter,low
2023-01-01,2.8364,winter,medium
2023-02-01,2.7287,winter,medium
2023-03-01,2.7274,spring,medium
2023-04-01,3.1613,spring,medium
2023-05-01,3.3311,spring,medium
2023-06-01,3.3814,summer,high
2023-07-01,3.5673,summer,high
2023-08-01,3.7907,summer,high
2023-09-01,3.9686,fall,high
2023-10-01,3.6576,fall,high
2023-11-01,3.423,fall,high
2023-12-01,3.6092,winter,high
2024-01-01,3.183,winter,high
2024-02-01,3.8958,winter,high
2024-03-01,3.2421,spring,high
2024-04-01,3.0467,spring,high
2024-05-01,3.2709,spring,high
2024-06-01,3.0968,summer,medium
2024-07-01,2.8814,summer,medium
2024-08-01,2.9542,summer,low
2024-09-01,3.0452,fall,medium
2024-10-01,3.0205,fall,medium
2024-11-01,3.156,fall,high
2024-12-01,3.3281,winter,high
