# SOURCE: Synthetic data derived from raw cucumber prices
# DATE: 2026-02-06
# DESCRIPTION: Monthly wholesale pickled cucumber prices (USD/kg)
# UNITS: usd_per_kg (USD per kilogram, wholesale)
# LOGIC: Base crop price x value-add multiplier (1.4-1.8x) with stochastic spread
# DEPENDENCIES: historical_cucumber_prices-toy.csv
# ASSUMPTIONS: Processing adds value through preservation, convenience, reduced spoilage
# GENERATION_METHOD: Multiplicative from raw prices with processing cost variation
# CURRENCY: All prices in USD
date,usd_per_kg,season,market_condition
2015-01-01,2.0044,winter,high
2015-02-01,1.611,winter,low
2015-03-01,1.9577,spring,high
2015-04-01,1.6974,spring,medium
2015-05-01,2.0799,spring,high
2015-06-01,1.6347,summer,low
2015-07-01,1.6902,summer,medium
2015-08-01,1.702,summer,medium
2015-09-01,2.0172,fall,high
2015-10-01,1.7979,fall,medium
2015-11-01,1.6507,fall,low
2015-12-01,1.9621,winter,high
2016-01-01,1.8007,winter,medium
2016-02-01,1.6367,winter,low
2016-03-01,1.7223,spring,medium
2016-04-01,1.6266,spring,low
2016-05-01,1.7344,spring,medium
2016-06-01,1.4727,summer,low
2016-07-01,1.6024,summer,low
2016-08-01,2.0553,summer,high
2016-09-01,1.8644,fall,high
2016-10-01,1.7169,fall,medium
2016-11-01,1.9125,fall,high
2016-12-01,1.4619,winter,low
2017-01-01,1.5911,winter,low
2017-02-01,1.8185,winter,medium
2017-03-01,1.5836,spring,low
2017-04-01,1.6201,spring,low
2017-05-01,1.4034,spring,low
2017-06-01,1.5668,summer,low
2017-07-01,1.6286,summer,low
2017-08-01,1.6572,summer,low
2017-09-01,1.4031,fall,low
2017-10-01,1.8027,fall,medium
2017-11-01,1.886,fall,high
2017-12-01,1.8266,winter,medium
2018-01-01,2.035,winter,high
2018-02-01,1.7734,winter,medium
2018-03-01,1.8536,spring,high
2018-04-01,1.5552,spring,low
2018-05-01,1.6924,spring,medium
2018-06-01,1.7198,summer,medium
2018-07-01,1.715,summer,medium
2018-08-01,1.7753,summer,medium
2018-09-01,1.6358,fall,low
2018-10-01,1.5629,fall,low
2018-11-01,1.7401,fall,medium
2018-12-01,2.1,winter,high
2019-01-01,2.1419,winter,high
2019-02-01,1.8668,winter,high
2019-03-01,1.6825,spring,medium
2019-04-01,1.7001,spring,medium
2019-05-01,1.3372,spring,low
2019-06-01,1.3839,summer,low
2019-07-01,1.537,summer,low
2019-08-01,1.6387,summer,low
2019-09-01,1.5347,fall,low
2019-10-01,1.716,fall,medium
2019-11-01,1.7423,fall,medium
2019-12-01,1.8916,winter,high
2020-01-01,1.85,winter,medium
2020-02-01,1.7089,winter,medium
2020-03-01,1.6989,spring,medium
2020-04-01,1.4471,spring,low
2020-05-01,1.4942,spring,low
2020-06-01,1.8937,summer,high
2020-07-01,1.8621,summer,high
2020-08-01,1.7879,summer,medium
2020-09-01,2.1685,fall,high
2020-10-01,1.9641,fall,high
2020-11-01,1.9672,fall,high
2020-12-01,2.1766,winter,high
2021-01-01,1.7271,winter,medium
2021-02-01,1.9361,winter,high
2021-03-01,1.8415,spring,medium
2021-04-01,1.4868,spring,low
2021-05-01,1.7385,spring,medium
2021-06-01,1.6775,summer,medium
2021-07-01,1.8101,summer,medium
2021-08-01,1.66,summer,low
2021-09-01,1.554,fall,low
2021-10-01,1.591,fall,low
2021-11-01,1.5757,fall,low
2021-12-01,1.9918,winter,high
2022-01-01,2.0349,winter,high
2022-02-01,1.9374,winter,high
2022-03-01,2.2252,spring,high
2022-04-01,1.9249,spring,high
2022-05-01,1.8558,spring,high
2022-06-01,1.5019,summer,low
2022-07-01,1.7204,summer,medium
2022-08-01,1.8195,summer,medium
2022-09-01,1.6167,fall,low
2022-10-01,1.7575,fall,medium
2022-11-01,2.1169,fall,high
2022-12-01,1.6953,winter,medium
2023-01-01,2.043,winter,high
2023-02-01,2.0895,winter,high
2023-03-01,1.3906,spring,low
2023-04-01,1.5639,spring,low
2023-05-01,1.379,spring,low
2023-06-01,1.8135,summer,medium
2023-07-01,1.8827,summer,high
2023-08-01,1.5321,summer,low
2023-09-01,1.7879,fall,medium
2023-10-01,1.8407,fall,medium
2023-11-01,1.6312,fall,low
2023-12-01,1.4329,winter,low
2024-01-01,1.8889,winter,high
2024-02-01,2.1641,winter,high
2024-03-01,2.0936,spring,high
2024-04-01,1.835,spring,medium
2024-05-01,1.8772,spring,high
2024-06-01,1.6353,summer,low
2024-07-01,1.6638,summer,medium
2024-08-01,1.8795,summer,high
2024-09-01,1.6684,fall,medium
2024-10-01,1.9047,fall,high
2024-11-01,1.9225,fall,high
2024-12-01,2.1955,winter,high
