# SOURCE: Synthetic data based on Egyptian water authority pricing trends
# DATE: 2026-02-06
# DESCRIPTION: Monthly municipal water prices for agricultural bulk users in Egypt
# UNITS: usd_per_m3 (USD per cubic meter), egp_per_m3_original (Egyptian Pounds)
# LOGIC: Base rates increase with water scarcity management policy, slight seasonal variation (summer premium)
# DEPENDENCIES: None
# ASSUMPTIONS: Agricultural bulk rate category, gradual price increases for conservation
# GENERATION_METHOD: Annual EGP base rates with seasonal variation, USD conversion at historical rates
# CURRENCY: Primary USD, original EGP documented with exchange rates
# EXCHANGE_RATE_SOURCE: Central Bank of Egypt historical averages
date,usd_per_m3,egp_per_m3_original,usd_egp_exchange_rate,rate_category
2015-01-01,0.19,1.4497,7.63,agricultural_bulk
2015-02-01,0.19,1.4497,7.63,agricultural_bulk
2015-03-01,0.2071,1.5804,7.63,agricultural_bulk
2015-04-01,0.2314,1.7657,7.63,agricultural_bulk
2015-05-01,0.2373,1.8108,7.63,agricultural_bulk
2015-06-01,0.2397,1.8288,7.63,agricultural_bulk
2015-07-01,0.2488,1.8985,7.63,agricultural_bulk
2015-08-01,0.2335,1.7817,7.63,agricultural_bulk
2015-09-01,0.2391,1.8241,7.63,agricultural_bulk
2015-10-01,0.2294,1.7505,7.63,agricultural_bulk
2015-11-01,0.2198,1.6769,7.63,agricultural_bulk
2015-12-01,0.2168,1.6544,7.63,agricultural_bulk
2016-01-01,0.2235,2.0343,9.1,agricultural_bulk
2016-02-01,0.2468,2.2461,9.1,agricultural_bulk
2016-03-01,0.2696,2.4532,9.1,agricultural_bulk
2016-04-01,0.2722,2.477,9.1,agricultural_bulk
2016-05-01,0.2958,2.6922,9.1,agricultural_bulk
2016-06-01,0.2814,2.5603,9.1,agricultural_bulk
2016-07-01,0.2959,2.6923,9.1,agricultural_bulk
2016-08-01,0.2952,2.6865,9.1,agricultural_bulk
2016-09-01,0.2779,2.529,9.1,agricultural_bulk
2016-10-01,0.2678,2.4366,9.1,agricultural_bulk
2016-11-01,0.2634,2.3971,9.1,agricultural_bulk
2016-12-01,0.2711,2.4667,9.1,agricultural_bulk
2017-01-01,0.2751,4.8908,17.78,agricultural_bulk
2017-02-01,0.2722,4.8396,17.78,agricultural_bulk
2017-03-01,0.2916,5.1849,17.78,agricultural_bulk
2017-04-01,0.3255,5.7868,17.78,agricultural_bulk
2017-05-01,0.3525,6.2672,17.78,agricultural_bulk
2017-06-01,0.3273,5.8196,17.78,agricultural_bulk
2017-07-01,0.3517,6.2528,17.78,agricultural_bulk
2017-08-01,0.344,6.116,17.78,agricultural_bulk
2017-09-01,0.3512,6.2441,17.78,agricultural_bulk
2017-10-01,0.3206,5.7005,17.78,agricultural_bulk
2017-11-01,0.3194,5.679,17.78,agricultural_bulk
2017-12-01,0.3163,5.6244,17.78,agricultural_bulk
2018-01-01,0.3029,5.4011,17.83,agricultural_bulk
2018-02-01,0.3485,6.2136,17.83,agricultural_bulk
2018-03-01,0.3652,6.5115,17.83,agricultural_bulk
2018-04-01,0.3914,6.9783,17.83,agricultural_bulk
2018-05-01,0.4511,8.0437,17.83,agricultural_bulk
2018-06-01,0.3874,6.9082,17.83,agricultural_bulk
2018-07-01,0.4343,7.7431,17.83,agricultural_bulk
2018-08-01,0.4,7.1324,17.83,agricultural_bulk
2018-09-01,0.3919,6.9879,17.83,agricultural_bulk
2018-10-01,0.3727,6.6453,17.83,agricultural_bulk
2018-11-01,0.3581,6.3855,17.83,agricultural_bulk
2018-12-01,0.3551,6.3316,17.83,agricultural_bulk
2019-01-01,0.3742,6.1937,16.55,agricultural_bulk
2019-02-01,0.3718,6.1528,16.55,agricultural_bulk
2019-03-01,0.4236,7.0108,16.55,agricultural_bulk
2019-04-01,0.434,7.1829,16.55,agricultural_bulk
2019-05-01,0.4439,7.3466,16.55,agricultural_bulk
2019-06-01,0.4635,7.6712,16.55,agricultural_bulk
2019-07-01,0.4865,8.0511,16.55,agricultural_bulk
2019-08-01,0.4502,7.45,16.55,agricultural_bulk
2019-09-01,0.4447,7.3603,16.55,agricultural_bulk
2019-10-01,0.4128,6.8321,16.55,agricultural_bulk
2019-11-01,0.419,6.9351,16.55,agricultural_bulk
2019-12-01,0.416,6.884,16.55,agricultural_bulk
2020-01-01,0.4407,6.9456,15.76,agricultural_bulk
2020-02-01,0.436,6.8721,15.76,agricultural_bulk
2020-03-01,0.4751,7.4869,15.76,agricultural_bulk
2020-04-01,0.495,7.8004,15.76,agricultural_bulk
2020-05-01,0.5354,8.4378,15.76,agricultural_bulk
2020-06-01,0.5151,8.1176,15.76,agricultural_bulk
2020-07-01,0.5364,8.4537,15.76,agricultural_bulk
2020-08-01,0.5085,8.0142,15.76,agricultural_bulk
2020-09-01,0.4905,7.73,15.76,agricultural_bulk
2020-10-01,0.4722,7.4423,15.76,agricultural_bulk
2020-11-01,0.4602,7.252,15.76,agricultural_bulk
2020-12-01,0.4523,7.1278,15.76,agricultural_bulk
2021-01-01,0.4675,7.3214,15.66,agricultural_bulk
2021-02-01,0.5103,7.991,15.66,agricultural_bulk
2021-03-01,0.5324,8.3379,15.66,agricultural_bulk
2021-04-01,0.5618,8.7974,15.66,agricultural_bulk
2021-05-01,0.5634,8.8234,15.66,agricultural_bulk
2021-06-01,0.5674,8.8862,15.66,agricultural_bulk
2021-07-01,0.5972,9.3521,15.66,agricultural_bulk
2021-08-01,0.5804,9.0885,15.66,agricultural_bulk
2021-09-01,0.5668,8.8767,15.66,agricultural_bulk
2021-10-01,0.5104,7.9924,15.66,agricultural_bulk
2021-11-01,0.5002,7.8332,15.66,agricultural_bulk
2021-12-01,0.4755,7.447,15.66,agricultural_bulk
2022-01-01,0.5055,9.685,19.16,agricultural_bulk
2022-02-01,0.5521,10.5782,19.16,agricultural_bulk
2022-03-01,0.5606,10.7414,19.16,agricultural_bulk
2022-04-01,0.6131,11.7462,19.16,agricultural_bulk
2022-05-01,0.6235,11.947,19.16,agricultural_bulk
2022-06-01,0.6458,12.3733,19.16,agricultural_bulk
2022-07-01,0.6145,11.7743,19.16,agricultural_bulk
2022-08-01,0.6211,11.9,19.16,agricultural_bulk
2022-09-01,0.541,10.3648,19.16,agricultural_bulk
2022-10-01,0.5655,10.8341,19.16,agricultural_bulk
2022-11-01,0.5237,10.0344,19.16,agricultural_bulk
2022-12-01,0.5662,10.8484,19.16,agricultural_bulk
2023-01-01,0.5715,17.6308,30.85,agricultural_bulk
2023-02-01,0.5931,18.2977,30.85,agricultural_bulk
2023-03-01,0.6483,19.9998,30.85,agricultural_bulk
2023-04-01,0.6368,19.6465,30.85,agricultural_bulk
2023-05-01,0.7188,22.1753,30.85,agricultural_bulk
2023-06-01,0.7156,22.0766,30.85,agricultural_bulk
2023-07-01,0.6874,21.2065,30.85,agricultural_bulk
2023-08-01,0.6964,21.4853,30.85,agricultural_bulk
2023-09-01,0.6243,19.2592,30.85,agricultural_bulk
2023-10-01,0.6022,18.5787,30.85,agricultural_bulk
2023-11-01,0.5867,18.1001,30.85,agricultural_bulk
2023-12-01,0.5833,17.9951,30.85,agricultural_bulk
2024-01-01,0.5863,28.4337,48.5,agricultural_bulk
2024-02-01,0.657,31.8665,48.5,agricultural_bulk
2024-03-01,0.6662,32.3114,48.5,agricultural_bulk
2024-04-01,0.717,34.7746,48.5,agricultural_bulk
2024-05-01,0.7262,35.223,48.5,agricultural_bulk
2024-06-01,0.7116,34.5127,48.5,agricultural_bulk
2024-07-01,0.7543,36.5819,48.5,agricultural_bulk
2024-08-01,0.6858,33.2596,48.5,agricultural_bulk
2024-09-01,0.6957,33.7418,48.5,agricultural_bulk
2024-10-01,0.639,30.9917,48.5,agricultural_bulk
2024-11-01,0.683,33.1268,48.5,agricultural_bulk
2024-12-01,0.6565,31.8388,48.5,agricultural_bulk
