# SOURCE: Derived from daily_weather_openfield-research.csv and pv_microclimate_factors-research.csv
# DATE: 2026-02-23
# DESCRIPTION: Daily weather under agri-PV panels (spatial average at crop level). Open-field weather adjusted by microclimate factors for density_variant=high (GCR=80%).
# UNITS: date=YYYY-MM-DD, temp_max_c=Celsius, temp_min_c=Celsius, solar_irradiance_kwh_m2=kWh/m2/day, wind_speed_ms=m/s, precip_mm=mm/day
# LOGIC: temp_new = temp_openfield + temp_adjustment_c (-2.50C); solar_new = solar_openfield * irradiance_multiplier (0.35); wind_new = wind_openfield * wind_speed_multiplier (0.60). Precipitation passed through unchanged (no panel interception in factors).
# DEPENDENCIES: daily_weather_openfield-*.csv, pv_microclimate_factors-*.csv
# ASSUMPTIONS: Microclimate factors represent spatial average across planted area. Panel height 3m, fixed-tilt 28deg. Values from peer-reviewed agri-PV studies.
# DENSITY_VARIANT: high (ground_coverage_pct=80)
date,temp_max_c,temp_min_c,solar_irradiance_kwh_m2,wind_speed_ms,precip_mm,weather_scenario_id
2010-01-01,21.9,14.71,1.48,1.45,0.0,001
2010-01-02,22.13,15.76,1.49,1.57,0.0,001
2010-01-03,21.83,14.92,1.43,1.72,0.0,001
2010-01-04,19.63,14.26,1.48,3.32,0.0,001
2010-01-05,19.76,13.13,1.5,2.84,0.0,001
2010-01-06,23.28,13.69,1.44,1.53,0.0,001
2010-01-07,24.0,16.69,1.46,1.34,0.0,001
2010-01-08,24.12,16.01,1.53,1.22,0.0,001
2010-01-09,23.84,15.2,1.56,1.44,0.0,001
2010-01-10,25.13,16.4,1.59,0.86,0.0,001
2010-01-11,24.06,17.47,1.53,1.1,0.0,001
2010-01-12,21.36,15.82,1.41,1.09,0.0,001
2010-01-13,19.42,14.72,0.92,2.23,0.0,001
2010-01-14,19.67,14.16,1.51,2.06,0.0,001
2010-01-15,19.71,13.09,1.55,1.91,0.0,001
2010-01-16,22.11,16.03,1.35,1.37,0.0,001
2010-01-17,22.56,17.04,1.11,2.57,1.72,001
2010-01-18,19.28,12.98,1.22,4.64,6.53,001
2010-01-19,16.76,10.92,1.33,2.62,0.0,001
2010-01-20,18.36,12.19,1.13,3.07,0.01,001
2010-01-21,16.49,11.2,1.53,2.65,0.0,001
2010-01-22,17.58,12.67,1.58,1.51,0.0,001
2010-01-23,20.78,13.56,1.61,1.94,0.0,001
2010-01-24,18.65,11.7,1.56,4.01,0.0,001
2010-01-25,15.3,10.06,1.6,4.57,0.0,001
2010-01-26,15.7,8.49,1.64,3.11,0.0,001
2010-01-27,18.27,12.18,1.36,1.11,0.0,001
2010-01-28,20.97,14.17,1.7,0.89,0.0,001
2010-01-29,22.24,13.96,1.65,2.05,0.0,001
2010-01-30,22.12,15.46,1.29,3.92,0.0,001
2010-01-31,22.78,16.32,0.97,1.67,0.21,001
2010-02-01,20.94,14.42,1.63,3.31,0.0,001
2010-02-02,20.03,11.83,1.72,3.82,0.0,001
2010-02-03,16.17,11.14,1.67,5.3,0.0,001
2010-02-04,14.1,8.92,1.73,5.51,0.0,001
2010-02-05,13.85,7.34,1.65,4.48,0.0,001
2010-02-06,14.8,7.44,1.7,3.37,0.0,001
2010-02-07,16.45,9.56,1.83,1.73,0.0,001
2010-02-08,19.78,12.11,1.7,1.75,0.0,001
2010-02-09,21.56,11.35,1.75,1.13,0.0,001
2010-02-10,20.74,13.96,1.79,1.42,0.0,001
2010-02-11,21.55,14.58,1.72,2.24,0.0,001
2010-02-12,23.48,16.38,1.83,1.2,0.0,001
2010-02-13,25.5,17.08,1.82,1.42,0.0,001
2010-02-14,27.34,17.79,1.53,1.13,0.0,001
2010-02-15,25.8,20.5,1.53,1.79,0.0,001
2010-02-16,27.11,20.47,1.67,0.76,0.0,001
2010-02-17,26.61,19.82,1.82,1.6,0.0,001
2010-02-18,27.16,19.55,1.85,1.47,0.0,001
2010-02-19,25.9,17.82,1.93,2.88,0.0,001
2010-02-20,25.56,17.45,1.96,1.99,0.0,001
2010-02-21,26.5,18.81,2.01,1.56,0.0,001
2010-02-22,21.74,16.37,1.84,4.34,0.0,001
2010-02-23,21.33,15.02,1.9,4.25,0.01,001
2010-02-24,21.55,14.41,1.82,3.07,0.0,001
2010-02-25,22.33,14.74,1.47,2.81,0.15,001
2010-02-26,17.63,13.39,1.53,4.7,0.09,001
2010-02-27,18.91,12.61,2.01,2.72,0.0,001
2010-02-28,22.32,13.24,1.64,3.89,0.0,001
2010-03-01,19.47,11.36,2.03,4.34,0.02,001
2010-03-02,22.38,14.56,2.09,2.47,0.0,001
2010-03-03,23.34,15.12,1.95,2.3,0.0,001
2010-03-04,22.58,13.06,2.19,3.86,0.0,001
2010-03-05,24.86,17.19,1.96,1.87,0.0,001
2010-03-06,24.16,17.64,2.15,2.19,0.0,001
2010-03-07,24.44,16.22,2.2,2.69,0.0,001
2010-03-08,27.14,18.95,2.17,1.75,0.0,001
2010-03-09,26.55,19.66,1.96,3.2,0.0,001
2010-03-10,26.45,19.85,2.11,2.52,0.0,001
2010-03-11,27.62,20.68,2.24,1.9,0.0,001
2010-03-12,27.77,20.17,2.26,1.88,0.0,001
2010-03-13,25.93,18.73,2.24,2.98,0.0,001
2010-03-14,24.93,19.81,1.86,3.62,0.0,001
2010-03-15,25.38,19.91,1.68,3.36,0.0,001
2010-03-16,22.37,16.05,1.99,5.63,0.0,001
2010-03-17,20.23,15.5,2.02,5.01,0.0,001
2010-03-18,19.45,12.38,2.31,6.71,0.0,001
2010-03-19,20.4,10.16,2.46,4.11,0.0,001
2010-03-20,22.04,11.36,2.39,3.89,0.0,001
2010-03-21,23.66,12.96,2.23,2.68,0.0,001
2010-03-22,24.59,14.47,2.25,2.63,0.0,001
2010-03-23,22.63,14.01,2.29,3.14,0.0,001
2010-03-24,23.41,15.16,2.32,1.44,0.0,001
2010-03-25,23.01,15.62,2.25,4.97,0.0,001
2010-03-26,19.99,14.1,2.31,4.12,0.0,001
2010-03-27,19.4,12.51,2.1,4.06,0.03,001
2010-03-28,21.9,14.18,2.36,1.29,0.0,001
2010-03-29,23.69,15.85,2.34,1.6,0.0,001
2010-03-30,21.5,15.02,2.56,4.5,0.0,001
2010-03-31,22.14,14.03,2.67,2.62,0.0,001
2010-04-01,27.14,14.19,2.65,2.09,0.0,001
2010-04-02,31.71,18.34,2.58,1.8,0.0,001
2010-04-03,32.06,20.29,2.36,1.94,0.0,001
2010-04-04,27.92,19.03,2.25,2.58,0.0,001
2010-04-05,24.89,15.42,2.51,3.96,0.0,001
2010-04-06,23.33,15.33,2.59,4.39,0.0,001
2010-04-07,22.98,15.67,2.58,5.16,0.0,001
2010-04-08,22.18,15.58,2.58,5.12,0.0,001
2010-04-09,23.51,14.89,2.55,3.82,0.0,001
2010-04-10,27.38,16.51,2.38,1.31,0.0,001
2010-04-11,28.89,20.88,2.28,2.34,0.0,001
2010-04-12,21.96,16.13,2.52,5.2,0.0,001
2010-04-13,21.61,14.02,2.73,3.62,0.0,001
2010-04-14,24.17,15.07,2.67,3.59,0.0,001
2010-04-15,26.29,16.6,2.59,1.49,0.0,001
2010-04-16,27.75,19.7,2.66,1.27,0.0,001
2010-04-17,26.2,17.1,2.74,3.94,0.0,001
2010-04-18,28.4,18.71,2.65,2.83,0.0,001
2010-04-19,30.93,20.09,2.67,2.21,0.0,001
2010-04-20,30.21,21.3,2.6,2.27,0.0,001
2010-04-21,26.3,19.9,2.32,4.61,0.0,001
2010-04-22,21.17,16.46,2.83,5.23,0.0,001
2010-04-23,22.35,14.52,2.63,3.43,0.0,001
2010-04-24,25.86,15.1,2.83,1.88,0.0,001
2010-04-25,27.39,17.18,2.69,2.11,0.0,001
2010-04-26,27.94,18.6,2.74,3.75,0.0,001
2010-04-27,29.58,20.97,2.78,1.45,0.0,001
2010-04-28,25.15,20.0,2.56,5.05,0.0,001
2010-04-29,23.46,19.23,2.24,3.8,0.0,001
2010-04-30,23.74,18.67,1.43,3.62,0.02,001
2010-05-01,24.34,18.56,2.03,2.47,0.1,001
2010-05-02,22.67,16.79,2.9,3.94,0.0,001
2010-05-03,24.96,16.64,2.94,2.45,0.0,001
2010-05-04,26.29,16.96,2.93,2.09,0.0,001
2010-05-05,27.29,17.6,2.95,2.48,0.0,001
2010-05-06,27.71,17.68,2.96,2.91,0.0,001
2010-05-07,30.29,20.49,2.89,1.52,0.0,001
2010-05-08,32.22,23.66,2.77,1.71,0.0,001
2010-05-09,33.22,23.59,2.5,1.61,0.0,001
2010-05-10,31.59,22.82,2.48,2.78,0.0,001
2010-05-11,26.5,20.06,2.74,4.21,0.0,001
2010-05-12,27.28,19.55,2.89,3.45,0.0,001
2010-05-13,28.93,19.3,2.95,3.34,0.0,001
2010-05-14,32.65,20.67,2.96,3.47,0.0,001
2010-05-15,32.93,22.48,2.83,2.5,0.0,001
2010-05-16,37.22,22.61,2.69,1.44,0.0,001
2010-05-17,34.03,24.4,2.33,2.3,0.0,001
2010-05-18,28.53,23.42,2.48,4.9,0.0,001
2010-05-19,27.25,20.41,2.81,6.32,0.0,001
2010-05-20,27.22,18.45,2.85,5.36,0.0,001
2010-05-21,28.42,18.37,2.91,3.19,0.0,001
2010-05-22,30.71,21.15,2.82,3.09,0.0,001
2010-05-23,25.63,19.17,2.9,5.81,0.0,001
2010-05-24,26.06,17.5,2.94,4.37,0.0,001
