# SOURCE: Derived from daily_weather_openfield-research.csv and pv_microclimate_factors-research.csv
# DATE: 2026-02-23
# DESCRIPTION: Daily weather under agri-PV panels (spatial average at crop level). Open-field weather adjusted by microclimate factors for density_variant=low (GCR=30%).
# UNITS: date=YYYY-MM-DD, temp_max_c=Celsius, temp_min_c=Celsius, solar_irradiance_kwh_m2=kWh/m2/day, wind_speed_ms=m/s, precip_mm=mm/day
# LOGIC: temp_new = temp_openfield + temp_adjustment_c (-0.80C); solar_new = solar_openfield * irradiance_multiplier (0.65); wind_new = wind_openfield * wind_speed_multiplier (0.95). Precipitation passed through unchanged (no panel interception in factors).
# DEPENDENCIES: daily_weather_openfield-*.csv, pv_microclimate_factors-*.csv
# ASSUMPTIONS: Microclimate factors represent spatial average across planted area. Panel height 3m, fixed-tilt 28deg. Values from peer-reviewed agri-PV studies.
# DENSITY_VARIANT: low (ground_coverage_pct=30)
date,temp_max_c,temp_min_c,solar_irradiance_kwh_m2,wind_speed_ms,precip_mm,weather_scenario_id
2010-01-01,23.6,16.41,2.74,2.3,0.0,001
2010-01-02,23.83,17.46,2.78,2.49,0.0,001
2010-01-03,23.53,16.62,2.65,2.73,0.0,001
2010-01-04,21.33,15.96,2.74,5.26,0.0,001
2010-01-05,21.46,14.83,2.78,4.5,0.0,001
2010-01-06,24.98,15.39,2.68,2.42,0.0,001
2010-01-07,25.7,18.39,2.72,2.13,0.0,001
2010-01-08,25.82,17.71,2.84,1.93,0.0,001
2010-01-09,25.54,16.9,2.9,2.28,0.0,001
2010-01-10,26.83,18.1,2.95,1.37,0.0,001
2010-01-11,25.76,19.17,2.84,1.74,0.0,001
2010-01-12,23.06,17.52,2.62,1.72,0.0,001
2010-01-13,21.12,16.42,1.72,3.52,0.0,001
2010-01-14,21.37,15.86,2.8,3.27,0.0,001
2010-01-15,21.41,14.79,2.87,3.02,0.0,001
2010-01-16,23.81,17.73,2.51,2.17,0.0,001
2010-01-17,24.26,18.74,2.07,4.08,1.72,001
2010-01-18,20.98,14.68,2.27,7.35,6.53,001
2010-01-19,18.46,12.62,2.46,4.15,0.0,001
2010-01-20,20.06,13.89,2.1,4.86,0.01,001
2010-01-21,18.19,12.9,2.83,4.19,0.0,001
2010-01-22,19.28,14.37,2.94,2.38,0.0,001
2010-01-23,22.48,15.26,3.0,3.08,0.0,001
2010-01-24,20.35,13.4,2.91,6.35,0.0,001
2010-01-25,17.0,11.76,2.96,7.23,0.0,001
2010-01-26,17.4,10.19,3.04,4.92,0.0,001
2010-01-27,19.97,13.88,2.54,1.76,0.0,001
2010-01-28,22.67,15.87,3.16,1.42,0.0,001
2010-01-29,23.94,15.66,3.06,3.24,0.0,001
2010-01-30,23.82,17.16,2.4,6.2,0.0,001
2010-01-31,24.48,18.02,1.8,2.64,0.21,001
2010-02-01,22.64,16.12,3.04,5.23,0.0,001
2010-02-02,21.73,13.53,3.19,6.05,0.0,001
2010-02-03,17.87,12.84,3.1,8.4,0.0,001
2010-02-04,15.8,10.62,3.21,8.73,0.0,001
2010-02-05,15.55,9.04,3.06,7.09,0.0,001
2010-02-06,16.5,9.14,3.17,5.34,0.0,001
2010-02-07,18.15,11.26,3.39,2.74,0.0,001
2010-02-08,21.48,13.81,3.17,2.76,0.0,001
2010-02-09,23.26,13.05,3.24,1.8,0.0,001
2010-02-10,22.44,15.66,3.33,2.24,0.0,001
2010-02-11,23.25,16.28,3.19,3.54,0.0,001
2010-02-12,25.18,18.08,3.41,1.9,0.0,001
2010-02-13,27.2,18.78,3.39,2.25,0.0,001
2010-02-14,29.04,19.49,2.84,1.8,0.0,001
2010-02-15,27.5,22.2,2.85,2.84,0.0,001
2010-02-16,28.81,22.17,3.1,1.21,0.0,001
2010-02-17,28.31,21.52,3.39,2.53,0.0,001
2010-02-18,28.86,21.25,3.44,2.33,0.0,001
2010-02-19,27.6,19.52,3.58,4.56,0.0,001
2010-02-20,27.26,19.15,3.65,3.14,0.0,001
2010-02-21,28.2,20.51,3.73,2.47,0.0,001
2010-02-22,23.44,18.07,3.42,6.87,0.0,001
2010-02-23,23.03,16.72,3.54,6.74,0.01,001
2010-02-24,23.25,16.11,3.38,4.85,0.0,001
2010-02-25,24.03,16.44,2.72,4.46,0.15,001
2010-02-26,19.33,15.09,2.83,7.45,0.09,001
2010-02-27,20.61,14.31,3.73,4.3,0.0,001
2010-02-28,24.02,14.94,3.06,6.16,0.0,001
2010-03-01,21.17,13.06,3.76,6.87,0.02,001
2010-03-02,24.08,16.26,3.87,3.91,0.0,001
2010-03-03,25.04,16.82,3.61,3.65,0.0,001
2010-03-04,24.28,14.76,4.07,6.12,0.0,001
2010-03-05,26.56,18.89,3.63,2.95,0.0,001
2010-03-06,25.86,19.34,3.99,3.47,0.0,001
2010-03-07,26.14,17.92,4.09,4.27,0.0,001
2010-03-08,28.84,20.65,4.02,2.77,0.0,001
2010-03-09,28.25,21.36,3.64,5.07,0.0,001
2010-03-10,28.15,21.55,3.93,3.99,0.0,001
2010-03-11,29.32,22.38,4.15,3.0,0.0,001
2010-03-12,29.47,21.87,4.21,2.98,0.0,001
2010-03-13,27.63,20.43,4.15,4.71,0.0,001
2010-03-14,26.63,21.51,3.46,5.73,0.0,001
2010-03-15,27.08,21.61,3.13,5.32,0.0,001
2010-03-16,24.07,17.75,3.7,8.92,0.0,001
2010-03-17,21.93,17.2,3.75,7.93,0.0,001
2010-03-18,21.15,14.08,4.28,10.62,0.0,001
2010-03-19,22.1,11.86,4.56,6.51,0.0,001
2010-03-20,23.74,13.06,4.43,6.17,0.0,001
2010-03-21,25.36,14.66,4.15,4.24,0.0,001
2010-03-22,26.29,16.17,4.18,4.16,0.0,001
2010-03-23,24.33,15.71,4.26,4.98,0.0,001
2010-03-24,25.11,16.86,4.31,2.28,0.0,001
2010-03-25,24.71,17.32,4.17,7.88,0.0,001
2010-03-26,21.69,15.8,4.28,6.52,0.0,001
2010-03-27,21.1,14.21,3.89,6.43,0.03,001
2010-03-28,23.6,15.88,4.37,2.04,0.0,001
2010-03-29,25.39,17.55,4.36,2.54,0.0,001
2010-03-30,23.2,16.72,4.76,7.12,0.0,001
2010-03-31,23.84,15.73,4.96,4.14,0.0,001
2010-04-01,28.84,15.89,4.93,3.31,0.0,001
2010-04-02,33.41,20.04,4.78,2.85,0.0,001
2010-04-03,33.76,21.99,4.38,3.08,0.0,001
2010-04-04,29.62,20.73,4.17,4.08,0.0,001
2010-04-05,26.59,17.12,4.67,6.27,0.0,001
2010-04-06,25.03,17.03,4.82,6.94,0.0,001
2010-04-07,24.68,17.37,4.79,8.17,0.0,001
2010-04-08,23.88,17.28,4.78,8.11,0.0,001
2010-04-09,25.21,16.59,4.74,6.05,0.0,001
2010-04-10,29.08,18.21,4.41,2.07,0.0,001
2010-04-11,30.59,22.58,4.24,3.7,0.0,001
2010-04-12,23.66,17.83,4.68,8.23,0.0,001
2010-04-13,23.31,15.72,5.06,5.74,0.0,001
2010-04-14,25.87,16.77,4.97,5.68,0.0,001
2010-04-15,27.99,18.3,4.82,2.37,0.0,001
2010-04-16,29.45,21.4,4.94,2.01,0.0,001
2010-04-17,27.9,18.8,5.1,6.23,0.0,001
2010-04-18,30.1,20.41,4.91,4.48,0.0,001
2010-04-19,32.63,21.79,4.95,3.51,0.0,001
2010-04-20,31.91,23.0,4.82,3.6,0.0,001
2010-04-21,28.0,21.6,4.31,7.31,0.0,001
2010-04-22,22.87,18.16,5.25,8.28,0.0,001
2010-04-23,24.05,16.22,4.88,5.43,0.0,001
2010-04-24,27.56,16.8,5.26,2.97,0.0,001
2010-04-25,29.09,18.88,4.99,3.33,0.0,001
2010-04-26,29.64,20.3,5.09,5.94,0.0,001
2010-04-27,31.28,22.67,5.16,2.29,0.0,001
2010-04-28,26.85,21.7,4.76,8.0,0.0,001
2010-04-29,25.16,20.93,4.16,6.02,0.0,001
2010-04-30,25.44,20.37,2.65,5.74,0.02,001
2010-05-01,26.04,20.26,3.77,3.91,0.1,001
2010-05-02,24.37,18.49,5.4,6.23,0.0,001
2010-05-03,26.66,18.34,5.47,3.89,0.0,001
2010-05-04,27.99,18.66,5.43,3.31,0.0,001
2010-05-05,28.99,19.3,5.48,3.93,0.0,001
2010-05-06,29.41,19.38,5.5,4.61,0.0,001
2010-05-07,31.99,22.19,5.36,2.4,0.0,001
2010-05-08,33.92,25.36,5.14,2.71,0.0,001
2010-05-09,34.92,25.29,4.64,2.56,0.0,001
2010-05-10,33.29,24.52,4.61,4.4,0.0,001
2010-05-11,28.2,21.76,5.1,6.67,0.0,001
2010-05-12,28.98,21.25,5.38,5.46,0.0,001
2010-05-13,30.63,21.0,5.47,5.28,0.0,001
2010-05-14,34.35,22.37,5.49,5.5,0.0,001
2010-05-15,34.63,24.18,5.26,3.95,0.0,001
2010-05-16,38.92,24.31,4.99,2.28,0.0,001
2010-05-17,35.73,26.1,4.33,3.64,0.0,001
2010-05-18,30.23,25.12,4.62,7.76,0.0,001
2010-05-19,28.95,22.11,5.22,10.0,0.0,001
2010-05-20,28.92,20.15,5.28,8.48,0.0,001
2010-05-21,30.12,20.07,5.41,5.05,0.0,001
