# SOURCE: Derived from daily_weather_openfield-research.csv and pv_microclimate_factors-research.csv
# DATE: 2026-02-23
# DESCRIPTION: Daily weather under agri-PV panels (spatial average at crop level). Open-field weather adjusted by microclimate factors for density_variant=medium (GCR=50%).
# UNITS: date=YYYY-MM-DD, temp_max_c=Celsius, temp_min_c=Celsius, solar_irradiance_kwh_m2=kWh/m2/day, wind_speed_ms=m/s, precip_mm=mm/day
# LOGIC: temp_new = temp_openfield + temp_adjustment_c (-1.50C); solar_new = solar_openfield * irradiance_multiplier (0.50); wind_new = wind_openfield * wind_speed_multiplier (0.85). Precipitation passed through unchanged (no panel interception in factors).
# DEPENDENCIES: daily_weather_openfield-*.csv, pv_microclimate_factors-*.csv
# ASSUMPTIONS: Microclimate factors represent spatial average across planted area. Panel height 3m, fixed-tilt 28deg. Values from peer-reviewed agri-PV studies.
# DENSITY_VARIANT: medium (ground_coverage_pct=50)
date,temp_max_c,temp_min_c,solar_irradiance_kwh_m2,wind_speed_ms,precip_mm,weather_scenario_id
2010-01-01,22.9,15.71,2.11,2.06,0.0,001
2010-01-02,23.13,16.76,2.13,2.23,0.0,001
2010-01-03,22.83,15.92,2.04,2.44,0.0,001
2010-01-04,20.63,15.26,2.11,4.71,0.0,001
2010-01-05,20.76,14.13,2.14,4.03,0.0,001
2010-01-06,24.28,14.69,2.06,2.17,0.0,001
2010-01-07,25.0,17.69,2.09,1.9,0.0,001
2010-01-08,25.12,17.01,2.18,1.73,0.0,001
2010-01-09,24.84,16.2,2.23,2.04,0.0,001
2010-01-10,26.13,17.4,2.27,1.22,0.0,001
2010-01-11,25.06,18.47,2.18,1.56,0.0,001
2010-01-12,22.36,16.82,2.02,1.54,0.0,001
2010-01-13,20.42,15.72,1.32,3.15,0.0,001
2010-01-14,20.67,15.16,2.15,2.92,0.0,001
2010-01-15,20.71,14.09,2.21,2.7,0.0,001
2010-01-16,23.11,17.03,1.93,1.94,0.0,001
2010-01-17,23.56,18.04,1.59,3.65,1.72,001
2010-01-18,20.28,13.98,1.74,6.58,6.53,001
2010-01-19,17.76,11.92,1.9,3.71,0.0,001
2010-01-20,19.36,13.19,1.62,4.35,0.01,001
2010-01-21,17.49,12.2,2.18,3.75,0.0,001
2010-01-22,18.58,13.67,2.26,2.13,0.0,001
2010-01-23,21.78,14.56,2.31,2.75,0.0,001
2010-01-24,19.65,12.7,2.24,5.68,0.0,001
2010-01-25,16.3,11.06,2.28,6.47,0.0,001
2010-01-26,16.7,9.49,2.34,4.4,0.0,001
2010-01-27,19.27,13.18,1.95,1.57,0.0,001
2010-01-28,21.97,15.17,2.43,1.27,0.0,001
2010-01-29,23.24,14.96,2.36,2.9,0.0,001
2010-01-30,23.12,16.46,1.84,5.55,0.0,001
2010-01-31,23.78,17.32,1.38,2.36,0.21,001
2010-02-01,21.94,15.42,2.34,4.68,0.0,001
