# SOURCE: Computed from baseline yields adjusted for weather stress
# DATE: 2026-02-06
# DESCRIPTION: Crop yields for potato in Sinai Red Sea region under various planting dates
# UNITS:
#   - weather_scenario_id: Scenario identifier (text)
#   - planting_date: Date crop was planted (YYYY-MM-DD)
#   - harvest_date: Date crop was harvested (YYYY-MM-DD)
#   - yield_kg_per_ha: Total harvest yield (kg/ha)
#   - season_length_actual_days: Actual growing season duration (days)
#   - weather_stress_factor: Yield multiplier from weather conditions (0.85-1.15)
#   - water_stress_factor: Yield multiplier from water availability (1.0 = full irrigation)
# LOGIC: yield = baseline_yield x weather_stress x water_stress; weather_stress based on extreme heat days and temperature averages
# DEPENDENCIES: daily_weather_scenario_001-toy.csv, crop_coefficients-toy.csv
# ASSUMPTIONS: Full irrigation (water_stress=1.0), no pest/disease losses, professional farm management
weather_scenario_id,planting_date,harvest_date,yield_kg_per_ha,season_length_actual_days,weather_stress_factor,water_stress_factor
001,2010-01-15,2010-05-15,37073.0,120,1.059,1.0
001,2011-01-15,2011-05-15,37014.0,120,1.058,1.0
001,2012-01-15,2012-05-14,35791.0,120,1.023,1.0
001,2013-01-15,2013-05-15,35595.0,120,1.017,1.0
001,2014-01-15,2014-05-15,36943.0,120,1.056,1.0
001,2015-01-15,2015-05-15,36876.0,120,1.054,1.0
001,2016-01-15,2016-05-14,36067.0,120,1.03,1.0
001,2017-01-15,2017-05-15,36430.0,120,1.041,1.0
001,2018-01-15,2018-05-15,37689.0,120,1.077,1.0
001,2019-01-15,2019-05-15,36991.0,120,1.057,1.0
001,2020-01-15,2020-05-14,37774.0,120,1.079,1.0
001,2021-01-15,2021-05-15,33996.0,120,0.971,1.0
001,2022-01-15,2022-05-15,36120.0,120,1.032,1.0
001,2023-01-15,2023-05-15,33997.0,120,0.971,1.0
001,2024-01-15,2024-05-14,34859.0,120,0.996,1.0
001,2010-09-15,2011-01-13,35876.0,120,1.025,1.0
001,2011-09-15,2012-01-13,37390.0,120,1.068,1.0
001,2012-09-15,2013-01-13,35901.0,120,1.026,1.0
001,2013-09-15,2014-01-13,35111.0,120,1.003,1.0
001,2014-09-15,2015-01-13,36284.0,120,1.037,1.0
001,2015-09-15,2016-01-13,36610.0,120,1.046,1.0
001,2016-09-15,2017-01-13,35262.0,120,1.007,1.0
001,2017-09-15,2018-01-13,35563.0,120,1.016,1.0
001,2018-09-15,2019-01-13,36924.0,120,1.055,1.0
001,2019-09-15,2020-01-13,36208.0,120,1.035,1.0
001,2020-09-15,2021-01-13,36090.0,120,1.031,1.0
001,2021-09-15,2022-01-13,34595.0,120,0.988,1.0
001,2022-09-15,2023-01-13,36456.0,120,1.042,1.0
001,2023-09-15,2024-01-13,35772.0,120,1.022,1.0
001,2010-11-15,2011-03-15,35537.0,120,1.015,1.0
001,2011-11-15,2012-03-14,34147.0,120,0.976,1.0
001,2012-11-15,2013-03-15,35837.0,120,1.024,1.0
001,2013-11-15,2014-03-15,36338.0,120,1.038,1.0
001,2014-11-15,2015-03-15,34550.0,120,0.987,1.0
001,2015-11-15,2016-03-14,35674.0,120,1.019,1.0
001,2016-11-15,2017-03-15,35795.0,120,1.023,1.0
001,2017-11-15,2018-03-15,34254.0,120,0.979,1.0
001,2018-11-15,2019-03-15,35335.0,120,1.01,1.0
001,2019-11-15,2020-03-14,35817.0,120,1.023,1.0
001,2020-11-15,2021-03-15,35001.0,120,1.0,1.0
001,2021-11-15,2022-03-15,33970.0,120,0.971,1.0
001,2022-11-15,2023-03-15,34609.0,120,0.989,1.0
001,2023-11-15,2024-03-14,34915.0,120,0.998,1.0
