# SOURCE: Computed from baseline yields adjusted for weather stress
# DATE: 2026-02-06
# DESCRIPTION: Crop yields for tomato in Sinai Red Sea region under various planting dates
# UNITS:
#   - weather_scenario_id: Scenario identifier (text)
#   - planting_date: Date crop was planted (YYYY-MM-DD)
#   - harvest_date: Date crop was harvested (YYYY-MM-DD)
#   - yield_kg_per_ha: Total harvest yield (kg/ha)
#   - season_length_actual_days: Actual growing season duration (days)
#   - weather_stress_factor: Yield multiplier from weather conditions (0.85-1.15)
#   - water_stress_factor: Yield multiplier from water availability (1.0 = full irrigation)
# LOGIC: yield = baseline_yield x weather_stress x water_stress; weather_stress based on extreme heat days and temperature averages
# DEPENDENCIES: daily_weather_scenario_001-toy.csv, crop_coefficients-toy.csv
# ASSUMPTIONS: Full irrigation (water_stress=1.0), no pest/disease losses, professional farm management
weather_scenario_id,planting_date,harvest_date,yield_kg_per_ha,season_length_actual_days,weather_stress_factor,water_stress_factor
001,2010-02-15,2010-06-30,65806.0,135,0.94,1.0
001,2011-02-15,2011-06-30,66739.0,135,0.953,1.0
001,2012-02-15,2012-06-29,65578.0,135,0.937,1.0
001,2013-02-15,2013-06-30,62167.0,135,0.888,1.0
001,2014-02-15,2014-06-30,64526.0,135,0.922,1.0
001,2015-02-15,2015-06-30,70302.0,135,1.004,1.0
001,2016-02-15,2016-06-29,62629.0,135,0.895,1.0
001,2017-02-15,2017-06-30,64734.0,135,0.925,1.0
001,2018-02-15,2018-06-30,66006.0,135,0.943,1.0
001,2019-02-15,2019-06-30,64632.0,135,0.923,1.0
001,2020-02-15,2020-06-29,69598.0,135,0.994,1.0
001,2021-02-15,2021-06-30,72469.0,135,1.035,1.0
001,2022-02-15,2022-06-30,69148.0,135,0.988,1.0
001,2023-02-15,2023-06-30,74209.0,135,1.06,1.0
001,2024-02-15,2024-06-29,73807.0,135,1.054,1.0
001,2010-04-01,2010-08-14,60951.0,135,0.871,1.0
001,2011-04-01,2011-08-14,62511.0,135,0.893,1.0
001,2012-04-01,2012-08-14,59942.0,135,0.856,1.0
001,2013-04-01,2013-08-14,60764.0,135,0.868,1.0
001,2014-04-01,2014-08-14,61118.0,135,0.873,1.0
001,2015-04-01,2015-08-14,62293.0,135,0.89,1.0
001,2016-04-01,2016-08-14,59987.0,135,0.857,1.0
001,2017-04-01,2017-08-14,59525.0,135,0.85,1.0
001,2018-04-01,2018-08-14,59500.0,135,0.85,1.0
001,2019-04-01,2019-08-14,59666.0,135,0.852,1.0
001,2020-04-01,2020-08-14,59821.0,135,0.855,1.0
001,2021-04-01,2021-08-14,62157.0,135,0.888,1.0
001,2022-04-01,2022-08-14,62597.0,135,0.894,1.0
001,2023-04-01,2023-08-14,68125.0,135,0.973,1.0
001,2024-04-01,2024-08-14,71289.0,135,1.018,1.0
001,2010-08-01,2010-12-14,66457.0,135,0.949,1.0
001,2011-08-01,2011-12-14,65508.0,135,0.936,1.0
001,2012-08-01,2012-12-14,64692.0,135,0.924,1.0
001,2013-08-01,2013-12-14,61319.0,135,0.876,1.0
001,2014-08-01,2014-12-14,66063.0,135,0.944,1.0
001,2015-08-01,2015-12-14,65280.0,135,0.933,1.0
001,2016-08-01,2016-12-14,61056.0,135,0.872,1.0
001,2017-08-01,2017-12-14,61398.0,135,0.877,1.0
001,2018-08-01,2018-12-14,65176.0,135,0.931,1.0
001,2019-08-01,2019-12-14,66646.0,135,0.952,1.0
001,2020-08-01,2020-12-14,69345.0,135,0.991,1.0
001,2021-08-01,2021-12-14,70331.0,135,1.005,1.0
001,2022-08-01,2022-12-14,64798.0,135,0.926,1.0
001,2023-08-01,2023-12-14,73540.0,135,1.051,1.0
001,2024-08-01,2024-12-14,72918.0,135,1.042,1.0
001,2010-11-01,2011-03-16,70789.0,135,1.011,1.0
001,2011-11-01,2012-03-15,69555.0,135,0.994,1.0
001,2012-11-01,2013-03-16,72937.0,135,1.042,1.0
001,2013-11-01,2014-03-16,73108.0,135,1.044,1.0
001,2014-11-01,2015-03-16,70985.0,135,1.014,1.0
001,2015-11-01,2016-03-15,74279.0,135,1.061,1.0
001,2016-11-01,2017-03-16,75238.0,135,1.075,1.0
001,2017-11-01,2018-03-16,73112.0,135,1.044,1.0
001,2018-11-01,2019-03-16,70203.0,135,1.003,1.0
001,2019-11-01,2020-03-15,70442.0,135,1.006,1.0
001,2020-11-01,2021-03-16,70465.0,135,1.007,1.0
001,2021-11-01,2022-03-16,68047.0,135,0.972,1.0
001,2022-11-01,2023-03-16,70518.0,135,1.007,1.0
001,2023-11-01,2024-03-15,69893.0,135,0.998,1.0
