# SOURCE: NASA POWER API (https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX,T2M_MIN,ALLSKY_SFC_SW_DWN,WS10M,PRECTOTCORR&community=AG&longitude=34&latitude=28)
# DATE: 2026-02-02
# DESCRIPTION: Daily weather data for Sinai Peninsula, Red Sea coast (~28N, 34E) - Research data from NASA POWER reanalysis
# UNITS: date=YYYY-MM-DD, temp_max_c=Celsius, temp_min_c=Celsius, solar_irradiance_kwh_m2=kWh/m2/day, wind_speed_ms=m/s, precip_mm=mm/day
# LOGIC: Data retrieved from NASA POWER API which provides MERRA-2 reanalysis data. T2M_MAX/T2M_MIN are 2-meter air temperatures, ALLSKY_SFC_SW_DWN is surface solar irradiance converted from MJ/m2/day to kWh/m2/day (divided by 3.6), WS10M is 10-meter wind speed, PRECTOTCORR is bias-corrected precipitation.
# DEPENDENCIES: None (standalone dataset from NASA POWER)
# ASSUMPTIONS: MERRA-2 reanalysis grid cell represents general Sinai Peninsula coastal conditions. Location centered at 28N, 34E with elevation ~154m from MERRA-2 terrain.
# DATA_QUALITY: Complete dataset with no missing values (-999). NASA POWER data resolution is 0.5x0.625 degree grid cells. Data validated against expected BWh climate ranges.
# COMPARISON_TO_TOY: Research data shows LOWER max temperatures (mean 28.5C vs 32.5C toy), HIGHER solar irradiance (mean 6.21 vs 5.51 kWh/m2/day), HIGHER wind speeds (mean 5.24 vs 4.73 m/s), and LOWER annual precipitation (14.1 vs 20.7 mm/year). Research seasonal ranges: Summer max 34-41C, Winter max 18-30C match expected BWh climate better than toy data extremes.
date,temp_max_c,temp_min_c,solar_irradiance_kwh_m2,wind_speed_ms,precip_mm,weather_scenario_id
2010-01-01,24.4,17.21,4.22,2.42,0.0,001
2010-01-02,24.63,18.26,4.27,2.62,0.0,001
2010-01-03,24.33,17.42,4.08,2.87,0.0,001
2010-01-04,22.13,16.76,4.22,5.54,0.0,001
2010-01-05,22.26,15.63,4.28,4.74,0.0,001
2010-01-06,25.78,16.19,4.12,2.55,0.0,001
2010-01-07,26.5,19.19,4.18,2.24,0.0,001
2010-01-08,26.62,18.51,4.37,2.03,0.0,001
2010-01-09,26.34,17.7,4.46,2.4,0.0,001
2010-01-10,27.63,18.9,4.54,1.44,0.0,001
2010-01-11,26.56,19.97,4.37,1.83,0.0,001
2010-01-12,23.86,18.32,4.03,1.81,0.0,001
2010-01-13,21.92,17.22,2.64,3.71,0.0,001
2010-01-14,22.17,16.66,4.31,3.44,0.0,001
2010-01-15,22.21,15.59,4.42,3.18,0.0,001
2010-01-16,24.61,18.53,3.86,2.28,0.0,001
2010-01-17,25.06,19.54,3.18,4.29,1.72,001
2010-01-18,21.78,15.48,3.49,7.74,6.53,001
2010-01-19,19.26,13.42,3.79,4.37,0.0,001
2010-01-20,20.86,14.69,3.23,5.12,0.01,001
2010-01-21,18.99,13.7,4.36,4.41,0.0,001
2010-01-22,20.08,15.17,4.52,2.51,0.0,001
2010-01-23,23.28,16.06,4.61,3.24,0.0,001
2010-01-24,21.15,14.2,4.47,6.68,0.0,001
2010-01-25,17.8,12.56,4.56,7.61,0.0,001
2010-01-26,18.2,10.99,4.68,5.18,0.0,001
2010-01-27,20.77,14.68,3.9,1.85,0.0,001
2010-01-28,23.47,16.67,4.86,1.49,0.0,001
2010-01-29,24.74,16.46,4.71,3.41,0.0,001
