# SOURCE: Synthetic data derived from historical_grid_electricity_prices-toy.csv with commercial/industrial markup
# DATE: 2026-02-06
# DESCRIPTION: Monthly electricity prices for commercial/industrial users in Egypt (unsubsidized full-cost rates)
# UNITS: usd_per_kwh (USD per kilowatt-hour), egp_per_kwh_original (Egyptian Pounds)
# LOGIC: Agricultural subsidized rates increased by 16.5% to reflect commercial/industrial pricing without subsidy
# DEPENDENCIES: Derived from historical_grid_electricity_prices-toy.csv (subsidized agricultural rates)
# ASSUMPTIONS: Commercial rates are consistently 16.5% higher than agricultural across all periods
# GENERATION_METHOD: Applied 1.165x markup to all subsidized agricultural rates
# CURRENCY: Primary USD, original EGP documented with exchange rates
# EXCHANGE_RATE_SOURCE: Central Bank of Egypt historical averages (from base toy dataset)
# COMPARISON_TO_SUBSIDIZED: Unsubsidized rates are 1.165x subsidized rates, representing removal of agricultural subsidy
date,usd_per_kwh_offpeak,usd_per_kwh_peak,usd_per_kwh_avg_daily,rate_schedule,egp_per_kwh_original,usd_egp_exchange_rate
2015-01-01,0.0564,0.0763,0.0664,standard,0.5067,7.63
2015-02-01,0.0577,0.0781,0.0679,standard,0.5178,7.63
2015-03-01,0.0607,0.0821,0.0714,standard,0.5451,7.63
2015-04-01,0.0649,0.0877,0.0763,standard,0.5823,7.63
2015-05-01,0.0651,0.0881,0.0765,standard,0.5841,7.63
2015-06-01,0.065,0.088,0.0765,summer,0.5837,7.63
2015-07-01,0.0651,0.0881,0.0765,summer,0.5841,7.63
2015-08-01,0.0635,0.0859,0.0747,summer,0.5699,7.63
2015-09-01,0.0633,0.0856,0.0744,summer,0.5678,7.63
2015-10-01,0.0564,0.0763,0.0664,standard,0.5067,7.63
2015-11-01,0.0596,0.0807,0.0701,standard,0.5354,7.63
2015-12-01,0.0606,0.0819,0.0712,standard,0.5434,7.63
2016-01-01,0.0587,0.0795,0.0691,standard,0.629,9.1
2016-02-01,0.063,0.0854,0.0742,standard,0.6754,9.1
2016-03-01,0.064,0.0864,0.0751,standard,0.6842,9.1
2016-04-01,0.0698,0.0944,0.0821,standard,0.7469,9.1
2016-05-01,0.0711,0.0961,0.0835,standard,0.7604,9.1
2016-06-01,0.0677,0.0916,0.0796,summer,0.7244,9.1
2016-07-01,0.0683,0.0923,0.0803,summer,0.7306,9.1
2016-08-01,0.0676,0.0915,0.0795,summer,0.7232,9.1
2016-09-01,0.0655,0.0887,0.0771,summer,0.7013,9.1
2016-10-01,0.0655,0.0885,0.077,standard,0.7009,9.1
2016-11-01,0.0628,0.0849,0.0739,standard,0.6716,9.1
2016-12-01,0.0619,0.0838,0.0728,standard,0.6628,9.1
2017-01-01,0.0661,0.0894,0.0777,standard,1.3822,17.78
2017-02-01,0.0677,0.0916,0.0797,standard,1.4162,17.78
2017-03-01,0.0669,0.0904,0.0786,standard,1.3983,17.78
2017-04-01,0.0725,0.0981,0.0853,standard,1.5159,17.78
2017-05-01,0.0708,0.0959,0.0833,standard,1.4815,17.78
2017-06-01,0.0736,0.0996,0.0866,summer,1.5392,17.78
2017-07-01,0.0747,0.1011,0.088,summer,1.563,17.78
2017-08-01,0.0719,0.0973,0.0846,summer,1.5047,17.78
2017-09-01,0.0715,0.0968,0.0842,summer,1.4969,17.78
2017-10-01,0.0682,0.0922,0.0802,standard,1.4246,17.78
2017-11-01,0.0678,0.0917,0.0798,standard,1.4184,17.78
2017-12-01,0.0677,0.0916,0.0796,standard,1.415,17.78
2018-01-01,0.0673,0.0911,0.0792,standard,1.4124,17.83
2018-02-01,0.0701,0.0949,0.0826,standard,1.4717,17.83
2018-03-01,0.0693,0.0938,0.0816,standard,1.454,17.83
2018-04-01,0.0737,0.0998,0.0868,standard,1.5474,17.83
2018-05-01,0.076,0.1028,0.0894,standard,1.5926,17.83
2018-06-01,0.0769,0.1039,0.0904,summer,1.6118,17.83
2018-07-01,0.0768,0.1038,0.0903,summer,1.6098,17.83
2018-08-01,0.0762,0.1031,0.0896,summer,1.5977,17.83
2018-09-01,0.0758,0.1026,0.0892,summer,1.5915,17.83
2018-10-01,0.0751,0.1017,0.0884,standard,1.5772,17.83
2018-11-01,0.0708,0.0958,0.0833,standard,1.4855,17.83
2018-12-01,0.0694,0.094,0.0817,standard,1.4568,17.83
2019-01-01,0.0706,0.0955,0.0831,standard,1.3749,16.55
2019-02-01,0.0735,0.0995,0.0866,standard,1.4318,16.55
2019-03-01,0.0761,0.103,0.0895,standard,1.4813,16.55
2019-04-01,0.0774,0.1046,0.091,standard,1.5059,16.55
2019-05-01,0.0778,0.1053,0.0916,standard,1.5148,16.55
2019-06-01,0.0807,0.1092,0.0949,summer,1.5716,16.55
2019-07-01,0.0821,0.1111,0.0966,summer,1.599,16.55
2019-08-01,0.082,0.111,0.0966,summer,1.5974,16.55
2019-09-01,0.0777,0.1051,0.0913,summer,1.5122,16.55
2019-10-01,0.0764,0.1033,0.0898,standard,1.4875,16.55
2019-11-01,0.0741,0.1003,0.0871,standard,1.4431,16.55
2019-12-01,0.076,0.1028,0.0894,standard,1.479,16.55
2020-01-01,0.0749,0.1014,0.0882,standard,1.3896,15.76
2020-02-01,0.08,0.1083,0.0942,standard,1.4846,15.76
2020-03-01,0.0768,0.1038,0.0903,standard,1.4228,15.76
2020-04-01,0.0826,0.1117,0.0972,standard,1.5309,15.76
2020-05-01,0.0861,0.1165,0.1012,standard,1.5963,15.76
2020-06-01,0.0867,0.1173,0.1021,summer,1.6078,15.76
2020-07-01,0.093,0.1258,0.1094,summer,1.7244,15.76
2020-08-01,0.0857,0.116,0.1009,summer,1.5907,15.76
2020-09-01,0.0806,0.1092,0.0949,summer,1.4959,15.76
2020-10-01,0.0812,0.1099,0.0955,standard,1.5058,15.76
2020-11-01,0.076,0.1028,0.0894,standard,1.4086,15.76
2020-12-01,0.0798,0.108,0.0939,standard,1.48,15.76
2021-01-01,0.0789,0.1067,0.0929,standard,1.4536,15.66
2021-02-01,0.085,0.1151,0.1001,standard,1.5675,15.66
2021-03-01,0.0839,0.1135,0.0987,standard,1.5453,15.66
2021-04-01,0.0875,0.1184,0.1029,standard,1.6113,15.66
2021-05-01,0.088,0.1191,0.1036,standard,1.6211,15.66
2021-06-01,0.0954,0.1291,0.1122,summer,1.7571,15.66
2021-07-01,0.0896,0.1212,0.1053,summer,1.65,15.66
2021-08-01,0.0941,0.1273,0.1107,summer,1.7338,15.66
2021-09-01,0.0895,0.121,0.1053,summer,1.6491,15.66
2021-10-01,0.0868,0.1174,0.1021,standard,1.5986,15.66
2021-11-01,0.0852,0.1152,0.1002,standard,1.5695,15.66
2021-12-01,0.085,0.115,0.1,standard,1.5659,15.66
2022-01-01,0.08,0.1082,0.0941,standard,1.8037,19.16
2022-02-01,0.0862,0.1166,0.1014,standard,1.9423,19.16
2022-03-01,0.0917,0.1241,0.1079,standard,2.068,19.16
2022-04-01,0.0919,0.1244,0.1081,standard,2.0723,19.16
2022-05-01,0.0901,0.1219,0.106,standard,2.0312,19.16
2022-06-01,0.0949,0.1284,0.1116,summer,2.1391,19.16
2022-07-01,0.0996,0.1348,0.1172,summer,2.2462,19.16
2022-08-01,0.097,0.1312,0.1142,summer,2.1865,19.16
2022-09-01,0.0915,0.1236,0.1075,summer,2.0602,19.16
2022-10-01,0.0922,0.1247,0.1085,standard,2.0778,19.16
2022-11-01,0.0873,0.1181,0.1028,standard,1.9679,19.16
2022-12-01,0.0835,0.113,0.0982,standard,1.8819,19.16
2023-01-01,0.0864,0.117,0.1017,standard,3.1385,30.85
2023-02-01,0.0953,0.1288,0.1121,standard,3.457,30.85
2023-03-01,0.0929,0.1257,0.1093,standard,3.3716,30.85
2023-04-01,0.0956,0.1294,0.1125,standard,3.4719,30.85
2023-05-01,0.0975,0.132,0.1148,standard,3.541,30.85
2023-06-01,0.1051,0.1422,0.1237,summer,3.8156,30.85
2023-07-01,0.104,0.1407,0.1223,summer,3.7753,30.85
2023-08-01,0.1043,0.1411,0.1227,summer,3.7858,30.85
2023-09-01,0.0953,0.129,0.1121,summer,3.459,30.85
2023-10-01,0.0946,0.1279,0.1113,standard,3.4313,30.85
2023-11-01,0.0881,0.1192,0.1037,standard,3.197,30.85
2023-12-01,0.096,0.1299,0.113,standard,3.4859,30.85
2024-01-01,0.0897,0.1214,0.1055,standard,5.1181,48.5
2024-02-01,0.0956,0.1294,0.1125,standard,5.46,48.5
2024-03-01,0.0946,0.128,0.1114,standard,5.4,48.5
2024-04-01,0.0989,0.1337,0.1164,standard,5.6423,48.5
2024-05-01,0.1002,0.1356,0.1179,standard,5.7198,48.5
2024-06-01,0.1019,0.1379,0.12,summer,5.8177,48.5
2024-07-01,0.1019,0.1378,0.1199,summer,5.8132,48.5
2024-08-01,0.1004,0.1358,0.1181,summer,5.7297,48.5
2024-09-01,0.1024,0.1386,0.1206,summer,5.846,48.5
2024-10-01,0.0946,0.1279,0.1113,standard,5.3953,48.5
2024-11-01,0.0969,0.1312,0.1141,standard,5.531,48.5
2024-12-01,0.0995,0.1346,0.117,standard,5.6752,48.5
