# SOURCE: Synthetic data derived from raw potato prices
# DATE: 2026-02-18
# DESCRIPTION: Monthly wholesale canned potato prices (USD/kg)
# UNITS: usd_per_kg (USD per kilogram, wholesale)
# LOGIC: Base crop price x value-add multiplier (1.5-2.0x) with stochastic spread
# DEPENDENCIES: historical_potato_prices-toy.csv
# ASSUMPTIONS: Processing adds value through preservation, convenience, reduced spoilage
# GENERATION_METHOD: Multiplicative from raw prices with processing cost variation
# CURRENCY: All prices in USD
date,usd_per_kg,season,market_condition
2015-01-01,0.9162,winter,high
2015-02-01,0.7541,winter,low
2015-03-01,0.7959,spring,low
2015-04-01,0.8155,spring,low
2015-05-01,0.7887,spring,low
2015-06-01,0.8891,summer,medium
2015-07-01,0.8082,summer,low
2015-08-01,0.9608,summer,high
2015-09-01,0.673,fall,low
2015-10-01,0.7749,fall,low
2015-11-01,0.8288,fall,medium
2015-12-01,0.8965,winter,medium
2016-01-01,0.9507,winter,high
2016-02-01,0.8664,winter,medium
2016-03-01,0.9054,spring,medium
2016-04-01,0.7986,spring,low
2016-05-01,0.7963,spring,low
2016-06-01,0.8623,summer,low
2016-07-01,0.8358,summer,medium
2016-08-01,0.7681,summer,medium
2016-09-01,0.7159,fall,low
2016-10-01,0.6604,fall,low
2016-11-01,0.7911,fall,low
2016-12-01,0.6846,winter,low
2017-01-01,0.9006,winter,medium
2017-02-01,0.7823,winter,low
2017-03-01,0.7356,spring,low
2017-04-01,0.7108,spring,low
2017-05-01,0.6832,spring,low
2017-06-01,0.7411,summer,low
2017-07-01,0.8459,summer,low
2017-08-01,0.7123,summer,low
2017-09-01,0.7183,fall,low
2017-10-01,0.7086,fall,low
2017-11-01,0.7364,fall,low
2017-12-01,0.8657,winter,low
2018-01-01,0.8684,winter,high
2018-02-01,0.8314,winter,high
2018-03-01,0.869,spring,medium
2018-04-01,0.7134,spring,low
2018-05-01,0.7329,spring,low
2018-06-01,0.8977,summer,medium
2018-07-01,0.9491,summer,high
2018-08-01,0.8073,summer,low
2018-09-01,0.7812,fall,medium
2018-10-01,0.7555,fall,medium
2018-11-01,0.8675,fall,low
2018-12-01,0.9379,winter,high
2019-01-01,0.9669,winter,high
2019-02-01,0.8774,winter,medium
2019-03-01,0.7825,spring,medium
2019-04-01,0.7808,spring,low
2019-05-01,0.8531,spring,high
2019-06-01,0.9139,summer,medium
2019-07-01,0.8381,summer,high
2019-08-01,0.9211,summer,high
2019-09-01,0.9761,fall,high
2019-10-01,0.8976,fall,high
2019-11-01,1.0285,fall,high
2019-12-01,0.8842,winter,high
2020-01-01,0.9081,winter,high
2020-02-01,0.9988,winter,high
2020-03-01,0.8625,spring,high
2020-04-01,0.8917,spring,medium
2020-05-01,0.881,spring,medium
2020-06-01,0.8249,summer,high
2020-07-01,0.7679,summer,low
2020-08-01,0.8017,summer,low
2020-09-01,0.7085,fall,low
2020-10-01,0.7496,fall,low
2020-11-01,0.7341,fall,low
2020-12-01,0.8208,winter,high
2021-01-01,0.9455,winter,high
2021-02-01,0.8138,winter,medium
2021-03-01,0.7961,spring,medium
2021-04-01,0.8306,spring,medium
2021-05-01,0.7201,spring,low
2021-06-01,0.9325,summer,high
2021-07-01,0.9535,summer,high
2021-08-01,0.9954,summer,high
2021-09-01,0.8575,fall,medium
2021-10-01,0.8636,fall,medium
2021-11-01,0.7823,fall,medium
2021-12-01,0.923,winter,high
2022-01-01,0.8746,winter,medium
2022-02-01,0.8696,winter,medium
2022-03-01,0.7754,spring,low
2022-04-01,0.8912,spring,medium
2022-05-01,0.7294,spring,low
2022-06-01,0.8068,summer,medium
2022-07-01,0.8037,summer,medium
2022-08-01,0.7748,summer,medium
2022-09-01,0.807,fall,medium
2022-10-01,0.8325,fall,medium
2022-11-01,0.8004,fall,high
2022-12-01,0.7774,winter,low
2023-01-01,0.783,winter,medium
2023-02-01,0.8777,winter,medium
2023-03-01,0.8174,spring,medium
2023-04-01,0.8785,spring,medium
2023-05-01,0.921,spring,medium
2023-06-01,0.8546,summer,high
2023-07-01,1.1363,summer,high
2023-08-01,0.9875,summer,high
2023-09-01,0.9719,fall,high
2023-10-01,0.9072,fall,high
2023-11-01,0.9585,fall,high
2023-12-01,1.0537,winter,high
2024-01-01,1.0625,winter,high
2024-02-01,0.9461,winter,high
2024-03-01,0.8515,spring,high
2024-04-01,0.9431,spring,high
2024-05-01,0.9663,spring,high
2024-06-01,0.7919,summer,medium
2024-07-01,0.828,summer,medium
2024-08-01,0.7301,summer,low
2024-09-01,0.8119,fall,medium
2024-10-01,0.7619,fall,medium
2024-11-01,0.9366,fall,high
2024-12-01,0.9081,winter,high
