# SOURCE: Synthetic data derived from raw potato prices
# DATE: 2026-02-06
# DESCRIPTION: Monthly wholesale packaged potato prices (USD/kg)
# UNITS: usd_per_kg (USD per kilogram, wholesale)
# LOGIC: Base crop price x value-add multiplier (1.2-1.4x) with stochastic spread
# DEPENDENCIES: historical_potato_prices-toy.csv
# ASSUMPTIONS: Processing adds value through preservation, convenience, reduced spoilage
# GENERATION_METHOD: Multiplicative from raw prices with processing cost variation
# CURRENCY: All prices in USD
date,usd_per_kg,season,market_condition
2015-01-01,0.82,winter,high
2015-02-01,0.699,winter,low
2015-03-01,0.7438,spring,medium
2015-04-01,0.6788,spring,low
2015-05-01,0.6896,spring,low
2015-06-01,0.7869,summer,medium
2015-07-01,0.7099,summer,low
2015-08-01,0.8814,summer,high
2015-09-01,0.6426,fall,low
2015-10-01,0.6898,fall,low
2015-11-01,0.7935,fall,medium
2015-12-01,0.7315,winter,low
2016-01-01,0.8179,winter,high
2016-02-01,0.7967,winter,medium
2016-03-01,0.7207,spring,low
2016-04-01,0.7412,spring,medium
2016-05-01,0.7406,spring,medium
2016-06-01,0.7468,summer,medium
2016-07-01,0.7632,summer,medium
2016-08-01,0.7463,summer,medium
2016-09-01,0.7124,fall,low
2016-10-01,0.6541,fall,low
2016-11-01,0.6974,fall,low
2016-12-01,0.734,winter,low
2017-01-01,0.8213,winter,high
2017-02-01,0.7067,winter,low
2017-03-01,0.708,spring,low
2017-04-01,0.7227,spring,low
2017-05-01,0.7188,spring,low
2017-06-01,0.7891,summer,medium
2017-07-01,0.7151,summer,low
2017-08-01,0.6854,summer,low
2017-09-01,0.6092,fall,low
2017-10-01,0.6268,fall,low
2017-11-01,0.6929,fall,low
2017-12-01,0.764,winter,medium
2018-01-01,0.8249,winter,high
2018-02-01,0.8406,winter,high
2018-03-01,0.8124,spring,medium
2018-04-01,0.6817,spring,low
2018-05-01,0.7924,spring,medium
2018-06-01,0.7119,summer,low
2018-07-01,0.9135,summer,high
2018-08-01,0.7774,summer,medium
2018-09-01,0.7702,fall,medium
2018-10-01,0.7715,fall,medium
2018-11-01,0.7256,fall,low
2018-12-01,0.8279,winter,high
2019-01-01,0.9077,winter,high
2019-02-01,0.707,winter,low
2019-03-01,0.7983,spring,medium
2019-04-01,0.6942,spring,low
2019-05-01,0.8042,spring,medium
2019-06-01,0.7765,summer,medium
2019-07-01,0.8262,summer,high
2019-08-01,0.8292,summer,high
2019-09-01,0.8784,fall,high
2019-10-01,0.8779,fall,high
2019-11-01,0.8995,fall,high
2019-12-01,0.891,winter,high
2020-01-01,0.8415,winter,high
2020-02-01,0.873,winter,high
2020-03-01,0.8718,spring,high
2020-04-01,0.7601,spring,medium
2020-05-01,0.805,spring,medium
2020-06-01,0.8877,summer,high
2020-07-01,0.6673,summer,low
2020-08-01,0.7649,summer,medium
2020-09-01,0.6368,fall,low
2020-10-01,0.6544,fall,low
2020-11-01,0.7235,fall,low
2020-12-01,0.8803,winter,high
2021-01-01,0.9401,winter,high
2021-02-01,0.7973,winter,medium
2021-03-01,0.7518,spring,medium
2021-04-01,0.732,spring,low
2021-05-01,0.7208,spring,low
2021-06-01,0.8464,summer,high
2021-07-01,0.8944,summer,high
2021-08-01,0.8875,summer,high
2021-09-01,0.7744,fall,medium
2021-10-01,0.7476,fall,medium
2021-11-01,0.7775,fall,medium
2021-12-01,0.9596,winter,high
2022-01-01,0.7552,winter,medium
2022-02-01,0.7649,winter,medium
2022-03-01,0.6997,spring,low
2022-04-01,0.7864,spring,medium
2022-05-01,0.7085,spring,low
2022-06-01,0.7382,summer,medium
2022-07-01,0.786,summer,medium
2022-08-01,0.812,summer,medium
2022-09-01,0.7774,fall,medium
2022-10-01,0.6989,fall,low
2022-11-01,0.8578,fall,high
2022-12-01,0.7176,winter,low
2023-01-01,0.7815,winter,medium
2023-02-01,0.7146,winter,low
2023-03-01,0.7941,spring,medium
2023-04-01,0.7174,spring,low
2023-05-01,0.8232,spring,high
2023-06-01,0.8459,summer,high
2023-07-01,0.9373,summer,high
2023-08-01,0.8869,summer,high
2023-09-01,1.0031,fall,high
2023-10-01,0.9151,fall,high
2023-11-01,0.9193,fall,high
2023-12-01,1.0579,winter,high
2024-01-01,0.8461,winter,high
2024-02-01,0.9957,winter,high
2024-03-01,0.8539,spring,high
2024-04-01,0.8132,spring,medium
2024-05-01,0.8395,spring,high
2024-06-01,0.7868,summer,medium
2024-07-01,0.8293,summer,high
2024-08-01,0.7134,summer,low
2024-09-01,0.7966,fall,medium
2024-10-01,0.7103,fall,low
2024-11-01,0.8315,fall,high
2024-12-01,0.8032,winter,medium
