# SOURCE: Synthetic data derived from raw tomato prices
# DATE: 2026-02-06
# DESCRIPTION: Monthly wholesale packaged tomato prices (USD/kg)
# UNITS: usd_per_kg (USD per kilogram, wholesale)
# LOGIC: Base crop price x value-add multiplier (1.2-1.4x) with stochastic spread
# DEPENDENCIES: historical_tomato_prices-toy.csv
# ASSUMPTIONS: Processing adds value through preservation, convenience, reduced spoilage
# GENERATION_METHOD: Multiplicative from raw prices with processing cost variation
# CURRENCY: All prices in USD
date,usd_per_kg,season,market_condition
2015-01-01,1.2422,winter,high
2015-02-01,1.2326,winter,high
2015-03-01,0.9913,spring,low
2015-04-01,1.2817,spring,high
2015-05-01,1.1462,spring,medium
2015-06-01,1.4019,summer,high
2015-07-01,1.4154,summer,high
2015-08-01,1.3466,summer,high
2015-09-01,1.198,fall,medium
2015-10-01,1.1135,fall,medium
2015-11-01,1.2011,fall,medium
2015-12-01,1.1914,winter,medium
2016-01-01,1.2652,winter,high
2016-02-01,1.1269,winter,medium
2016-03-01,0.9743,spring,low
2016-04-01,0.8448,spring,low
2016-05-01,0.9479,spring,low
2016-06-01,0.8936,summer,low
2016-07-01,1.0716,summer,low
2016-08-01,1.0816,summer,low
2016-09-01,0.8796,fall,low
2016-10-01,1.1078,fall,medium
2016-11-01,1.1245,fall,medium
2016-12-01,1.0527,winter,low
2017-01-01,1.0158,winter,low
2017-02-01,1.018,winter,low
2017-03-01,1.0648,spring,low
2017-04-01,0.8848,spring,low
2017-05-01,0.9839,spring,low
2017-06-01,1.0684,summer,low
2017-07-01,1.1967,summer,medium
2017-08-01,1.0761,summer,low
2017-09-01,1.2239,fall,medium
2017-10-01,1.1319,fall,medium
2017-11-01,1.102,fall,low
2017-12-01,1.2808,winter,high
2018-01-01,1.0752,winter,low
2018-02-01,1.2271,winter,medium
2018-03-01,0.9657,spring,low
2018-04-01,0.7897,spring,low
2018-05-01,1.103,spring,low
2018-06-01,1.0707,summer,low
2018-07-01,1.3193,summer,high
2018-08-01,1.2534,summer,high
2018-09-01,1.0678,fall,low
2018-10-01,1.0834,fall,low
2018-11-01,0.9998,fall,low
2018-12-01,1.104,winter,low
2019-01-01,1.3418,winter,high
2019-02-01,1.2163,winter,medium
2019-03-01,0.9519,spring,low
2019-04-01,0.9552,spring,low
2019-05-01,1.1403,spring,medium
2019-06-01,1.1449,summer,medium
2019-07-01,1.2958,summer,high
2019-08-01,1.3421,summer,high
2019-09-01,1.3892,fall,high
2019-10-01,1.1795,fall,medium
2019-11-01,1.4164,fall,high
2019-12-01,1.1873,winter,medium
2020-01-01,1.5142,winter,high
2020-02-01,1.3079,winter,high
2020-03-01,1.1695,spring,medium
2020-04-01,1.0089,spring,low
2020-05-01,1.0111,spring,low
2020-06-01,1.1575,summer,medium
2020-07-01,1.4359,summer,high
2020-08-01,1.2282,summer,medium
2020-09-01,1.1837,fall,medium
2020-10-01,1.2088,fall,medium
2020-11-01,1.0596,fall,low
2020-12-01,1.2242,winter,medium
2021-01-01,1.4977,winter,high
2021-02-01,1.3298,winter,high
2021-03-01,1.3846,spring,high
2021-04-01,1.1256,spring,medium
2021-05-01,1.2282,spring,medium
2021-06-01,1.2282,summer,medium
2021-07-01,1.226,summer,medium
2021-08-01,1.2848,summer,high
2021-09-01,0.9484,fall,low
2021-10-01,1.0939,fall,low
2021-11-01,1.1008,fall,low
2021-12-01,1.2975,winter,high
2022-01-01,1.4104,winter,high
2022-02-01,1.1127,winter,medium
2022-03-01,1.0137,spring,low
2022-04-01,1.1909,spring,medium
2022-05-01,1.3092,spring,high
2022-06-01,1.1975,summer,medium
2022-07-01,1.6626,summer,high
2022-08-01,1.2629,summer,high
2022-09-01,1.3876,fall,high
2022-10-01,1.2408,fall,high
2022-11-01,1.353,fall,high
2022-12-01,1.1575,winter,medium
2023-01-01,1.1748,winter,medium
2023-02-01,1.1205,winter,medium
2023-03-01,1.1025,spring,low
2023-04-01,1.1778,spring,medium
2023-05-01,1.1426,spring,medium
2023-06-01,1.2268,summer,medium
2023-07-01,1.0094,summer,low
2023-08-01,1.0769,summer,low
2023-09-01,0.9529,fall,low
2023-10-01,1.1375,fall,medium
2023-11-01,1.2496,fall,high
2023-12-01,1.3885,winter,high
2024-01-01,1.345,winter,high
2024-02-01,1.3161,winter,high
2024-03-01,1.3295,spring,high
2024-04-01,1.0012,spring,low
2024-05-01,1.1842,spring,medium
2024-06-01,1.2439,summer,high
2024-07-01,1.5037,summer,high
2024-08-01,1.521,summer,high
2024-09-01,1.3438,fall,high
2024-10-01,1.1956,fall,medium
2024-11-01,1.1993,fall,medium
2024-12-01,1.276,winter,high
