day,small_household_energy_kwh,medium_household_energy_kwh,large_household_energy_kwh,small_household_water_m3,medium_household_water_m3,large_household_water_m3,office_admin_energy_kwh,non_conditioned_warehouse_energy_kwh,climate_controlled_warehouse_energy_kwh,chilled_warehouse_energy_kwh,meeting_hall_energy_kwh,workshop_maintenance_energy_kwh,office_admin_water_m3,non_conditioned_warehouse_water_m3,climate_controlled_warehouse_water_m3,chilled_warehouse_water_m3,meeting_hall_water_m3,workshop_maintenance_water_m3,total_household_energy_kwh,total_building_energy_kwh,total_community_energy_kwh,total_household_water_m3,total_building_water_m3,total_water_m3
2010-01-01,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,7.525,10.43,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,110.1,584.1,15.246,11.1,26.346
2010-01-02,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,6.325,9.94,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,108.41,582.41,15.246,11.1,26.346
2010-01-03,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,9.775,11.34,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,113.26,587.26,15.246,11.1,26.346
2010-01-04,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,6.45,9.99,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,108.585,582.585,15.246,11.1,26.346
2010-01-05,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,5.125,9.45,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,106.72,580.72,15.246,11.1,26.346
2010-01-06,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.0,12.675,12.53,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,124.92,658.17,16.05,11.655,27.705
2010-01-07,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,8.175,10.7,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,111.02,585.02,15.246,11.1,26.346
2010-01-08,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,8.975,11.02,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,112.14,586.14,15.246,11.1,26.346
2010-01-09,86.4,153.6,234.0,2.28,5.136,7.83,16.875,4.5,5.0,9.35,13.2,49.5,1.5,0.5,1.0,0.5,1.6,6.0,474.0,98.425,572.425,15.246,11.1,26.346
2010-01-10,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,7.25,10.32,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,109.715,583.715,15.246,11.1,26.346
