day,community_energy_demand_kwh,water_energy_demand_kwh,total_demand_kwh,total_solar_kwh,total_wind_kwh,total_renewable_kwh,renewable_consumed_kwh,renewable_surplus_kwh,battery_charge_kwh,battery_discharge_kwh,grid_import_kwh,grid_export_kwh,generator_kwh,generator_excess_kwh,curtailed_kwh,deficit_kwh,battery_soc_kwh,battery_soc_fraction,battery_renewable_fraction,generator_fuel_liters,generator_runtime_hours,grid_import_cost,grid_export_revenue,generator_fuel_cost,total_energy_cost,self_sufficiency_ratio,self_consumption_ratio,renewable_fraction,policy_strategy,policy_grid_mode,policy_deficit,grid_import_cap_used_kwh,grid_export_cap_used_kwh,grid_monthly_import_cap_kwh,grid_monthly_export_cap_kwh
2010-01-01,584.1,0.0,584.1,628.457,20.56,649.017,584.1,64.917,52.632,0.0,0.0,12.285,0.0,0.0,0.0,0.0,800.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.981,1.0,minimize_generator,full_grid,False,0.0,12.285,5000,inf
2010-01-02,582.41,0.0,582.41,634.66,27.6,662.26,582.41,79.85,0.0,0.0,0.0,79.85,0.0,0.0,0.0,0.0,800.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.879,1.0,minimize_generator,full_grid,False,0.0,92.135,5000,inf
2010-01-03,587.26,0.0,587.26,607.458,38.2,645.658,587.26,58.398,0.0,0.0,0.0,58.398,0.0,0.0,0.0,0.0,800.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.91,1.0,minimize_generator,full_grid,False,0.0,150.534,5000,inf
2010-01-04,582.585,0.0,582.585,631.01,252.8,883.81,582.585,301.225,0.0,0.0,0.0,301.225,0.0,0.0,0.0,0.0,800.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.659,1.0,minimize_generator,full_grid,False,0.0,451.759,5000,inf
2010-01-05,580.72,0.0,580.72,640.935,177.08,818.015,580.72,237.295,0.0,0.0,0.0,237.295,0.0,0.0,0.0,0.0,800.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.71,1.0,minimize_generator,full_grid,False,0.0,689.054,5000,inf
2010-01-06,658.17,0.0,658.17,613.178,25.0,638.178,638.178,0.0,0.0,19.992,0.0,0.0,0.0,0.0,0.0,0.0,778.956,0.779,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,minimize_generator,full_grid,False,0.0,689.054,5000,inf
2010-01-07,585.02,0.0,585.02,618.596,15.24,633.836,585.02,48.816,22.151,0.0,0.0,26.665,0.0,0.0,0.0,0.0,800.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.958,1.0,minimize_generator,full_grid,False,0.0,715.719,5000,inf
2010-01-08,586.14,0.0,586.14,647.253,10.2,657.453,586.14,71.313,0.0,0.0,0.0,71.313,0.0,0.0,0.0,0.0,800.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.892,1.0,minimize_generator,full_grid,False,0.0,787.033,5000,inf
2010-01-09,572.425,0.0,572.425,661.67,19.92,681.59,572.425,109.165,0.0,0.0,0.0,109.165,0.0,0.0,0.0,0.0,800.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.84,1.0,minimize_generator,full_grid,False,0.0,896.197,5000,inf
2010-01-10,583.715,0.0,583.715,670.979,1.88,672.859,583.715,89.144,0.0,0.0,0.0,89.144,0.0,0.0,0.0,0.0,800.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.868,1.0,minimize_generator,full_grid,False,0.0,985.341,5000,inf
2010-01-11,586.14,0.0,586.14,645.844,6.44,652.284,586.14,66.144,0.0,0.0,0.0,66.144,0.0,0.0,0.0,0.0,800.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.899,1.0,minimize_generator,full_grid,False,0.0,1051.485,5000,inf
2010-01-12,581.465,0.0,581.465,599.534,6.12,605.654,581.465,24.189,0.0,0.0,0.0,24.189,0.0,0.0,0.0,0.0,800.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96,1.0,minimize_generator,full_grid,False,0.0,1075.674,5000,inf
2010-01-13,587.085,0.0,587.085,394.549,89.04,483.589,483.589,0.0,0.0,103.496,0.0,0.0,0.0,0.0,0.0,0.0,691.057,0.691,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,minimize_generator,full_grid,False,0.0,1075.674,5000,inf
2010-01-14,583.355,0.0,583.355,644.42,70.2,714.62,583.355,131.265,114.677,0.0,0.0,16.589,0.0,0.0,0.0,0.0,800.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.977,1.0,minimize_generator,full_grid,False,0.0,1092.262,5000,inf
2010-01-15,584.66,3.02,587.68,661.883,54.24,716.123,587.68,128.443,0.0,0.0,0.0,128.443,0.0,0.0,0.0,0.0,800.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.821,1.0,minimize_generator,full_grid,False,0.0,1220.705,5000,inf
2010-01-16,583.355,2.761,586.116,573.372,16.32,589.692,586.116,3.576,0.0,0.0,0.0,3.576,0.0,0.0,0.0,0.0,800.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.994,1.0,minimize_generator,full_grid,False,0.0,1224.281,5000,inf
2010-01-17,659.475,3.217,662.692,471.31,136.2,607.51,607.51,0.0,0.0,55.182,0.0,0.0,0.0,0.0,0.0,0.0,741.914,0.742,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,minimize_generator,full_grid,False,0.0,1224.281,5000,inf
2010-01-18,585.58,3.848,589.428,523.015,433.64,956.655,589.428,367.227,61.143,0.0,0.0,306.084,0.0,0.0,0.0,0.0,800.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.68,1.0,minimize_generator,full_grid,False,0.0,1530.364,5000,inf
2010-01-19,581.85,2.892,584.742,571.873,143.28,715.153,584.742,130.411,0.0,0.0,0.0,130.411,0.0,0.0,0.0,0.0,800.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.818,1.0,minimize_generator,full_grid,False,0.0,1660.775,5000,inf
2010-01-20,588.75,3.173,591.923,485.279,212.96,698.239,591.923,106.316,0.0,0.0,0.0,106.316,0.0,0.0,0.0,0.0,800.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.848,1.0,minimize_generator,full_grid,False,0.0,1767.091,5000,inf
2010-01-21,581.29,2.912,584.202,657.849,146.84,804.689,584.202,220.487,0.0,0.0,0.0,220.487,0.0,0.0,0.0,0.0,800.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.726,1.0,minimize_generator,full_grid,False,0.0,1987.578,5000,inf
2010-01-22,586.525,2.585,589.11,679.373,23.56,702.933,589.11,113.823,0.0,0.0,0.0,113.823,0.0,0.0,0.0,0.0,800.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.838,1.0,minimize_generator,full_grid,False,0.0,2101.401,5000,inf
2010-01-23,571.885,3.283,575.168,688.644,57.72,746.364,575.168,171.196,0.0,0.0,0.0,171.196,0.0,0.0,0.0,0.0,800.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.771,1.0,minimize_generator,full_grid,False,0.0,2272.597,5000,inf
2010-01-24,580.93,3.891,584.821,671.736,354.52,1026.256,584.821,441.435,0.0,0.0,0.0,441.435,0.0,0.0,0.0,0.0,800.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.57,1.0,minimize_generator,full_grid,False,0.0,2714.032,5000,inf
2010-01-25,586.7,3.325,590.025,690.373,424.92,1115.293,590.025,525.268,0.0,0.0,0.0,525.268,0.0,0.0,0.0,0.0,800.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.529,1.0,minimize_generator,full_grid,False,0.0,3239.299,5000,inf
2010-01-26,588.75,3.304,592.054,709.762,218.68,928.442,592.054,336.388,0.0,0.0,0.0,336.388,0.0,0.0,0.0,0.0,800.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.638,1.0,minimize_generator,full_grid,False,0.0,3575.687,5000,inf
2010-01-27,586.7,2.434,589.134,585.961,6.76,592.721,589.134,3.587,0.0,0.0,0.0,3.587,0.0,0.0,0.0,0.0,800.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.994,1.0,minimize_generator,full_grid,False,0.0,3579.274,5000,inf
2010-01-28,585.755,2.761,588.516,725.053,2.28,727.333,588.516,138.817,0.0,0.0,0.0,138.817,0.0,0.0,0.0,0.0,800.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.809,1.0,minimize_generator,full_grid,False,0.0,3718.092,5000,inf
2010-01-29,585.02,3.674,588.694,701.539,68.24,769.779,588.694,181.085,0.0,0.0,0.0,181.085,0.0,0.0,0.0,0.0,800.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.765,1.0,minimize_generator,full_grid,False,0.0,3899.177,5000,inf
2010-01-30,580.72,4.108,584.828,548.457,341.96,890.417,584.828,305.589,0.0,0.0,0.0,305.589,0.0,0.0,0.0,0.0,800.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.657,1.0,minimize_generator,full_grid,False,0.0,4204.766,5000,inf
2010-01-31,583.715,2.825,586.54,410.761,34.16,444.921,444.921,0.0,0.0,141.619,0.0,0.0,0.0,0.0,0.0,0.0,650.927,0.651,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,minimize_generator,full_grid,False,0.0,4204.766,5000,inf
2010-02-01,584.66,3.919,588.579,696.431,249.96,946.391,588.579,357.812,156.919,0.0,0.0,200.894,0.0,0.0,0.0,0.0,800.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.788,1.0,minimize_generator,full_grid,False,0.0,200.894,5000,inf
2010-02-02,657.25,4.329,661.579,736.078,328.24,1064.318,661.579,402.739,0.0,0.0,0.0,402.739,0.0,0.0,0.0,0.0,800.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.622,1.0,minimize_generator,full_grid,False,0.0,603.633,5000,inf
2010-02-03,588.005,3.617,591.622,719.966,495.92,1215.886,591.622,624.264,0.0,0.0,0.0,624.264,0.0,0.0,0.0,0.0,800.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.487,1.0,minimize_generator,full_grid,False,0.0,1227.897,5000,inf
2010-02-04,572.365,3.422,575.787,750.384,511.28,1261.664,575.787,685.877,0.0,0.0,0.0,685.877,0.0,0.0,0.0,0.0,800.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.456,1.0,minimize_generator,full_grid,False,0.0,1913.773,5000,inf
2010-02-05,588.005,3.465,591.47,717.376,414.48,1131.856,591.47,540.386,0.0,0.0,0.0,540.386,0.0,0.0,0.0,0.0,800.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.523,1.0,minimize_generator,full_grid,False,0.0,2454.159,5000,inf
2010-02-06,585.58,3.53,589.11,740.582,260.32,1000.902,589.11,411.792,0.0,0.0,0.0,411.792,0.0,0.0,0.0,0.0,800.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.589,1.0,minimize_generator,full_grid,False,0.0,2865.951,5000,inf
