day,farm_1_agripv_kwh,farm_2_agripv_kwh,low_density_comm_solar_kwh,medium_density_comm_solar_kwh,high_density_comm_solar_kwh,small_turbine_wind_kwh,medium_turbine_wind_kwh,large_turbine_wind_kwh,total_solar_kwh,total_wind_kwh,total_renewable_kwh
2010-01-01,4162.5,2618.57,523.714,832.5,1488.778,102.8,60.84,109.36,9626.062,273.0,9899.062
2010-01-02,4203.561,2644.416,528.883,840.712,1503.445,138.0,85.86,156.64,9721.018,380.5,10101.518
2010-01-03,4023.427,2531.077,506.215,804.685,1439.033,191.0,124.44,229.8,9304.437,545.24,9849.677
2010-01-04,4179.503,2629.21,525.842,835.901,1494.896,1264.0,945.66,1570.4,9665.352,3780.06,13445.412
2010-01-05,4245.27,2670.564,534.113,849.054,1518.432,885.4,653.52,1136.48,9817.433,2675.4,12492.833
2010-01-06,4061.305,2554.91,510.982,812.261,1452.58,125.0,76.56,138.96,9392.038,340.52,9732.558
2010-01-07,4097.085,2577.485,515.497,819.417,1465.323,76.2,42.6,75.12,9474.807,193.92,9668.727
2010-01-08,4286.906,2696.889,539.378,857.381,1533.223,51.0,26.04,44.56,9913.777,121.6,10035.377
2010-01-09,4382.412,2756.957,551.391,876.482,1567.396,99.6,58.62,105.16,10134.639,263.38,10398.019
2010-01-10,4444.001,2795.745,559.149,888.8,1589.387,9.4,2.82,4.12,10277.082,16.34,10293.422
2010-01-11,4277.525,2691.017,538.203,855.505,1529.848,32.2,14.64,24.12,9892.098,70.96,9963.058
2010-01-12,3970.93,2498.057,499.611,794.186,1420.253,30.6,13.74,22.52,9183.037,66.86,9249.897
2010-01-13,2613.293,1643.955,328.791,522.659,934.7,445.2,315.78,580.28,6043.398,1341.26,7384.658
2010-01-14,4268.326,2685.085,537.017,853.665,1526.665,351.0,244.14,452.2,9870.758,1047.34,10918.098
2010-01-15,4384.009,2757.844,551.569,876.802,1568.058,271.2,184.08,341.76,10138.281,797.04,10935.321
2010-01-16,3797.621,2389.049,477.81,759.524,1358.252,81.6,46.32,82.04,8782.257,209.96,8992.217
2010-01-17,3121.597,1963.792,392.758,624.319,1116.453,681.0,496.26,886.32,7218.92,2063.58,9282.5
2010-01-18,3464.24,2179.23,435.846,692.848,1239.083,2168.2,1645.68,2497.24,8011.246,6311.12,14322.366
2010-01-19,3787.966,2382.803,476.561,757.593,1354.931,716.4,523.44,930.48,8759.854,2170.32,10930.174
2010-01-20,3214.324,2021.997,404.399,642.865,1149.713,1064.8,791.88,1346.36,7433.297,3203.04,10636.337
2010-01-21,4357.454,2741.037,548.207,871.491,1558.634,734.2,537.12,952.64,10076.822,2223.96,12300.782
2010-01-22,4499.953,2830.72,566.144,899.991,1609.565,117.8,71.46,129.4,10406.373,318.66,10725.033
2010-01-23,4561.226,2869.35,573.87,912.245,1631.421,288.6,197.1,366.0,10548.112,851.7,11399.812
2010-01-24,4449.354,2798.899,559.78,889.871,1591.467,1772.6,1339.2,2108.32,10289.37,5220.12,15509.49
2010-01-25,4572.961,2876.552,575.31,914.592,1635.751,2124.6,1611.84,2455.6,10575.167,6192.04,16767.207
2010-01-26,4701.423,2957.342,591.468,940.285,1681.722,1093.4,813.9,1379.0,10872.24,3286.3,14158.54
2010-01-27,3881.207,2441.504,488.301,776.241,1388.248,33.8,15.6,25.84,8975.501,75.24,9050.741
2010-01-28,4802.353,3021.056,604.211,960.471,1717.653,11.4,3.72,5.52,11105.744,20.64,11126.384
2010-01-29,4646.576,2923.081,584.616,929.315,1661.921,341.2,236.76,438.76,10745.509,1016.72,11762.229
2010-01-30,3632.624,2285.238,457.048,726.525,1299.247,1709.8,1290.6,2044.32,8400.681,5044.72,13445.401
2010-01-31,2720.575,1711.504,342.301,544.115,973.029,170.8,109.62,201.64,6291.523,482.06,6773.583
2010-02-01,4612.763,2901.797,580.359,922.553,1649.84,1249.8,934.74,1554.76,10667.313,3739.3,14406.613
2010-02-02,4875.489,3066.992,613.398,975.098,1743.865,1641.2,1237.56,1973.68,11274.843,4852.44,16127.283
2010-02-03,4768.906,2999.858,599.972,953.781,1705.812,2479.6,1887.24,2782.32,11028.33,7149.16,18177.49
2010-02-04,4970.535,3126.598,625.32,994.107,1778.004,2556.4,1946.94,2848.36,11494.563,7351.7,18846.263
2010-02-05,4751.949,2989.066,597.813,950.39,1699.839,2072.4,1571.4,2405.44,10989.057,6049.24,17038.297
2010-02-06,4905.639,3085.759,617.152,981.128,1754.799,1301.6,974.7,1611.76,11344.477,3888.06,15232.537
2010-02-07,5228.631,3289.014,657.803,1045.726,1870.274,193.4,126.18,233.04,12091.449,552.62,12644.069
2010-02-08,4835.072,3041.575,608.315,967.014,1729.407,200.4,131.4,242.96,11181.383,574.76,11756.143
