day,north_field_irrigation_mm_per_ha,north_field_demand_m3,north_field_etc_delivery_m3,north_field_crop,south_field_irrigation_mm_per_ha,south_field_demand_m3,south_field_etc_delivery_m3,south_field_crop,east_field_irrigation_mm_per_ha,east_field_demand_m3,east_field_etc_delivery_m3,east_field_crop,west_field_irrigation_mm_per_ha,west_field_demand_m3,west_field_etc_delivery_m3,west_field_crop,total_demand_m3,crop_tds_requirement_ppm
2010-01-01,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,
2010-01-02,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,
2010-01-03,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,
2010-01-04,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,
2010-01-05,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,
2010-01-06,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,
2010-01-07,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,
2010-01-08,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,
2010-01-09,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,
2010-01-10,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,
2010-01-11,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,
2010-01-12,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,
2010-01-13,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,
2010-01-14,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,0.0,0.0,none,0.0,
2010-01-15,0.0,0.0,0.0,none,1.39,1.544,1.544,onion,0.0,0.0,0.0,none,0.0,0.0,0.0,none,1.544,510.0
2010-01-16,0.0,0.0,0.0,none,1.27,1.411,1.411,onion,0.0,0.0,0.0,none,0.0,0.0,0.0,none,1.411,510.0
2010-01-17,0.0,0.0,0.0,none,1.48,1.644,1.644,onion,0.0,0.0,0.0,none,0.0,0.0,0.0,none,1.644,510.0
2010-01-18,0.0,0.0,0.0,none,1.77,1.967,1.967,onion,0.0,0.0,0.0,none,0.0,0.0,0.0,none,1.967,510.0
2010-01-19,0.0,0.0,0.0,none,1.33,1.478,1.478,onion,0.0,0.0,0.0,none,0.0,0.0,0.0,none,1.478,510.0
2010-01-20,0.0,0.0,0.0,none,1.46,1.622,1.622,onion,0.0,0.0,0.0,none,0.0,0.0,0.0,none,1.622,510.0
2010-01-21,0.0,0.0,0.0,none,1.34,1.489,1.489,onion,0.0,0.0,0.0,none,0.0,0.0,0.0,none,1.489,510.0
2010-01-22,0.0,0.0,0.0,none,1.19,1.322,1.322,onion,0.0,0.0,0.0,none,0.0,0.0,0.0,none,1.322,510.0
2010-01-23,0.0,0.0,0.0,none,1.51,1.678,1.678,onion,0.0,0.0,0.0,none,0.0,0.0,0.0,none,1.678,510.0
2010-01-24,0.0,0.0,0.0,none,1.79,1.989,1.989,onion,0.0,0.0,0.0,none,0.0,0.0,0.0,none,1.989,510.0
2010-01-25,0.0,0.0,0.0,none,1.53,1.7,1.7,onion,0.0,0.0,0.0,none,0.0,0.0,0.0,none,1.7,510.0
2010-01-26,0.0,0.0,0.0,none,1.52,1.689,1.689,onion,0.0,0.0,0.0,none,0.0,0.0,0.0,none,1.689,510.0
2010-01-27,0.0,0.0,0.0,none,1.12,1.244,1.244,onion,0.0,0.0,0.0,none,0.0,0.0,0.0,none,1.244,510.0
2010-01-28,0.0,0.0,0.0,none,1.27,1.411,1.411,onion,0.0,0.0,0.0,none,0.0,0.0,0.0,none,1.411,510.0
2010-01-29,0.0,0.0,0.0,none,1.69,1.878,1.878,onion,0.0,0.0,0.0,none,0.0,0.0,0.0,none,1.878,510.0
2010-01-30,0.0,0.0,0.0,none,1.89,2.1,2.1,onion,0.0,0.0,0.0,none,0.0,0.0,0.0,none,2.1,510.0
2010-01-31,0.0,0.0,0.0,none,1.3,1.444,1.444,onion,0.0,0.0,0.0,none,0.0,0.0,0.0,none,1.444,510.0
2010-02-01,0.0,0.0,0.0,none,1.81,2.011,2.011,onion,0.0,0.0,0.0,none,0.0,0.0,0.0,none,2.011,510.0
2010-02-02,0.0,0.0,0.0,none,2.0,2.222,2.222,onion,0.0,0.0,0.0,none,0.0,0.0,0.0,none,2.222,510.0
2010-02-03,0.0,0.0,0.0,none,1.67,1.856,1.856,onion,0.0,0.0,0.0,none,0.0,0.0,0.0,none,1.856,510.0
2010-02-04,0.0,0.0,0.0,none,1.58,1.756,1.756,onion,0.0,0.0,0.0,none,0.0,0.0,0.0,none,1.756,510.0
2010-02-05,0.0,0.0,0.0,none,1.6,1.778,1.778,onion,0.0,0.0,0.0,none,0.0,0.0,0.0,none,1.778,510.0
2010-02-06,0.0,0.0,0.0,none,1.63,1.811,1.811,onion,0.0,0.0,0.0,none,0.0,0.0,0.0,none,1.811,510.0
2010-02-07,0.0,0.0,0.0,none,1.46,1.622,1.622,onion,0.0,0.0,0.0,none,0.0,0.0,0.0,none,1.622,510.0
2010-02-08,0.0,0.0,0.0,none,1.63,1.811,1.811,onion,0.0,0.0,0.0,none,0.0,0.0,0.0,none,1.811,510.0
2010-02-09,0.0,0.0,0.0,none,1.63,1.811,1.811,onion,0.0,0.0,0.0,none,0.0,0.0,0.0,none,1.811,510.0
2010-02-10,0.0,0.0,0.0,none,1.65,1.833,1.833,onion,0.0,0.0,0.0,none,0.0,0.0,0.0,none,1.833,510.0
2010-02-11,0.0,0.0,0.0,none,1.92,2.133,2.133,onion,0.0,0.0,0.0,none,0.0,0.0,0.0,none,2.133,510.0
2010-02-12,0.0,0.0,0.0,none,1.8,2.0,2.0,onion,0.0,0.0,0.0,none,0.0,0.0,0.0,none,2.0,510.0
