day,well_1_extraction_m3,well_1_tds_ppm,well_1_pumping_kwh,well_2_extraction_m3,well_2_tds_ppm,well_2_pumping_kwh,well_3_extraction_m3,well_3_tds_ppm,well_3_pumping_kwh,gw_untreated_to_tank_m3,gw_treated_to_tank_m3,municipal_to_tank_m3,total_sourced_to_tank_m3,total_groundwater_extracted_m3,sourced_tds_ppm,treatment_feed_m3,treatment_max_feed_m3,treatment_reject_m3,treatment_energy_kwh,pumping_energy_kwh,municipal_cost,groundwater_cost,total_water_cost,delivered_tds_ppm,crop_tds_requirement_ppm,tds_exceedance_ppm,total_delivered_m3,tank_flush_delivered_m3,safety_flush_m3,look_ahead_drain_m3,deficit_m3,tank_volume_m3,tank_tds_ppm,total_energy_kwh,policy_strategy,policy_primary_source,policy_flush_reason,policy_deficit,gw_cap_used_month_m3,muni_cap_used_month_m3,gw_monthly_cap_m3,muni_monthly_cap_m3,prefill_m3
2010-01-01,0.0,1400,0.0,0.0,3500,0.0,0.0,6500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,0.0,minimize_cost,none,none,False,0.0,0.0,inf,500,0.0
2010-01-02,0.0,1400,0.0,0.0,3500,0.0,0.0,6500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,0.0,minimize_cost,none,none,False,0.0,0.0,inf,500,0.0
2010-01-03,0.0,1400,0.0,0.0,3500,0.0,0.0,6500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,0.0,minimize_cost,none,none,False,0.0,0.0,inf,500,0.0
2010-01-04,0.0,1400,0.0,0.0,3500,0.0,0.0,6500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,0.0,minimize_cost,none,none,False,0.0,0.0,inf,500,0.0
2010-01-05,0.0,1400,0.0,0.0,3500,0.0,0.0,6500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,0.0,minimize_cost,none,none,False,0.0,0.0,inf,500,0.0
2010-01-06,0.0,1400,0.0,0.0,3500,0.0,0.0,6500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,0.0,minimize_cost,none,none,False,0.0,0.0,inf,500,0.0
2010-01-07,0.0,1400,0.0,0.0,3500,0.0,0.0,6500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,0.0,minimize_cost,none,none,False,0.0,0.0,inf,500,0.0
2010-01-08,0.0,1400,0.0,0.0,3500,0.0,0.0,6500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,0.0,minimize_cost,none,none,False,0.0,0.0,inf,500,0.0
2010-01-09,0.0,1400,0.0,0.0,3500,0.0,0.0,6500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,0.0,minimize_cost,none,none,False,0.0,0.0,inf,500,0.0
2010-01-10,0.0,1400,0.0,0.0,3500,0.0,0.0,6500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,0.0,minimize_cost,none,none,False,0.0,0.0,inf,500,0.0
